E-VBM_eV,comp1_total_perfu,modelc_total_perfu
-2.770,0.0000,10.5734
-2.760,0.0000,17.4802
-2.750,0.0000,18.6024
-2.740,0.0000,11.0526
-2.730,0.0000,8.0578
-2.720,0.0000,7.4452
-2.710,0.0000,7.7880
-2.700,0.0000,7.0708
-2.690,0.0000,5.6354
-2.680,0.0000,6.3848
-2.670,0.0000,7.4562
-2.660,0.0000,7.3740
-2.650,0.0000,6.9790
-2.640,0.0000,4.9620
-2.630,0.0000,3.2252
-2.620,0.0000,4.4264
-2.610,0.0000,6.8154
-2.600,0.0000,7.0428
-2.590,0.0000,5.8628
-2.580,0.0000,4.8218
-2.570,0.0000,3.7558
-2.560,0.0000,3.1818
-2.550,0.0000,1.8218
-2.540,0.0000,0.3008
-2.530,0.0000,0.0000
-2.520,0.0000,0.0000
-2.510,0.0000,0.0000
-2.500,0.0000,0.0000
-2.490,0.0000,0.0000
-2.480,0.0000,0.0000
-2.470,0.0000,0.0000
-2.460,0.0000,0.0000
-2.450,0.0000,0.0000
-2.440,0.0000,0.0000
-2.430,0.0000,0.0000
-2.420,0.0000,0.0000
-2.410,0.0000,0.0000
-2.400,0.0000,0.0000
-2.390,0.0000,0.0000
-2.380,0.0042,0.0000
-2.370,0.0679,0.0314
-2.360,0.3598,1.1569
-2.350,0.8407,2.1328
-2.340,1.2429,1.8904
-2.330,1.6342,1.7857
-2.320,2.2538,1.9981
-2.310,3.3492,2.3158
-2.300,4.2931,2.4708
-2.290,4.1360,2.7570
-2.280,3.7002,3.4486
-2.270,3.8517,3.6226
-2.260,4.0795,3.2934
-2.250,4.2306,3.0764
-2.240,4.4583,2.7654
-2.230,4.8892,2.6840
-2.220,5.4337,2.4498
-2.210,5.8858,1.7310
-2.200,5.6708,0.8234
-2.190,5.1756,0.7175
-2.180,5.6901,1.4744
-2.170,6.2161,3.9792
-2.160,6.6316,9.2327
-2.150,7.6712,10.5906
-2.140,8.9946,7.1420
