E-EF_eV,comp1_LPSCl_total_perfu,modelc_LPSCl16_total_perfu
0.180,0.0000,0.0000
0.190,0.0000,0.0000
0.200,0.0000,0.0000
0.210,0.0000,0.0000
0.220,0.0000,0.0000
0.230,0.0000,0.0000
0.240,0.0000,0.0000
0.250,0.0000,0.0000
0.260,0.0000,0.0000
0.270,0.0000,0.0000
0.280,0.0000,0.0000
0.290,0.0000,0.0000
0.300,0.0000,0.0000
0.310,0.0000,0.0000
0.320,0.0000,0.0000
0.330,0.0000,0.0000
0.340,0.0000,0.0000
0.350,0.0000,0.0000
0.360,0.0000,0.0000
0.370,0.0000,0.0000
0.380,0.0000,0.0000
0.390,0.0000,0.0000
0.400,0.0000,0.0000
0.410,0.0000,0.0000
0.420,0.0000,0.0000
0.430,0.0000,0.0000
0.440,0.0000,0.0000
0.450,0.0005,0.0000
0.460,0.0037,0.0000
0.470,0.0124,0.0000
0.480,0.0269,0.0000
0.490,0.0469,0.0000
0.500,0.0715,0.0000
0.510,0.0937,0.0000
0.520,0.1107,0.0000
0.530,0.1214,0.0000
0.540,0.1312,0.0000
0.550,0.1384,0.0000
0.560,0.1440,0.0000
0.570,0.1497,0.0000
0.580,0.1591,0.0000
0.590,0.1692,0.0000
0.600,0.1794,0.0000
0.610,0.1896,0.0000
0.620,0.2000,0.0000
0.630,0.2105,0.0000
0.640,0.2213,0.0000
0.650,0.2328,0.0000
0.660,0.2447,0.0000
0.670,0.2562,0.0000
0.680,0.2661,0.0000
0.690,0.2746,0.0000
0.700,0.2832,0.0000
0.710,0.2920,0.0000
0.720,0.2974,0.0000
0.730,0.3060,0.0000
0.740,0.3160,0.0000
0.750,0.3266,0.0000
0.760,0.3374,0.0000
0.770,0.3486,0.0000
0.780,0.3593,0.0000
0.790,0.3698,0.0000
0.800,0.3806,0.0000
0.810,0.3918,0.0000
0.820,0.4023,0.0000
0.830,0.4126,0.0000
0.840,0.4235,0.0000
0.850,0.4364,0.0000
0.860,0.4499,0.0000
0.870,0.4642,0.0000
0.880,0.4788,0.0000
0.890,0.4938,0.0000
0.900,0.5084,0.0000
0.910,0.5193,0.0000
0.920,0.5272,0.0000
0.930,0.5341,0.0000
0.940,0.5424,0.0000
0.950,0.5519,0.0000
0.960,0.5605,0.0000
0.970,0.5708,0.0000
0.980,0.5881,0.0000
0.990,0.5964,0.0000
1.000,0.6082,0.0000
1.010,0.6250,0.0000
1.020,0.6446,0.0001
1.030,0.6655,0.0008
1.040,0.6848,0.0038
1.050,0.6974,0.0131
1.060,0.7118,0.0313
1.070,0.7327,0.0568
1.080,0.7628,0.0836
1.090,0.7958,0.1080
1.100,0.8348,0.1301
1.110,0.8804,0.1497
1.120,0.9333,0.1669
1.130,1.0098,0.1818
1.140,1.1522,0.1942
1.150,1.2345,0.2041
1.160,1.4061,0.2116
1.170,1.3672,0.2106
1.180,1.3289,0.1931
1.190,1.3386,0.1727
1.200,1.5960,0.1672
1.210,1.5625,0.1708
1.220,1.4530,0.1752
1.230,1.3739,0.1795
1.240,1.3321,0.1838
1.250,1.3072,0.1881
1.260,1.3005,0.1924
1.270,1.2804,0.1968
