E-EF_eV,total,Cl,Li,P,S
-7.200,0.0000,0.0000,0.0000,0.0000,0.0000
-7.190,0.0000,0.0000,0.0000,0.0000,0.0000
-7.180,0.0000,0.0000,0.0000,0.0000,0.0000
-7.170,0.0000,0.0000,0.0000,0.0000,0.0000
-7.160,0.0000,0.0000,0.0000,0.0000,0.0000
-7.150,0.0000,0.0000,0.0000,0.0000,0.0000
-7.140,0.0000,0.0000,0.0000,0.0000,0.0000
-7.130,0.0000,0.0000,0.0000,0.0000,0.0000
-7.120,0.0000,0.0000,0.0000,0.0000,0.0000
-7.110,0.0000,0.0000,0.0000,0.0000,0.0000
-7.100,0.0000,0.0000,0.0000,0.0000,0.0000
-7.090,0.0000,0.0000,0.0000,0.0000,0.0000
-7.080,0.0000,0.0000,0.0000,0.0000,0.0000
-7.070,0.0000,0.0000,0.0000,0.0000,0.0000
-7.060,0.0000,0.0000,0.0000,0.0000,0.0000
-7.050,0.0000,0.0000,0.0000,0.0000,0.0000
-7.040,0.0000,0.0000,0.0000,0.0000,0.0000
-7.030,0.0000,0.0000,0.0000,0.0000,0.0000
-7.020,0.0000,0.0000,0.0000,0.0000,0.0000
-7.010,0.0000,0.0000,0.0000,0.0000,0.0000
-7.000,0.0000,0.0000,0.0000,0.0000,0.0000
-6.990,0.0000,0.0000,0.0000,0.0000,0.0000
-6.980,0.0000,0.0000,0.0000,0.0000,0.0000
-6.970,0.0000,0.0000,0.0000,0.0000,0.0000
-6.960,0.0000,0.0000,0.0000,0.0000,0.0000
-6.950,0.0000,0.0000,0.0000,0.0000,0.0000
-6.940,0.0000,0.0000,0.0000,0.0000,0.0000
-6.930,0.0000,0.0000,0.0000,0.0000,0.0000
-6.920,0.0000,0.0000,0.0000,0.0000,0.0000
-6.910,0.0000,0.0000,0.0000,0.0000,0.0000
-6.900,0.0000,0.0000,0.0000,0.0000,0.0000
-6.890,0.0000,0.0000,0.0000,0.0000,0.0000
-6.880,0.0000,0.0000,0.0000,0.0000,0.0000
-6.870,0.0000,0.0000,0.0000,0.0000,0.0000
-6.860,0.0000,0.0000,0.0000,0.0000,0.0000
-6.850,0.0000,0.0000,0.0000,0.0000,0.0000
-6.840,0.0000,0.0000,0.0000,0.0000,0.0000
-6.830,0.0000,0.0000,0.0000,0.0000,0.0000
-6.820,0.0000,0.0000,0.0000,0.0000,0.0000
-6.810,0.0000,0.0000,0.0000,0.0000,0.0000
-6.800,0.0000,0.0000,0.0000,0.0000,0.0000
-6.790,0.0000,0.0000,0.0000,0.0000,0.0000
-6.780,0.0000,0.0000,0.0000,0.0000,0.0000
-6.770,0.0000,0.0000,0.0000,0.0000,0.0000
-6.760,0.0000,0.0000,0.0000,0.0000,0.0000
-6.750,0.0000,0.0000,0.0000,0.0000,0.0000
-6.740,0.0000,0.0000,0.0000,0.0000,0.0000
-6.730,0.0000,0.0000,0.0000,0.0000,0.0000
-6.720,0.0001,0.0000,0.0000,0.0000,0.0000
-6.710,0.0001,0.0000,0.0000,0.0000,0.0000
-6.700,0.0001,0.0000,0.0000,0.0000,0.0001
-6.690,0.0002,0.0000,0.0000,0.0000,0.0001
-6.680,0.0002,0.0000,0.0000,0.0001,0.0001
-6.670,0.0003,0.0000,0.0000,0.0001,0.0002
-6.660,0.0005,0.0000,0.0001,0.0001,0.0003
-6.650,0.0006,0.0000,0.0001,0.0002,0.0004
-6.640,0.0008,0.0000,0.0001,0.0002,0.0005
-6.630,0.0010,0.0000,0.0001,0.0003,0.0006
