time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,native_query_coordinate_first_m,native_query_coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.1,N,43,0.000009316666666666665,0.000009316666666666665,0.000009316666666666665,0.000009316666666666665,0.011991276554420697,0.011991276489876425,-6.4544272E-11,0.011723233014682118,0.011723233014047927,-6.34191E-13,1.3960878608442813,1.3960878648910344,4.0467531E-9,-0.05425030523864183,-0.054250309286435705,-4.047793875E-9,-1.3418326547601165,-1.341832654759076,1.0405E-12
0.1,N,44,0.000009533333333333332,0.000009533333333333332,0.000009533333333333332,0.000009533333333333332,0.011991288086610761,0.011991288151029181,6.4418420E-11,0.011723233127981713,0.011723233128614716,6.33003E-13,1.3960871378067965,1.396087133767934,-4.0388625E-9,-0.054251901461198626,-0.05425189742333303,4.037865596E-9,-1.34183023289378,-1.3418302328927827,9.973E-13
0.1,N,45,0.00000975,0.00000975,0.00000975,0.00000975,0.011991300159392865,0.011991300095129541,-6.4263324E-11,0.011723233246593166,0.011723233245961735,-6.31431E-13,1.3960863808756365,1.396086384904775,4.0291385E-9,-0.054253520014055256,-0.05425352404423678,-4.030181524E-9,-1.3418277553203732,-1.3418277553193305,1.0427E-12
0.1,N,46,0.000009966666666666667,0.000009966666666666667,0.000009966666666666667,0.000009966666666666667,0.011991312258069235,0.011991312322206947,6.4137712E-11,0.011723233365459067,0.011723233366089313,6.30246E-13,1.396085622320975,1.396085618299712,-4.021263E-9,-0.05425519316986627,-0.054255189149597705,4.020268565E-9,-1.3418252220374385,-1.3418252220364437,9.948E-13
0.1,N,47,0.000010183333333333331,0.000010183333333333333,0.000010183333333333333,0.000010183333333333333,0.01199132489627456,0.011991324832291645,-6.3982915E-11,0.01172323348962646,0.011723233488997769,-6.28691E-13,1.3960848299392905,1.3960848339508483,4.0115578E-9,-0.054256888727268304,-0.05425689273987122,-4.012602916E-9,-1.3418226330428376,-1.3418226330417926,1.0450E-12
0.1,N,48,0.0000104,0.0000104,0.0000104,0.0000104,0.011991337561556882,0.011991337625414475,6.3857593E-11,0.011723233614059919,0.011723233614687426,6.27507E-13,1.396084035859951,1.3960840318562504,-4.0037006E-9,-0.054258638818237115,-0.054258634815528506,4.002708609E-9,-1.3418199883339865,-1.3418199883329942,9.923E-13
0.1,N,49,0.000010616666666666666,0.000010616666666666666,0.000010616666666666666,0.000010616666666666666,0.011991350765309994,0.011991350701607003,-6.3702991E-11,0.011723233743784568,0.01172323374315862,-6.25948E-13,1.3960832080199321,1.3960832120139393,3.9940072E-9,-0.05426041138199689,-0.05426041537705206,-3.99505517E-9,-1.3418172879086576,-1.3418172879076098,1.0478E-12
0.1,N,50,0.000010833333333333334,0.000010833333333333334,0.000010833333333333334,0.000010833333333333334,0.01199136399732361,0.011991364060901531,6.3577921E-11,0.01172323387378691,0.011723233874411682,6.24772E-13,1.3960823784080554,1.3960823744218898,-3.9861656E-9,-0.05426223841010547,-0.05426223442493017,3.98517530E-9,-1.3418145317641395,-1.341814531763149,9.905E-13
0.1,N,51,0.000011049999999999998,0.00001105,0.00001105,0.00001105,0.011991377766754605,0.011991377703331033,-6.3423572E-11,0.011723234009070192,0.011723234008446978,-6.23214E-13,1.396081515101546,1.3960815190780342,3.9764882E-9,-0.05426408798212501,-0.054264091959663974,-3.977538964E-9,-1.3418117198981168,-1.3418117198970663,1.0505E-12
0.1,N,52,0.000011266666666666667,0.000011266666666666667,0.000011266666666666667,0.000011266666666666667,0.011991391565630428,0.011991391628929185,6.3298757E-11,0.011723234144642812,0.011723234145264848,6.22036E-13,1.3960806499489242,1.3960806459802617,-3.9686625E-9,-0.05426599194944215,-0.05426598798176685,3.96767530E-9,-1.3418088523077496,-1.341808852306762,9.876E-13
0.1,N,53,0.000011483333333333332,0.000011483333333333332,0.000011483333333333332,0.000011483333333333332,0.01199140590087502,0.011991405837730389,-6.3144631E-11,0.011723234285486156,0.011723234284865675,-6.20481E-13,1.3960797511674152,1.3960797551264148,3.9589996E-9,-0.054267918531706094,-0.05426792249175838,-3.960052286E-9,-1.3418059289906359,-1.3418059289895834,1.0525E-12
0.1,N,54,0.000011699999999999998,0.000011699999999999998,0.000011699999999999998,0.000011699999999999998,0.01199142026674961,0.011991420329769669,6.3020059E-11,0.011723234426630503,0.011723234427249816,6.19313E-13,1.396078850465487,1.3960788465142975,-3.9511895E-9,-0.054269899440381186,-0.05426989549017591,3.950205276E-9,-1.3418029499438073,-1.3418029499428226,9.847E-13
0.1,N,55,0.000011916666666666666,0.000011916666666666666,0.000011916666666666666,0.000011916666666666666,0.011991435167949075,0.011991435105082868,-6.2866207E-11,0.011723234573035419,0.011723234572417661,-6.17758E-13,1.39607791620012,1.396077920141663,3.941543E-9,-0.054271903034959434,-0.05427190697755879,-3.942599356E-9,-1.3417999151647748,-1.341799915163719,1.0558E-12
0.1,N,56,0.000012133333333333331,0.000012133333333333331,0.000012133333333333331,0.000012133333333333331,0.011991450100964588,0.011991450163706454,6.2741866E-11,0.011723234719752987,0.011723234720369577,6.16590E-13,1.3960769799399724,1.3960769760062253,-3.9337471E-9,-0.05427396088722647,-0.054273956954461466,3.932765004E-9,-1.3417968246504404,-1.3417968246494578,9.826E-13
0.1,N,57,0.000012349999999999999,0.000012349999999999999,0.000012349999999999999,0.000012349999999999999,0.011991465568265811,0.011991465505677597,-6.2588214E-11,0.011723234871721017,0.011723234871105982,-6.15035E-13,1.3960760101815388,1.3960760141056527,3.9241139E-9,-0.05427604149627596,-0.054276045421448815,-3.925172855E-9,-1.3417936783982283,-1.3417936783971698,1.0585E-12
0.1,N,58,0.000012566666666666666,0.000012566666666666666,0.000012566666666666666,0.000012566666666666666,0.011991481068570054,0.01199148113103418,6.2464126E-11,0.011723235024013384,0.011723235024627255,6.13871E-13,1.3960750383539045,1.3960750344375707,-3.9163338E-9,-0.054278176294450864,-0.054278172379095935,3.915354929E-9,-1.3417904764049111,-1.341790476403932,9.791E-13
0.1,N,59,0.000012783333333333333,0.000012783333333333333,0.000012783333333333333,0.000012783333333333333,0.011991497102125518,0.011991497039814811,-6.2310707E-11,0.011723235181546153,0.01172323518093382,-6.12333E-13,1.396074033092844,1.3960740369995586,3.9067146E-9,-0.05428033392021092,-0.054280337827987246,-3.907776326E-9,-1.3417872186678284,-1.341787218666767,1.0614E-12
