time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V,prior_radial_same_time_available,prior_radial_R320H0250_minus_R160H0250_V_V,prior_radial_R320H0250_minus_R160H0250_delta_Eeq_V,prior_radial_R320H0250_minus_R160H0250_delta_etaMid_V,prior_radial_R320H0250_minus_R160H0250_delta_phiL_V,time_cap_abs_difference_divided_by_prior_radial_same_time_abs_difference
0.88,2.28070593360747,2.2807059335282527,-7.92173E-11,-8.07524E-11,1.553647E-12,-1.89E-14,3.53E-16,True,0.0000302474419136,0.0000310464709067,-7.98895783306E-7,-1.332096E-10,0.000002618975192225493203963581873
0.89,2.2809935714458067,2.2809935713687994,-7.70073E-11,-7.85011E-11,1.511238E-12,-1.75E-14,6.2E-17,True,0.0000300770610357,0.0000308714528984,-7.94256248327E-7,-1.356147E-10,0.000002560333268885417438252713503
0.9,2.281279638807905,2.281279638733027,-7.4878E-11,-7.63370E-11,1.473935E-12,-1.49E-14,-3.5E-17,True,0.0000299095360187,0.0000306993631377,-7.89689238222E-7,-1.378815E-10,0.000002503482499801564198579033439
0.91,2.281564161799935,2.281564161727097,-7.2838E-11,-7.42559E-11,1.436407E-12,-1.87E-14,1.93E-16,True,0.0000297447879903,0.0000305301208775,-7.85192870051E-7,-1.400176E-10,0.000002448765142442871735434653487
0.92,2.2818471658126187,2.2818471657417483,-7.08704E-11,-7.22516E-11,1.399991E-12,-1.86E-14,-1.91E-16,True,0.0000295827410897,0.0000303636484504,-7.80765337713E-7,-1.420232E-10,0.000002395667114994809297250907414
0.93,2.2821286755483965,2.28212867547942,-6.89765E-11,-7.03241E-11,1.366017E-12,-1.83E-14,-1.17E-16,True,0.0000294233223208,0.0000301998711300,-7.76404901482E-7,-1.439077E-10,0.000002344279794373831818340388372
0.94,2.282408715047272,2.2824087149801175,-6.71545E-11,-6.84676E-11,1.332490E-12,-1.88E-14,-5.90E-16,True,0.000029266461429,0.0000300387169778,-7.72109870486E-7,-1.456782E-10,0.000002294588984148829125603956868
0.95,2.282687307711406,2.282687307646007,-6.5399E-11,-6.66788E-11,1.300072E-12,-2.00E-14,-2.72E-16,True,0.0000291120907494,0.0000298801167168,-7.67878632237E-7,-1.473351E-10,0.000002246454937330389881475559564
0.96,2.282964476328569,2.2829644762648664,-6.37026E-11,-6.49544E-11,1.264989E-12,-1.30E-14,-1.89E-16,True,0.000028960145107,0.0000297240036051,-7.63709605780E-7,-1.488921E-10,0.000002199664392724411772747958973
0.97,2.2832402430944962,2.2832402430324272,-6.20690E-11,-6.32920E-11,1.237898E-12,-1.49E-14,2E-18,True,0.0000288105616842,0.0000295703133210,-7.59601292314E-7,-1.503439E-10,0.000002154383544491576504145939951
0.98,2.28351462963419,2.2835146295736917,-6.04983E-11,-6.16885E-11,1.207924E-12,-1.77E-14,-2.4E-17,True,0.0000286632799247,0.0000294189838434,-7.55552221007E-7,-1.516980E-10,0.000002110655171317878986642013325
0.99,2.283787657022257,2.28378765696328,-5.8977E-11,-6.0142E-11,1.182614E-12,-1.79E-14,2.86E-16,True,0.0000285182414148,0.0000292699553553,-7.51560980342E-7,-1.529600E-10,0.000002068044769737903172664743382
1,2.2840593458023255,2.284059345744816,-5.75095E-11,-5.86498E-11,1.152856E-12,-1.25E-14,-5.6E-17,True,0.0000283753897969,0.0000291231701401,-7.47626210051E-7,-1.541333E-10,0.000002026738677834229783912470247
