source_id,path,top_level,extension,bytes,sha256,source_url,raw_url
fc-src-93a03d65-github-workflows-release-drafter-demo-ocpapi-yml,.github/workflows/release-drafter-demo_ocpapi.yml,.github,.yml,682,919ac4e720ed8bc1c49bdb525fefb3c0966128300a6dd5d78f8a034f00272644,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/release-drafter-demo_ocpapi.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/release-drafter-demo_ocpapi.yml
fc-src-93a03d65-github-workflows-release-drafter-lammps-yml,.github/workflows/release-drafter-lammps.yml,.github,.yml,684,2676effab2fb2a7b72ca6f45b037ede8d98b5afea3caa900a208a0f2d35b6f82,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/release-drafter-lammps.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/release-drafter-lammps.yml
fc-src-93a03d65-github-workflows-release-yml,.github/workflows/release.yml,.github,.yml,6962,de7537f6c69bea46de993f33599d8aea21c6ce402fcacd6e42e3acfd75018f21,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/release.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/release.yml
fc-src-93a03d65-github-workflows-stale-yml,.github/workflows/stale.yml,.github,.yml,786,097600e377131597a714fa0d10d1ec40e09f47a411d949ad5bf1f04b402e2aa0,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/stale.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/stale.yml
fc-src-93a03d65-github-workflows-sync-fork-yml,.github/workflows/sync-fork.yml,.github,.yml,703,d52ea2574158953e13be7e63b62245eb72459d5825f8b147b02da99a0454b27a,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/sync-fork.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/sync-fork.yml
fc-src-93a03d65-github-workflows-test-release-yml,.github/workflows/test-release.yml,.github,.yml,4724,e7d44ef8d55eb88832e9f5cb5f5ef702d0d03502c32c829e0edf6b8d18bdd01f,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/test-release.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/test-release.yml
fc-src-93a03d65-github-workflows-test-yml,.github/workflows/test.yml,.github,.yml,21950,e643f6efa2e4c16c9b12d3b9c1e3467ae92ab62d973ad9f96e5f8d839f35aba2,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/test.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/test.yml
fc-src-93a03d65-github-workflows-trim-dependabot-yml,.github/workflows/trim-dependabot.yml,.github,.yml,909,184efd965995a3403e2e486bc11e5307a3ebcb5a1a485f028b510ae66ff06134,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/trim-dependabot.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/trim-dependabot.yml
fc-src-93a03d65-gitignore,.gitignore,.gitignore,[none],1840,88c1b0813dff14fab1df4cc411f8308292a8b79c7d85e5a00d4d4b695352aa81,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.gitignore,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.gitignore
fc-src-93a03d65-pre-commit-config-yaml,.pre-commit-config.yaml,.pre-commit-config.yaml,.yaml,552,dc66319f82ba5573f71ebea269fd30f2f818d0e7a52863263266a9df71de494c,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.pre-commit-config.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.pre-commit-config.yaml
fc-src-93a03d65-citation-cff,CITATION.cff,CITATION.cff,.cff,1729,26f0ad3a61ef297957f91fc19dd1eb72c6594fd3a916bc6b7508391f042fc91b,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/CITATION.cff,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/CITATION.cff
fc-src-93a03d65-claude-md,CLAUDE.md,CLAUDE.md,.md,13965,dcd207ccfc5a58fa2ac1298cafe32470f6f58d4f691ff70ed168ea8c3c025c1f,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/CLAUDE.md,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/CLAUDE.md
fc-src-93a03d65-code-of-conduct-md,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,.md,3617,aa521dfb2da67e77b0720ac7b86049fe4f0165e1474f871c10e575a11f72c30d,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/CODE_OF_CONDUCT.md,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/CODE_OF_CONDUCT.md
fc-src-93a03d65-contributing-md,CONTRIBUTING.md,CONTRIBUTING.md,.md,1280,f2396b3249662eab181b76918a8e00b2b5a41ce1dc7b8d14addfcaad77139781,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/CONTRIBUTING.md,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/CONTRIBUTING.md
