# SDCP v7c computed IR (ORCA r2SCAN-3c freq -> mapspc, FWHM 25 cm-1), UNSCALED wavenumbers.
# Multiply wavenumber by 0.965 to compare with experiment (report kb/projects/sdcp_v7c_structure_spectroscopy_report_2026_07_10.md uses scaled values; e.g. O-H 3754 raw -> 3624 scaled).
# Uploaded by user 2026-07-12 (a429bee4-sdcp_v7c_IR.csv). A = 1000 - mapspc transmittance-like value.
# wavenumber_cm-1,A_neutral,A_doped,T_neutral,T_doped  (A = 1000 - mapspc value; FWHM 25; r2SCAN-3c freq)
1157.1800,0.0274,0.0074,999.9726,999.9926
1160.8000,0.0233,0.0068,999.9767,999.9932
1164.4200,0.0180,0.0059,999.9820,999.9941
1168.0400,0.0127,0.0048,999.9873,999.9952
1171.6500,0.0082,0.0037,999.9918,999.9963
1175.2700,0.0050,0.0026,999.9950,999.9974
1178.8900,0.0032,0.0017,999.9968,999.9983
1182.5000,0.0030,0.0011,999.9970,999.9989
1186.1200,0.0042,0.0009,999.9958,999.9991
1189.7400,0.0070,0.0011,999.9930,999.9989
1193.3500,0.0112,0.0019,999.9888,999.9981
1196.9700,0.0163,0.0033,999.9837,999.9967
1200.5900,0.0217,0.0052,999.9783,999.9948
1204.2000,0.0260,0.0075,999.9740,999.9925
1207.8200,0.0281,0.0097,999.9719,999.9903
1211.4400,0.0275,0.0113,999.9725,999.9887
1215.0500,0.0244,0.0119,999.9756,999.9881
1218.6700,0.0197,0.0116,999.9803,999.9884
1222.2900,0.0144,0.0106,999.9856,999.9894
1225.9000,0.0097,0.0093,999.9903,999.9907
1229.5200,0.0061,0.0080,999.9939,999.9920
1233.1400,0.0036,0.0069,999.9964,999.9931
1236.7500,0.0021,0.0059,999.9979,999.9941
1240.3700,0.0013,0.0049,999.9987,999.9951
1243.9900,0.0012,0.0040,999.9988,999.9960
1247.6100,0.0015,0.0032,999.9985,999.9968
1251.2200,0.0022,0.0025,999.9978,999.9975
1254.8400,0.0030,0.0020,999.9970,999.9980
1258.4600,0.0039,0.0019,999.9961,999.9981
1262.0700,0.0045,0.0020,999.9955,999.9980
1265.6900,0.0049,0.0024,999.9951,999.9976
1269.3100,0.0048,0.0028,999.9952,999.9972
1272.9200,0.0046,0.0030,999.9954,999.9970
1276.5400,0.0042,0.0029,999.9958,999.9971
1280.1600,0.0038,0.0026,999.9962,999.9974
1283.7700,0.0034,0.0021,999.9966,999.9979
1287.3900,0.0030,0.0017,999.9970,999.9983
1291.0100,0.0026,0.0015,999.9974,999.9985
1294.6200,0.0022,0.0017,999.9978,999.9983
1298.2400,0.0020,0.0024,999.9980,999.9976
1301.8600,0.0020,0.0036,999.9980,999.9964
1305.4700,0.0025,0.0051,999.9975,999.9949
1309.0900,0.0036,0.0069,999.9964,999.9931
1312.7100,0.0054,0.0084,999.9946,999.9916
1316.3200,0.0077,0.0094,999.9923,999.9906
1319.9400,0.0104,0.0096,999.9896,999.9904
1323.5600,0.0135,0.0092,999.9865,999.9908
1327.1700,0.0168,0.0083,999.9832,999.9917
1330.7900,0.0206,0.0072,999.9794,999.9928
1334.4100,0.0247,0.0062,999.9753,999.9938
1338.0300,0.0286,0.0054,999.9714,999.9946
1341.6400,0.0314,0.0048,999.9686,999.9952
1345.2600,0.0320,0.0042,999.9680,999.9958
1348.8800,0.0302,0.0037,999.9698,999.9963
1352.4900,0.0262,0.0034,999.9738,999.9966
1356.1100,0.0211,0.0035,999.9789,999.9965
1359.7300,0.0162,0.0048,999.9838,999.9952
1363.3400,0.0122,0.0076,999.9878,999.9924
1366.9600,0.0097,0.0122,999.9903,999.9878
1370.5800,0.0086,0.0184,999.9914,999.9816
1374.1900,0.0087,0.0251,999.9913,999.9749
1377.8100,0.0098,0.0306,999.9902,999.9694
1381.4300,0.0113,0.0334,999.9887,999.9666
1385.0400,0.0125,0.0327,999.9875,999.9673
1388.6600,0.0131,0.0288,999.9869,999.9712
1392.2800,0.0127,0.0231,999.9873,999.9769
1395.8900,0.0115,0.0174,999.9885,999.9826
1399.5100,0.0097,0.0128,999.9903,999.9872
1403.1300,0.0077,0.0100,999.9923,999.9900
1406.7400,0.0058,0.0089,999.9942,999.9911
1410.3600,0.0042,0.0090,999.9958,999.9910
1413.9800,0.0029,0.0095,999.9971,999.9905
1417.6000,0.0019,0.0100,999.9981,999.9900
1421.2100,0.0014,0.0101,999.9986,999.9899
1424.8300,0.0011,0.0093,999.9989,999.9907
1428.4500,0.0014,0.0080,999.9986,999.9920
1432.0600,0.0023,0.0063,999.9977,999.9937
1435.6800,0.0042,0.0047,999.9958,999.9953
1439.3000,0.0071,0.0035,999.9929,999.9965
1442.9100,0.0108,0.0028,999.9892,999.9972
1446.5300,0.0148,0.0028,999.9852,999.9972
1450.1500,0.0182,0.0031,999.9818,999.9969
1453.7600,0.0200,0.0036,999.9800,999.9964
1457.3800,0.0198,0.0041,999.9802,999.9959
1461.0000,0.0178,0.0046,999.9822,999.9954
1464.6100,0.0150,0.0055,999.9850,999.9945
1468.2300,0.0122,0.0074,999.9878,999.9926
1471.8500,0.0104,0.0109,999.9896,999.9891
1475.4600,0.0096,0.0166,999.9904,999.9834
1479.0800,0.0100,0.0245,999.9900,999.9755
1482.7000,0.0112,0.0337,999.9888,999.9663
1486.3100,0.0134,0.0421,999.9866,999.9579
1489.9300,0.0166,0.0476,999.9834,999.9524
1493.5500,0.0212,0.0483,999.9788,999.9517
1497.1700,0.0272,0.0440,999.9728,999.9560
