case,channel,status,rho_kind,n_nodes,path_A,path_B,kwarg,tol_A,tol_B,cg_info_A,rtol_A,rtol_B,atol_A,binding_A,sigma_ratio_A,sigma_ratio_B,delta_pct,delta_perm_pct,perm_status,perm_n_moved,perm_path,rho_registered_pct,rho_source
lhs00_103,ionic,OK,iterative,79576,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.1839321588006606e-07,1.1839321542018641e-07,3.884341240111265e-07,9.056693485558693e-09,OK,79576,cg,3.884341240111265e-07,tighten
lhs00_103,electronic,OK,direct,1555,spsolve,spsolve,,,,,,,,,9.90541184178655e-08,9.90541184178655e-08,0.0,4.995111390698913e-10,OK,1554,spsolve,4.995111390698913e-10,permutation
lhs00_103,thermal,OK,iterative,81131,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.103676232026776e-06,2.1036762124787883e-06,9.292298605131735e-07,6.534240070293863e-07,OK,81130,cg,9.292298605131735e-07,tighten
lhs00_104,ionic,OK,iterative,42129,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,4.9466289409898446e-09,4.946628928940197e-09,2.4359311483202526e-07,2.2664542603189034e-08,OK,42128,cg,2.4359311483202526e-07,tighten
lhs00_104,electronic,OK,direct,12434,spsolve,spsolve,,,,,,,,,1.4644987516537724e-07,1.4644987516537724e-07,0.0,3.823797436639193e-10,OK,12433,spsolve,3.823797436639193e-10,permutation
lhs00_104,thermal,OK,iterative,54563,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.6114851021613315e-06,1.6114850913674621e-06,6.69808822286629e-07,1.3319816100681748e-07,OK,54560,cg,6.69808822286629e-07,tighten
lhs00_105,ionic,SOLVE_NONE,none,3315,none,none,,,,,,,,,,,,,skipped,,,,
lhs00_105,electronic,OK,direct,1555,spsolve,spsolve,,,,,,,,,1.8764209016471595e-07,1.8764209016471595e-07,0.0,1.5723133502804642e-10,OK,1554,spsolve,1.5723133502804642e-10,permutation
lhs00_105,thermal,OK,direct,4870,spsolve,spsolve,,,,,,,,,1.5835314363525034e-06,1.5835314363525034e-06,0.0,5.870140060381006e-10,OK,4869,spsolve,5.870140060381006e-10,permutation
lhs00_106,ionic,OK,iterative,30315,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.575927557271918e-07,1.5759275481325082e-07,5.799384467345337e-07,1.5912831195146518e-10,OK,30315,cg,5.799384467345337e-07,tighten
