E-EF,total,Li,P,S,Cl,O,Nd,Nd1_4f,Nd2_4f   # Gaussian 0.1 eV smoothed
2.6910,42.759,7.5915,9.9979,10.79,0.76856,0.37613,8.9056,0.18863,2.4482
2.7310,45.933,8.2653,10.659,11.359,0.83019,0.392,9.7728,0.21308,3.4469
2.7710,49.255,8.9537,11.232,11.863,0.89966,0.41041,10.948,0.25232,4.7883
2.8110,52.665,9.6302,11.713,12.305,0.97375,0.43163,12.401,0.32057,6.3995
2.8510,55.94,10.249,12.096,12.682,1.0459,0.45407,13.976,0.44632,8.0644
2.8910,58.663,10.743,12.355,12.962,1.1068,0.47363,15.409,0.68001,9.4475
2.9310,60.382,11.044,12.455,13.093,1.1481,0.48536,16.432,1.1005,10.197
2.9710,60.873,11.124,12.374,13.041,1.1662,0.48636,16.921,1.8117,10.092
3.0110,60.324,11.014,12.131,12.818,1.1652,0.47754,16.986,2.9161,9.1527
3.0510,59.286,10.808,11.787,12.486,1.1553,0.46314,16.919,4.4597,7.6357
3.0910,58.394,10.623,11.428,12.137,1.1496,0.44867,17.006,6.3622,5.9182
3.1310,58.041,10.565,11.128,11.856,1.1591,0.43882,17.331,8.3709,4.3408
3.1710,58.207,10.693,10.928,11.69,1.1899,0.43671,17.702,10.088,3.1027
3.2110,58.54,11.008,10.83,11.642,1.2413,0.44404,17.761,11.091,2.2473
3.2510,58.611,11.467,10.811,11.681,1.3077,0.46143,17.194,11.102,1.7156
3.2910,58.189,12.012,10.838,11.769,1.3817,0.48862,15.912,10.119,1.4142
3.3310,57.357,12.602,10.891,11.879,1.458,0.52437,14.101,8.4147,1.2629
3.3710,56.446,13.22,10.964,12.005,1.5349,0.56646,12.12,6.4179,1.2142
3.4110,55.838,13.863,11.062,12.158,1.613,0.61179,10.346,4.536,1.2567
3.4510,55.77,14.514,11.178,12.34,1.691,0.65677,9.0472,3.0283,1.4117
3.4910,56.246,15.129,11.288,12.53,1.7641,0.6977,8.3461,1.9751,1.7289
3.5310,57.078,15.643,11.347,12.68,1.8245,0.73124,8.2471,1.3259,2.2729
3.5710,57.988,15.995,11.308,12.731,1.8647,0.75463,8.6767,0.97442,3.093
3.6110,58.697,16.142,11.134,12.636,1.8793,0.76585,9.5015,0.81792,4.1769
3.6510,58.948,16.071,10.814,12.374,1.866,0.76367,10.523,0.78598,5.4071
3.6910,58.487,15.784,10.347,11.943,1.8249,0.74772,11.483,0.84599,6.5553
3.7310,57.059,15.297,9.7355,11.348,1.7572,0.71848,12.107,0.99615,7.3369
3.7710,54.469,14.622,8.9784,10.591,1.6655,0.67706,12.19,1.2527,7.5167
3.8110,50.676,13.767,8.0791,9.6738,1.5531,0.62502,11.681,1.6326,7.0134
3.8510,45.844,12.73,7.061,8.6103,1.423,0.56413,10.696,2.1306,5.9405
3.8910,40.283,11.502,5.9703,7.4336,1.2769,0.49626,9.4579,2.6972,4.5589
3.9310,34.339,10.077,4.8669,6.1948,1.1152,0.42341,8.1741,3.228,3.1663
3.9710,28.299,8.477,3.8099,4.9547,0.93912,0.34797,6.9506,3.5837,1.9895
4.0110,22.387,6.7749,2.8482,3.777,0.754,0.27313,5.786,3.6406,1.1317
4.0510,16.83,5.0898,2.0184,2.7216,0.57045,0.20281,4.64,3.3517,0.58376
4.0910,11.88,3.5598,1.3438,1.8372,0.40231,0.14107,3.5104,2.7774,0.27396
4.1310,7.7833,2.2986,0.83278,1.1514,0.26206,0.091068,2.4577,2.0617,0.11752
4.1710,4.688,1.3617,0.4764,0.6649,0.15658,0.054146,1.5703,1.3677,0.04636
4.2110,2.5888,0.73976,0.25085,0.35302,0.085768,0.029604,0.91209,0.8143,0.016937
4.2510,1.3495,0.37989,0.12491,0.17722,0.044406,0.015332,0.49663,0.45107,0.0058592
4.2910,0.79062,0.21993,0.070253,0.10043,0.0259,0.0089547,0.30114,0.27673,0.0023176
