# Li3N(001) Li-adatom migration: OPTIMAL re-fit of NEB profile
# Fit = clamped cubic spline (zero slope at endpoint minima) through 7 NEB images
# reaction_coord 0..1 = image index/6 ; adatom_fx = lateral position (frac a)
# migstep barrier (spline peak) = 102.0 meV ; cosine-model Eb = 103.3 meV (R2=0.9491)
reaction_coord,adatom_fx,Li3N_migstep_meV,Li3N_migstep_eV,Li3N_migstep_cosfit_eV,Li3N_rawNEB_meV,Li3N_rawNEB_eV,LiC6_meV,LiC6_eV
0.76250,0.39954,38.973,0.03897,0.04761,47.487,0.04749,229.798,0.22980
0.76500,0.40048,37.708,0.03771,0.04680,48.825,0.04882,227.880,0.22788
0.76750,0.40142,36.451,0.03645,0.04600,50.143,0.05014,225.922,0.22592
0.77000,0.40235,35.201,0.03520,0.04519,51.441,0.05144,223.922,0.22392
0.77250,0.40328,33.962,0.03396,0.04439,52.718,0.05272,221.881,0.22188
0.77500,0.40421,32.732,0.03273,0.04358,53.974,0.05397,219.797,0.21980
0.77750,0.40513,31.513,0.03151,0.04278,55.209,0.05521,217.671,0.21767
0.78000,0.40606,30.305,0.03031,0.04199,56.421,0.05642,215.502,0.21550
0.78250,0.40698,29.111,0.02911,0.04119,57.611,0.05761,213.290,0.21329
0.78500,0.40790,27.930,0.02793,0.04040,58.777,0.05878,211.034,0.21103
0.78750,0.40882,26.763,0.02676,0.03961,59.920,0.05992,208.735,0.20873
0.79000,0.40974,25.612,0.02561,0.03882,61.038,0.06104,206.390,0.20639
0.79250,0.41066,24.477,0.02448,0.03803,62.132,0.06213,204.001,0.20400
0.79500,0.41158,23.359,0.02336,0.03725,63.200,0.06320,201.567,0.20157
0.79750,0.41251,22.259,0.02226,0.03647,64.242,0.06424,199.087,0.19909
0.80000,0.41343,21.178,0.02118,0.03570,65.257,0.06526,196.562,0.19656
0.80250,0.41435,20.116,0.02012,0.03493,66.246,0.06625,193.989,0.19399
0.80500,0.41528,19.076,0.01908,0.03417,67.207,0.06721,191.370,0.19137
0.80750,0.41620,18.056,0.01806,0.03340,68.139,0.06814,188.704,0.18870
0.81000,0.41713,17.060,0.01706,0.03265,69.043,0.06904,185.991,0.18599
0.81250,0.41807,16.086,0.01609,0.03189,69.918,0.06992,183.229,0.18323
0.81500,0.41900,15.137,0.01514,0.03115,70.763,0.07076,180.419,0.18042
0.81750,0.41994,14.213,0.01421,0.03041,71.578,0.07158,177.561,0.17756
0.82000,0.42089,13.315,0.01331,0.02967,72.362,0.07236,174.653,0.17465
0.82250,0.42183,12.444,0.01244,0.02894,73.114,0.07311,171.696,0.17170
0.82500,0.42279,11.600,0.01160,0.02821,73.835,0.07384,168.689,0.16869
0.82750,0.42374,10.785,0.01079,0.02749,74.523,0.07452,165.631,0.16563
0.83000,0.42471,10.000,0.01000,0.02678,75.179,0.07518,162.523,0.16252
0.83250,0.42568,9.245,0.00924,0.02607,75.800,0.07580,159.364,0.15936
0.83500,0.42665,8.521,0.00852,0.02537,76.388,0.07639,156.154,0.15615
0.83750,0.42763,7.828,0.00783,0.02467,76.942,0.07694,152.894,0.15289
0.84000,0.42862,7.166,0.00717,0.02398,77.463,0.07746,149.588,0.14959
0.84250,0.42961,6.534,0.00653,0.02330,77.952,0.07795,146.238,0.14624
0.84500,0.43061,5.931,0.00593,0.02263,78.409,0.07841,142.847,0.14285
0.84750,0.43161,5.357,0.00536,0.02196,78.836,0.07884,139.419,0.13942
0.85000,0.43262,4.811,0.00481,0.02130,79.232,0.07923,135.956,0.13596
0.85250,0.43364,4.293,0.00429,0.02064,79.600,0.07960,132.462,0.13246
0.85500,0.43466,3.801,0.00380,0.02000,79.939,0.07994,128.938,0.12894
0.85750,0.43568,3.336,0.00334,0.01936,80.250,0.08025,125.389,0.12539
0.86000,0.43671,2.896,0.00290,0.01873,80.535,0.08053,121.818,0.12182
0.86250,0.43775,2.481,0.00248,0.01811,80.793,0.08079,118.227,0.11823
0.86500,0.43879,2.090,0.00209,0.01750,81.026,0.08103,114.619,0.11462
0.86750,0.43984,1.724,0.00172,0.01689,81.234,0.08123,110.997,0.11100
0.87000,0.44089,1.380,0.00138,0.01630,81.419,0.08142,107.365,0.10736
0.87250,0.44194,1.059,0.00106,0.01571,81.580,0.08158,103.725,0.10372
0.87500,0.44301,0.759,0.00076,0.01513,81.719,0.08172,100.080,0.10008
0.87750,0.44407,0.481,0.00048,0.01456,81.837,0.08184,96.433,0.09643
0.88000,0.44514,0.224,0.00022,0.01400,81.933,0.08193,92.787,0.09279
0.88250,0.44622,-0.013,-0.00001,0.01345,82.010,0.08201,89.146,0.08915
0.88500,0.44729,-0.231,-0.00023,0.01291,82.067,0.08207,85.512,0.08551
0.88750,0.44838,-0.431,-0.00043,0.01238,82.106,0.08211,81.888,0.08189
0.89000,0.44946,-0.612,-0.00061,0.01186,82.127,0.08213,78.278,0.07828
0.89250,0.45055,-0.775,-0.00078,0.01134,82.131,0.08213,74.683,0.07468
0.89500,0.45165,-0.922,-0.00092,0.01084,82.119,0.08212,71.108,0.07111
0.89750,0.45275,-1.052,-0.00105,0.01035,82.091,0.08209,67.554,0.06755
0.90000,0.45385,-1.166,-0.00117,0.00987,82.048,0.08205,64.026,0.06403
0.90250,0.45496,-1.266,-0.00127,0.00940,81.992,0.08199,60.526,0.06053
0.90500,0.45607,-1.351,-0.00135,0.00893,81.922,0.08192,57.057,0.05706
0.90750,0.45718,-1.422,-0.00142,0.00848,81.840,0.08184,53.623,0.05362
0.91000,0.45830,-1.480,-0.00148,0.00804,81.746,0.08175,50.225,0.05022
0.91250,0.45942,-1.526,-0.00153,0.00761,81.641,0.08164,46.867,0.04687
0.91500,0.46054,-1.559,-0.00156,0.00719,81.527,0.08153,43.552,0.04355
0.91750,0.46167,-1.581,-0.00158,0.00679,81.402,0.08140,40.284,0.04028
0.92000,0.46280,-1.593,-0.00159,0.00639,81.269,0.08127,37.064,0.03706
0.92250,0.46393,-1.594,-0.00159,0.00601,81.128,0.08113,33.897,0.03390
0.92500,0.46507,-1.586,-0.00159,0.00563,80.980,0.08098,30.784,0.03078
0.92750,0.46620,-1.568,-0.00157,0.00527,80.826,0.08083,27.729,0.02773
0.93000,0.46734,-1.543,-0.00154,0.00492,80.666,0.08067,24.736,0.02474
0.93250,0.46849,-1.510,-0.00151,0.00458,80.501,0.08050,21.806,0.02181
0.93500,0.46963,-1.470,-0.00147,0.00425,80.333,0.08033,18.943,0.01894
0.93750,0.47078,-1.424,-0.00142,0.00393,80.160,0.08016,16.151,0.01615
0.94000,0.47193,-1.372,-0.00137,0.00363,79.986,0.07999,13.431,0.01343
0.94250,0.47309,-1.314,-0.00131,0.00334,79.809,0.07981,10.787,0.01079
0.94500,0.47424,-1.253,-0.00125,0.00305,79.631,0.07963,8.222,0.00822
0.94750,0.47540,-1.187,-0.00119,0.00279,79.454,0.07945,5.739,0.00574
0.95000,0.47656,-1.118,-0.00112,0.00253,79.276,0.07928,3.340,0.00334
0.95250,0.47772,-1.046,-0.00105,0.00228,79.100,0.07910,1.030,0.00103
0.95500,0.47888,-0.972,-0.00097,0.00205,78.926,0.07893,-1.190,-0.00119
0.95750,0.48004,-0.897,-0.00090,0.00183,78.754,0.07875,-3.315,-0.00332
0.96000,0.48121,-0.821,-0.00082,0.00162,78.587,0.07859,-5.344,-0.00534
0.96250,0.48238,-0.745,-0.00074,0.00143,78.423,0.07842,-7.273,-0.00727
0.96500,0.48355,-0.669,-0.00067,0.00124,78.264,0.07826,-9.100,-0.00910
0.96750,0.48472,-0.594,-0.00059,0.00107,78.112,0.07811,-10.820,-0.01082
0.97000,0.48589,-0.521,-0.00052,0.00092,77.965,0.07797,-12.432,-0.01243
0.97250,0.48706,-0.451,-0.00045,0.00077,77.827,0.07783,-13.932,-0.01393
0.97500,0.48823,-0.383,-0.00038,0.00064,77.696,0.07770,-15.317,-0.01532
0.97750,0.48941,-0.318,-0.00032,0.00052,77.574,0.07757,-16.584,-0.01658
0.98000,0.49058,-0.258,-0.00026,0.00041,77.462,0.07746,-17.731,-0.01773
0.98250,0.49176,-0.203,-0.00020,0.00031,77.360,0.07736,-18.754,-0.01875
0.98500,0.49293,-0.153,-0.00015,0.00023,77.269,0.07727,-19.650,-0.01965
0.98750,0.49411,-0.109,-0.00011,0.00016,77.190,0.07719,-20.417,-0.02042
0.99000,0.49529,-0.071,-0.00007,0.00010,77.123,0.07712,-21.051,-0.02105
0.99250,0.49647,-0.041,-0.00004,0.00006,77.071,0.07707,-21.549,-0.02155
0.99500,0.49764,-0.019,-0.00002,0.00003,77.032,0.07703,-21.909,-0.02191
0.99750,0.49882,-0.005,-0.00000,0.00001,77.008,0.07701,-22.127,-0.02213
1.00000,0.50000,0.000,0.00000,0.00000,77.000,0.07700,-22.200,-0.02220
