E_minus_VBM,Li,P,S,Cl,O
-1.7400,6.7528,0.3181,43.9212,7.6864,0.5488
-1.7200,6.7407,0.3186,43.6387,7.5466,0.5349
-1.7000,6.6990,0.3163,42.9867,7.3151,0.5237
-1.6800,6.6335,0.3119,42.0668,7.0163,0.5128
-1.6600,6.5553,0.3067,41.0289,6.6827,0.5030
-1.6400,6.4717,0.3014,40.0014,6.3441,0.4970
-1.6200,6.3805,0.2961,39.0466,6.0207,0.4990
-1.6000,6.2734,0.2899,38.1611,5.7237,0.5122
-1.5800,6.1428,0.2822,37.3048,5.4580,0.5375
-1.5600,5.9870,0.2725,36.4264,5.2226,0.5707
-1.5400,5.8086,0.2611,35.4785,5.0096,0.6039
-1.5200,5.6120,0.2485,34.4349,4.8068,0.6272
-1.5000,5.4039,0.2357,33.3191,4.6060,0.6335
-1.4800,5.1966,0.2234,32.2154,4.4097,0.6213
-1.4600,5.0074,0.2128,31.2433,4.2317,0.5955
-1.4400,4.8494,0.2046,30.4813,4.0883,0.5642
-1.4200,4.7174,0.1985,29.8805,3.9832,0.5339
-1.4000,4.5821,0.1932,29.2500,3.9002,0.5067
-1.3800,4.4058,0.1868,28.3624,3.8136,0.4801
-1.3600,4.1711,0.1784,27.1289,3.7106,0.4511
-1.3400,3.8997,0.1686,25.7137,3.6104,0.4190
-1.3200,3.6460,0.1596,24.4877,3.5590,0.3858
-1.3000,3.4664,0.1532,23.8238,3.5981,0.3550
-1.2800,3.3832,0.1505,23.8584,3.7264,0.3296
-1.2600,3.3708,0.1502,24.3882,3.8870,0.3104
-1.2400,3.3726,0.1499,24.9813,3.9926,0.2966
-1.2200,3.3333,0.1471,25.2073,3.9719,0.2877
-1.2000,3.2239,0.1405,24.8269,3.8017,0.2849
-1.1800,3.0456,0.1303,23.8386,3.5062,0.2910
-1.1600,2.8220,0.1180,22.4250,3.1356,0.3085
-1.1400,2.5892,0.1058,20.8665,2.7454,0.3373
-1.1200,2.3864,0.0958,19.4459,2.3811,0.3728
-1.1000,2.2457,0.0894,18.3657,2.0678,0.4073
-1.0800,2.1857,0.0868,17.7231,1.8088,0.4331
-1.0600,2.2140,0.0879,17.5653,1.5958,0.4469
-1.0400,2.3340,0.0923,17.9631,1.4237,0.4519
-1.0200,2.5496,0.0998,19.0305,1.2981,0.4557
-1.0000,2.8624,0.1102,20.8622,1.2299,0.4659
-0.9800,3.2662,0.1229,23.4486,1.2238,0.4862
-0.9600,3.7387,0.1367,26.6130,1.2709,0.5145
-0.9400,4.2386,0.1501,30.0251,1.3493,0.5438
-0.9200,4.7123,0.1615,33.2865,1.4323,0.5651
