frame,t_ps,P_S,S_Li,P_Li,Li_penetrated,P_O,O_Li
435.000,87.000,1.800,5.429,4.200,40.000,1.000,2.000
436.000,87.200,1.800,5.048,4.200,40.000,1.000,2.000
437.000,87.400,1.800,5.381,4.000,39.000,1.000,2.000
438.000,87.600,1.800,5.333,4.200,39.000,1.000,2.000
439.000,87.800,1.800,5.381,4.200,39.000,1.000,2.000
440.000,88.000,1.800,5.524,4.200,39.000,1.000,2.000
441.000,88.200,1.800,5.238,3.600,39.000,1.000,2.000
442.000,88.400,1.800,5.333,4.000,39.000,1.000,2.000
443.000,88.600,1.800,5.476,4.200,39.000,1.000,2.000
444.000,88.800,1.800,5.476,3.800,39.000,1.000,2.000
445.000,89.000,1.800,5.571,4.000,39.000,1.000,2.000
446.000,89.200,1.800,5.333,4.200,39.000,1.000,2.000
447.000,89.400,1.600,5.667,4.000,39.000,1.000,2.000
448.000,89.600,1.800,5.333,4.600,39.000,1.000,2.000
449.000,89.800,1.800,5.571,4.000,39.000,1.000,2.000
450.000,90.000,1.600,5.524,4.200,38.000,1.000,2.000
451.000,90.200,1.800,5.190,4.000,39.000,1.000,2.000
452.000,90.400,1.800,5.333,4.000,39.000,1.000,2.000
453.000,90.600,1.800,5.381,3.800,39.000,1.000,2.000
454.000,90.800,1.800,5.524,3.800,39.000,1.000,2.000
455.000,91.000,1.800,5.429,4.000,39.000,1.000,2.000
456.000,91.200,1.800,5.143,4.000,39.000,1.000,3.000
457.000,91.400,1.800,5.476,4.800,39.000,1.000,3.000
458.000,91.600,1.800,5.667,4.200,39.000,1.000,1.000
459.000,91.800,1.800,5.571,4.600,39.000,1.000,2.000
460.000,92.000,1.800,5.429,3.800,40.000,1.000,3.000
461.000,92.200,1.800,5.381,4.400,40.000,1.000,2.000
462.000,92.400,1.800,5.190,3.800,40.000,1.000,1.000
463.000,92.600,1.800,5.238,4.000,40.000,1.000,2.000
464.000,92.800,1.800,5.524,4.200,40.000,1.000,2.000
465.000,93.000,1.800,5.286,4.400,40.000,1.000,2.000
466.000,93.200,1.800,5.667,4.200,40.000,1.000,2.000
467.000,93.400,1.800,5.333,4.600,40.000,1.000,2.000
468.000,93.600,1.800,5.524,4.600,39.000,1.000,2.000
469.000,93.800,1.800,5.238,4.000,40.000,1.000,1.000
470.000,94.000,1.800,5.429,4.600,40.000,1.000,2.000
471.000,94.200,1.800,5.381,4.600,40.000,1.000,2.000
472.000,94.400,1.800,5.429,3.800,40.000,1.000,2.000
473.000,94.600,1.800,5.571,4.400,40.000,1.000,2.000
474.000,94.800,1.800,5.190,4.400,40.000,1.000,1.000
475.000,95.000,1.800,5.190,4.800,40.000,1.000,2.000
476.000,95.200,1.800,5.571,4.400,40.000,1.000,2.000
477.000,95.400,1.800,5.381,4.200,40.000,1.000,2.000
478.000,95.600,1.800,5.476,3.600,40.000,1.000,2.000
479.000,95.800,1.800,5.476,4.800,40.000,1.000,2.000
480.000,96.000,1.800,5.190,4.600,40.000,1.000,3.000
481.000,96.200,1.800,5.381,4.000,40.000,1.000,3.000
482.000,96.400,1.600,5.714,3.800,40.000,1.000,3.000
483.000,96.600,1.800,5.429,4.000,40.000,1.000,3.000
484.000,96.800,1.800,5.619,4.200,40.000,1.000,2.000
485.000,97.000,1.800,5.429,4.400,40.000,1.000,3.000
486.000,97.200,1.800,5.429,5.200,40.000,1.000,3.000
487.000,97.400,1.600,5.333,4.000,40.000,1.000,3.000
488.000,97.600,1.800,5.476,3.600,40.000,1.000,3.000
489.000,97.800,1.800,5.524,4.200,40.000,1.000,2.000
490.000,98.000,1.800,5.190,4.600,40.000,1.000,3.000
491.000,98.200,1.800,5.286,4.000,40.000,1.000,1.000
492.000,98.400,1.800,5.333,4.400,40.000,1.000,3.000
493.000,98.600,1.800,5.476,4.200,40.000,1.000,3.000
494.000,98.800,1.800,5.381,4.200,40.000,1.000,2.000
495.000,99.000,1.800,5.190,4.400,40.000,1.000,2.000
496.000,99.200,1.600,5.333,4.000,40.000,1.000,1.000
497.000,99.400,1.600,5.429,4.400,40.000,1.000,2.000
498.000,99.600,1.600,5.381,4.400,40.000,1.000,2.000
499.000,99.800,1.600,5.381,4.800,39.000,1.000,2.000
