E_minus_VBM,free_S,B_S,PS4_S,Cl,O
1.0200,0.0002,0.0069,0.0046,0.0000,0.0001
1.0400,0.0002,0.0068,0.0047,0.0000,0.0001
1.0600,0.0002,0.0066,0.0048,0.0000,0.0001
1.0800,0.0001,0.0065,0.0049,0.0001,0.0002
1.1000,0.0001,0.0063,0.0050,0.0001,0.0002
1.1200,0.0001,0.0062,0.0051,0.0001,0.0002
1.1400,0.0001,0.0061,0.0052,0.0001,0.0002
1.1600,0.0001,0.0059,0.0053,0.0001,0.0002
1.1800,0.0001,0.0058,0.0054,0.0001,0.0002
1.2000,0.0001,0.0056,0.0055,0.0001,0.0002
1.2200,0.0001,0.0055,0.0056,0.0001,0.0002
1.2400,0.0001,0.0053,0.0057,0.0001,0.0002
1.2600,0.0001,0.0052,0.0058,0.0001,0.0002
1.2800,0.0001,0.0050,0.0059,0.0001,0.0002
1.3000,0.0001,0.0049,0.0060,0.0001,0.0002
1.3200,0.0001,0.0048,0.0061,0.0001,0.0002
1.3400,0.0001,0.0046,0.0062,0.0001,0.0002
1.3600,0.0001,0.0045,0.0063,0.0001,0.0002
1.3800,0.0001,0.0043,0.0064,0.0001,0.0002
1.4000,0.0001,0.0042,0.0065,0.0001,0.0002
1.4200,0.0001,0.0040,0.0067,0.0001,0.0002
1.4400,0.0001,0.0039,0.0068,0.0001,0.0002
1.4600,0.0001,0.0037,0.0069,0.0001,0.0002
1.4800,0.0001,0.0036,0.0070,0.0001,0.0002
1.5000,0.0001,0.0035,0.0071,0.0001,0.0002
1.5200,0.0001,0.0033,0.0072,0.0001,0.0002
1.5400,0.0001,0.0032,0.0073,0.0001,0.0002
1.5600,0.0001,0.0030,0.0074,0.0001,0.0002
1.5800,0.0001,0.0029,0.0075,0.0001,0.0002
1.6000,0.0001,0.0027,0.0076,0.0001,0.0002
1.6200,0.0001,0.0026,0.0077,0.0001,0.0002
1.6400,0.0001,0.0024,0.0078,0.0001,0.0002
1.6600,0.0001,0.0023,0.0079,0.0001,0.0002
1.6800,0.0001,0.0022,0.0080,0.0001,0.0002
1.7000,0.0001,0.0020,0.0081,0.0001,0.0002
1.7200,0.0001,0.0019,0.0082,0.0001,0.0002
1.7400,0.0001,0.0017,0.0083,0.0001,0.0002
1.7600,0.0001,0.0016,0.0084,0.0001,0.0002
1.7800,0.0001,0.0014,0.0085,0.0001,0.0002
1.8000,0.0001,0.0013,0.0086,0.0001,0.0002
1.8200,0.0001,0.0012,0.0088,0.0001,0.0002
1.8400,0.0001,0.0010,0.0089,0.0001,0.0002
1.8600,0.0001,0.0009,0.0091,0.0001,0.0002
1.8800,0.0001,0.0007,0.0093,0.0001,0.0002
1.9000,0.0001,0.0006,0.0096,0.0001,0.0002
1.9200,0.0001,0.0005,0.0102,0.0001,0.0002
1.9400,0.0001,0.0004,0.0109,0.0001,0.0003
1.9600,0.0002,0.0003,0.0119,0.0001,0.0003
1.9800,0.0002,0.0002,0.0132,0.0002,0.0003
2.0000,0.0003,0.0002,0.0148,0.0002,0.0004
2.0200,0.0003,0.0001,0.0167,0.0002,0.0005
2.0400,0.0004,0.0001,0.0187,0.0002,0.0005
2.0600,0.0004,0.0001,0.0209,0.0002,0.0006
2.0800,0.0005,0.0001,0.0231,0.0003,0.0007
2.1000,0.0006,0.0001,0.0254,0.0003,0.0008
2.1200,0.0007,0.0001,0.0277,0.0003,0.0009
2.1400,0.0008,0.0002,0.0301,0.0003,0.0009
2.1600,0.0008,0.0002,0.0325,0.0004,0.0010
2.1800,0.0010,0.0002,0.0350,0.0004,0.0011
2.2000,0.0011,0.0002,0.0376,0.0004,0.0012
2.2200,0.0012,0.0002,0.0403,0.0005,0.0013
2.2400,0.0013,0.0003,0.0431,0.0005,0.0015
2.2600,0.0015,0.0003,0.0461,0.0006,0.0016
2.2800,0.0017,0.0004,0.0493,0.0006,0.0017
2.3000,0.0019,0.0005,0.0527,0.0007,0.0019
2.3200,0.0021,0.0006,0.0563,0.0007,0.0020
2.3400,0.0023,0.0008,0.0602,0.0008,0.0022
2.3600,0.0025,0.0011,0.0643,0.0009,0.0023
2.3800,0.0028,0.0016,0.0686,0.0010,0.0025
2.4000,0.0031,0.0023,0.0731,0.0011,0.0027
2.4200,0.0035,0.0033,0.0779,0.0012,0.0029
2.4400,0.0038,0.0047,0.0828,0.0013,0.0031
2.4600,0.0043,0.0066,0.0878,0.0014,0.0032
2.4800,0.0047,0.0090,0.0930,0.0016,0.0034
2.5000,0.0053,0.0120,0.0983,0.0018,0.0036
2.5200,0.0059,0.0157,0.1037,0.0019,0.0038
2.5400,0.0065,0.0202,0.1091,0.0022,0.0040
2.5600,0.0072,0.0257,0.1144,0.0024,0.0042
2.5800,0.0080,0.0322,0.1197,0.0026,0.0045
2.6000,0.0088,0.0396,0.1248,0.0029,0.0047
2.6200,0.0097,0.0479,0.1298,0.0031,0.0050
2.6400,0.0106,0.0570,0.1345,0.0034,0.0052
2.6600,0.0115,0.0669,0.1388,0.0037,0.0055
2.6800,0.0125,0.0774,0.1428,0.0040,0.0058
2.7000,0.0135,0.0883,0.1463,0.0043,0.0061
2.7200,0.0145,0.0997,0.1494,0.0045,0.0064
2.7400,0.0154,0.1112,0.1520,0.0048,0.0068
2.7600,0.0164,0.1226,0.1544,0.0050,0.0071
2.7800,0.0174,0.1338,0.1564,0.0052,0.0075
2.8000,0.0183,0.1444,0.1582,0.0054,0.0079
2.8200,0.0192,0.1543,0.1597,0.0056,0.0083
2.8400,0.0200,0.1634,0.1612,0.0057,0.0088
2.8600,0.0208,0.1714,0.1625,0.0058,0.0093
2.8800,0.0216,0.1783,0.1638,0.0059,0.0098
2.9000,0.0222,0.1838,0.1650,0.0060,0.0104
2.9200,0.0228,0.1879,0.1663,0.0060,0.0109
2.9400,0.0234,0.1905,0.1676,0.0060,0.0115
2.9600,0.0238,0.1915,0.1689,0.0060,0.0121
2.9800,0.0241,0.1908,0.1701,0.0060,0.0127
3.0000,0.0243,0.1887,0.1713,0.0059,0.0133
3.0200,0.0244,0.1850,0.1722,0.0059,0.0139
3.0400,0.0244,0.1800,0.1728,0.0058,0.0144
3.0600,0.0242,0.1736,0.1731,0.0058,0.0149
3.0800,0.0239,0.1663,0.1731,0.0057,0.0153
3.1000,0.0235,0.1583,0.1727,0.0056,0.0157
3.1200,0.0230,0.1502,0.1720,0.0056,0.0161
3.1400,0.0225,0.1424,0.1710,0.0056,0.0164
3.1600,0.0219,0.1354,0.1697,0.0055,0.0166
3.1800,0.0213,0.1295,0.1680,0.0055,0.0168
3.2000,0.0207,0.1247,0.1661,0.0055,0.0170
3.2200,0.0201,0.1212,0.1638,0.0056,0.0171
3.2400,0.0195,0.1188,0.1612,0.0056,0.0171
3.2600,0.0189,0.1174,0.1583,0.0056,0.0171
3.2800,0.0183,0.1170,0.1550,0.0056,0.0171
3.3000,0.0177,0.1174,0.1514,0.0057,0.0169
3.3200,0.0170,0.1183,0.1477,0.0057,0.0167
3.3400,0.0164,0.1196,0.1439,0.0057,0.0165
3.3600,0.0158,0.1210,0.1403,0.0058,0.0162
3.3800,0.0151,0.1220,0.1370,0.0059,0.0159
3.4000,0.0145,0.1225,0.1345,0.0060,0.0157
3.4200,0.0139,0.1223,0.1327,0.0061,0.0155
3.4400,0.0133,0.1212,0.1319,0.0063,0.0154
3.4600,0.0128,0.1192,0.1322,0.0066,0.0154
3.4800,0.0124,0.1162,0.1339,0.0069,0.0155
3.5000,0.0120,0.1123,0.1370,0.0073,0.0158
3.5200,0.0117,0.1074,0.1417,0.0077,0.0162
3.5400,0.0116,0.1016,0.1481,0.0082,0.0169
3.5600,0.0116,0.0951,0.1560,0.0087,0.0177
3.5800,0.0118,0.0879,0.1652,0.0093,0.0187
3.6000,0.0120,0.0804,0.1753,0.0099,0.0199
3.6200,0.0124,0.0729,0.1862,0.0106,0.0212
3.6400,0.0128,0.0655,0.1973,0.0112,0.0225
3.6600,0.0134,0.0584,0.2086,0.0119,0.0240
3.6800,0.0140,0.0517,0.2197,0.0125,0.0254
3.7000,0.0147,0.0457,0.2304,0.0132,0.0269
3.7200,0.0154,0.0402,0.2404,0.0138,0.0282
3.7400,0.0161,0.0355,0.2496,0.0144,0.0294
3.7600,0.0168,0.0316,0.2577,0.0149,0.0304
3.7800,0.0175,0.0285,0.2645,0.0153,0.0311
3.8000,0.0182,0.0262,0.2699,0.0157,0.0317
3.8200,0.0188,0.0245,0.2739,0.0161,0.0320
3.8400,0.0193,0.0233,0.2764,0.0163,0.0321
3.8600,0.0198,0.0225,0.2774,0.0165,0.0321
3.8800,0.0203,0.0220,0.2769,0.0166,0.0319
3.9000,0.0206,0.0216,0.2749,0.0167,0.0317
3.9200,0.0210,0.0214,0.2717,0.0167,0.0315
3.9400,0.0213,0.0213,0.2675,0.0167,0.0313
3.9600,0.0217,0.0212,0.2628,0.0167,0.0313
3.9800,0.0221,0.0211,0.2580,0.0167,0.0315
4.0000,0.0226,0.0210,0.2535,0.0167,0.0319
4.0200,0.0232,0.0210,0.2497,0.0168,0.0328
4.0400,0.0240,0.0210,0.2467,0.0169,0.0340
4.0600,0.0250,0.0211,0.2449,0.0172,0.0355
4.0800,0.0261,0.0215,0.2445,0.0175,0.0375
4.1000,0.0274,0.0221,0.2457,0.0179,0.0398
4.1200,0.0289,0.0231,0.2485,0.0184,0.0425
4.1400,0.0307,0.0244,0.2531,0.0191,0.0455
4.1600,0.0326,0.0262,0.2594,0.0198,0.0488
4.1800,0.0347,0.0284,0.2669,0.0207,0.0523
4.2000,0.0370,0.0309,0.2753,0.0215,0.0559
4.2200,0.0393,0.0338,0.2842,0.0225,0.0596
4.2400,0.0416,0.0370,0.2932,0.0234,0.0633
4.2600,0.0440,0.0405,0.3019,0.0244,0.0669
4.2800,0.0464,0.0442,0.3102,0.0253,0.0704
4.3000,0.0486,0.0481,0.3177,0.0262,0.0738
4.3200,0.0508,0.0521,0.3243,0.0271,0.0771
4.3400,0.0528,0.0560,0.3298,0.0279,0.0802
4.3600,0.0545,0.0599,0.3340,0.0287,0.0832
4.3800,0.0561,0.0636,0.3370,0.0294,0.0861
4.4000,0.0574,0.0671,0.3385,0.0300,0.0889
4.4200,0.0585,0.0705,0.3387,0.0305,0.0916
4.4400,0.0594,0.0735,0.3376,0.0309,0.0944
4.4600,0.0600,0.0763,0.3353,0.0313,0.0971
4.4800,0.0605,0.0788,0.3317,0.0315,0.1000
4.5000,0.0608,0.0810,0.3270,0.0317,0.1030
4.5200,0.0609,0.0829,0.3213,0.0318,0.1061
4.5400,0.0609,0.0845,0.3145,0.0318,0.1093
4.5600,0.0608,0.0859,0.3069,0.0318,0.1126
4.5800,0.0606,0.0872,0.2985,0.0317,0.1160
4.6000,0.0604,0.0884,0.2894,0.0316,0.1194
4.6200,0.0602,0.0894,0.2797,0.0314,0.1228
4.6400,0.0600,0.0904,0.2695,0.0313,0.1260
4.6600,0.0598,0.0913,0.2588,0.0312,0.1292
4.6800,0.0597,0.0921,0.2479,0.0311,0.1321
4.7000,0.0596,0.0929,0.2368,0.0310,0.1347
4.7200,0.0597,0.0936,0.2256,0.0309,0.1369
4.7400,0.0598,0.0943,0.2145,0.0308,0.1387
4.7600,0.0600,0.0949,0.2035,0.0308,0.1400
4.7800,0.0604,0.0954,0.1928,0.0308,0.1408
4.8000,0.0608,0.0958,0.1824,0.0308,0.1411
4.8200,0.0613,0.0962,0.1724,0.0309,0.1409
4.8400,0.0620,0.0965,0.1631,0.0310,0.1403
4.8600,0.0627,0.0967,0.1543,0.0310,0.1392
4.8800,0.0635,0.0968,0.1463,0.0312,0.1378
4.9000,0.0643,0.0969,0.1392,0.0313,0.1361
4.9200,0.0653,0.0970,0.1328,0.0315,0.1342
4.9400,0.0662,0.0971,0.1274,0.0317,0.1324
4.9600,0.0672,0.0973,0.1230,0.0320,0.1307
4.9800,0.0681,0.0976,0.1197,0.0324,0.1293
5.0000,0.0691,0.0979,0.1172,0.0329,0.1280
5.0200,0.0700,0.0984,0.1157,0.0335,0.1271
5.0400,0.0709,0.0991,0.1149,0.0341,0.1263
5.0600,0.0718,0.0999,0.1148,0.0348,0.1258
5.0800,0.0726,0.1009,0.1152,0.0357,0.1255
5.1000,0.0735,0.1022,0.1160,0.0366,0.1254
5.1200,0.0743,0.1036,0.1171,0.0375,0.1255
5.1400,0.0751,0.1052,0.1184,0.0386,0.1256
5.1600,0.0759,0.1069,0.1199,0.0396,0.1259
5.1800,0.0767,0.1087,0.1215,0.0407,0.1263
5.2000,0.0775,0.1106,0.1231,0.0417,0.1268
5.2200,0.0784,0.1125,0.1246,0.0428,0.1272
5.2400,0.0793,0.1144,0.1260,0.0438,0.1277
5.2600,0.0802,0.1162,0.1273,0.0448,0.1283
5.2800,0.0811,0.1179,0.1285,0.0457,0.1288
5.3000,0.0819,0.1193,0.1295,0.0466,0.1293
5.3200,0.0827,0.1204,0.1304,0.0474,0.1297
5.3400,0.0835,0.1212,0.1311,0.0482,0.1301
5.3600,0.0842,0.1217,0.1316,0.0489,0.1304
5.3800,0.0848,0.1219,0.1319,0.0497,0.1307
5.4000,0.0853,0.1219,0.1320,0.0504,0.1308
5.4200,0.0857,0.1218,0.1319,0.0511,0.1309
5.4400,0.0860,0.1216,0.1316,0.0518,0.1309
5.4600,0.0862,0.1213,0.1310,0.0526,0.1308
5.4800,0.0863,0.1210,0.1301,0.0535,0.1305
5.5000,0.0863,0.1208,0.1291,0.0543,0.1301
5.5200,0.0862,0.1205,0.1278,0.0552,0.1297
5.5400,0.0860,0.1203,0.1263,0.0562,0.1291
5.5600,0.0857,0.1200,0.1247,0.0571,0.1284
5.5800,0.0854,0.1198,0.1229,0.0581,0.1275
5.6000,0.0851,0.1195,0.1210,0.0592,0.1267
5.6200,0.0848,0.1193,0.1191,0.0603,0.1257
5.6400,0.0845,0.1191,0.1171,0.0614,0.1248
5.6600,0.0843,0.1190,0.1153,0.0626,0.1240
5.6800,0.0841,0.1189,0.1135,0.0638,0.1232
5.7000,0.0841,0.1190,0.1120,0.0651,0.1227
5.7200,0.0842,0.1191,0.1106,0.0664,0.1223
5.7400,0.0844,0.1193,0.1095,0.0679,0.1221
5.7600,0.0847,0.1196,0.1085,0.0693,0.1221
5.7800,0.0850,0.1200,0.1078,0.0708,0.1224
5.8000,0.0855,0.1206,0.1073,0.0724,0.1229
5.8200,0.0861,0.1213,0.1070,0.0739,0.1236
5.8400,0.0867,0.1221,0.1069,0.0755,0.1245
5.8600,0.0874,0.1231,0.1069,0.0770,0.1256
5.8800,0.0882,0.1241,0.1071,0.0786,0.1267
5.9000,0.0890,0.1252,0.1074,0.0801,0.1277
5.9200,0.0899,0.1263,0.1079,0.0815,0.1288
5.9400,0.0908,0.1275,0.1083,0.0828,0.1297
5.9600,0.0918,0.1287,0.1089,0.0842,0.1304
5.9800,0.0929,0.1299,0.1095,0.0854,0.1310
6.0000,0.0942,0.1312,0.1101,0.0866,0.1314
6.0200,0.0956,0.1326,0.1108,0.0879,0.1317
6.0400,0.0972,0.1340,0.1115,0.0891,0.1318
6.0600,0.0989,0.1356,0.1122,0.0904,0.1317
6.0800,0.1009,0.1372,0.1128,0.0917,0.1316
6.1000,0.1030,0.1390,0.1135,0.0930,0.1314
6.1200,0.1052,0.1408,0.1142,0.0944,0.1312
6.1400,0.1075,0.1427,0.1149,0.0958,0.1311
6.1600,0.1099,0.1447,0.1155,0.0971,0.1311
6.1800,0.1123,0.1468,0.1161,0.0985,0.1312
6.2000,0.1147,0.1490,0.1167,0.0999,0.1316
6.2200,0.1171,0.1512,0.1173,0.1013,0.1320
6.2400,0.1195,0.1536,0.1179,0.1027,0.1326
6.2600,0.1219,0.1559,0.1185,0.1040,0.1333
6.2800,0.1242,0.1583,0.1191,0.1053,0.1341
6.3000,0.1264,0.1607,0.1197,0.1066,0.1349
6.3200,0.1285,0.1630,0.1202,0.1078,0.1356
6.3400,0.1304,0.1652,0.1207,0.1088,0.1362
6.3600,0.1322,0.1672,0.1210,0.1097,0.1365
6.3800,0.1337,0.1687,0.1211,0.1104,0.1365
6.4000,0.1349,0.1698,0.1210,0.1108,0.1361
6.4200,0.1357,0.1703,0.1205,0.1108,0.1350
6.4400,0.1361,0.1700,0.1197,0.1104,0.1333
6.4600,0.1358,0.1690,0.1183,0.1095,0.1310
6.4800,0.1348,0.1669,0.1164,0.1080,0.1278
6.5000,0.1327,0.1636,0.1137,0.1057,0.1238
6.5200,0.1294,0.1586,0.1100,0.1024,0.1186
6.5400,0.1243,0.1516,0.1050,0.0978,0.1121
6.5600,0.1171,0.1421,0.0982,0.0916,0.1039
6.5800,0.1073,0.1296,0.0896,0.0835,0.0938
6.6000,0.0949,0.1142,0.0789,0.0735,0.0819
6.6200,0.0802,0.0961,0.0664,0.0619,0.0684
6.6400,0.0642,0.0767,0.0530,0.0494,0.0541
6.6600,0.0482,0.0574,0.0396,0.0369,0.0403
6.6800,0.0336,0.0399,0.0276,0.0257,0.0279
6.7000,0.0217,0.0257,0.0178,0.0165,0.0179
6.7200,0.0128,0.0152,0.0105,0.0098,0.0105
6.7400,0.0069,0.0082,0.0057,0.0053,0.0057
6.7600,0.0034,0.0040,0.0028,0.0026,0.0028
6.7800,0.0015,0.0018,0.0012,0.0012,0.0012
6.8000,0.0006,0.0007,0.0005,0.0005,0.0005
6.8200,0.0002,0.0003,0.0002,0.0002,0.0002
6.8400,0.0001,0.0001,0.0001,0.0001,0.0001
6.8600,0.0000,0.0000,0.0000,0.0000,0.0000
6.8800,0.0000,0.0000,0.0000,0.0000,0.0000
6.9000,0.0000,0.0000,0.0000,0.0000,0.0000
6.9200,0.0000,0.0000,0.0000,0.0000,0.0000
6.9400,0.0000,0.0000,0.0000,0.0000,0.0000
6.9600,0.0000,0.0000,0.0000,0.0000,0.0000
6.9800,0.0000,0.0000,0.0000,0.0000,0.0000
