frame,t_ps,P_S,S_Li,P_Li,Li_penetrated,B_S,B_Li
270.000,54.000,2.750,4.366,1.875,67.000,3.000,2.000
271.000,54.200,2.750,4.341,2.000,67.000,3.000,1.500
272.000,54.400,2.750,4.415,1.625,67.000,3.000,2.000
273.000,54.600,2.750,4.341,1.625,67.000,3.000,1.500
274.000,54.800,2.750,4.317,1.750,67.000,3.000,1.500
275.000,55.000,2.750,4.293,1.750,67.000,3.000,2.000
276.000,55.200,2.750,4.293,1.875,67.000,3.000,1.000
277.000,55.400,2.750,4.244,2.000,67.000,3.000,0.000
278.000,55.600,2.750,4.341,2.125,67.000,3.000,2.000
279.000,55.800,2.750,4.268,2.000,67.000,3.000,1.500
280.000,56.000,2.750,4.244,2.500,67.000,3.000,1.500
281.000,56.200,2.750,4.463,1.875,67.000,3.000,2.000
282.000,56.400,2.750,4.439,2.625,68.000,3.000,2.000
283.000,56.600,2.750,4.293,2.375,68.000,3.000,2.500
284.000,56.800,2.750,4.293,1.625,67.000,3.000,2.500
285.000,57.000,2.750,4.366,1.625,67.000,3.000,1.500
286.000,57.200,2.750,4.366,2.000,67.000,3.000,3.000
287.000,57.400,2.750,4.317,2.000,67.000,3.000,1.500
288.000,57.600,2.750,4.317,2.250,67.000,3.000,3.000
289.000,57.800,2.750,4.341,2.250,67.000,3.000,1.500
290.000,58.000,2.750,4.317,1.875,67.000,3.000,2.000
291.000,58.200,2.750,4.366,2.125,67.000,3.000,2.500
292.000,58.400,2.750,4.195,2.000,67.000,3.000,2.000
293.000,58.600,2.750,4.244,2.500,67.000,3.000,1.500
294.000,58.800,2.750,4.122,1.875,67.000,3.000,1.000
295.000,59.000,2.750,4.122,1.875,67.000,3.000,2.500
296.000,59.200,2.750,4.195,2.000,67.000,3.000,2.000
297.000,59.400,2.750,4.122,1.875,67.000,3.000,2.000
298.000,59.600,2.750,4.098,2.500,67.000,3.000,2.000
299.000,59.800,2.750,4.390,1.500,67.000,3.000,3.000
300.000,60.000,2.750,4.293,2.250,66.000,3.000,1.000
301.000,60.200,2.750,4.488,2.375,67.000,3.000,2.500
302.000,60.400,2.750,4.244,1.875,67.000,3.000,1.500
303.000,60.600,2.750,4.244,1.625,67.000,3.000,2.500
304.000,60.800,2.750,4.268,1.875,67.000,3.000,2.500
305.000,61.000,2.750,4.244,1.750,66.000,3.000,1.500
306.000,61.200,2.625,4.341,1.875,65.000,3.000,1.500
307.000,61.400,2.750,4.195,2.000,65.000,3.000,1.500
308.000,61.600,2.750,4.268,2.125,67.000,3.000,1.500
309.000,61.800,2.750,4.293,1.500,65.000,3.000,3.000
310.000,62.000,2.750,4.268,2.000,65.000,3.000,2.000
311.000,62.200,2.750,4.293,2.250,67.000,3.000,2.000
312.000,62.400,2.750,4.317,2.250,65.000,3.000,2.500
313.000,62.600,2.750,4.220,1.750,65.000,3.000,1.000
314.000,62.800,2.750,4.390,2.125,66.000,3.000,2.000
315.000,63.000,2.750,4.341,1.750,67.000,3.000,2.500
316.000,63.200,2.750,4.317,2.000,67.000,3.000,1.000
317.000,63.400,2.750,4.293,1.375,67.000,3.000,1.500
318.000,63.600,2.750,4.293,2.000,67.000,3.000,1.000
319.000,63.800,2.750,4.341,1.750,67.000,3.000,2.000
320.000,64.000,2.750,4.341,1.750,67.000,3.000,1.500
321.000,64.200,2.750,4.341,2.125,65.000,3.000,0.500
322.000,64.400,2.750,4.220,2.000,64.000,3.000,1.000
323.000,64.600,2.750,4.244,2.250,66.000,3.000,0.500
324.000,64.800,2.750,4.415,2.000,65.000,3.000,1.500
325.000,65.000,2.750,4.268,2.000,66.000,3.000,1.000
326.000,65.200,2.750,4.317,1.875,65.000,3.000,0.500
327.000,65.400,2.750,4.293,2.125,66.000,3.000,0.500
328.000,65.600,2.750,4.171,1.625,67.000,3.000,2.500
329.000,65.800,2.750,4.390,2.000,66.000,3.000,1.500
330.000,66.000,2.750,4.244,2.125,67.000,3.000,2.000
331.000,66.200,2.750,4.317,2.000,67.000,3.000,1.000
332.000,66.400,2.750,4.415,2.250,67.000,3.000,2.000
333.000,66.600,2.750,4.244,2.125,67.000,3.000,1.500
334.000,66.800,2.750,4.293,2.125,67.000,3.000,2.000
335.000,67.000,2.750,4.220,1.875,67.000,3.000,2.000
336.000,67.200,2.750,4.268,2.375,67.000,3.000,2.000
337.000,67.400,2.750,4.293,2.250,67.000,3.000,0.500
338.000,67.600,2.750,4.195,1.875,67.000,3.000,1.000
339.000,67.800,2.750,4.293,1.875,67.000,3.000,2.000
340.000,68.000,2.750,4.268,2.250,67.000,3.000,1.500
341.000,68.200,2.750,4.293,2.625,67.000,3.000,2.500
342.000,68.400,2.750,4.341,2.375,67.000,3.000,1.000
343.000,68.600,2.750,4.341,2.375,67.000,3.000,1.500
344.000,68.800,2.750,4.244,1.875,67.000,3.000,0.500
345.000,69.000,2.750,4.293,2.125,67.000,3.000,2.500
346.000,69.200,2.750,4.366,1.750,67.000,3.000,0.500
347.000,69.400,2.750,4.195,2.125,67.000,3.000,2.000
348.000,69.600,2.750,4.293,2.125,67.000,3.000,1.000
349.000,69.800,2.750,4.244,2.250,67.000,3.000,1.000
350.000,70.000,2.750,4.146,2.000,67.000,3.000,1.000
351.000,70.200,2.750,4.268,2.250,67.000,3.000,0.000
352.000,70.400,2.750,4.293,2.000,67.000,3.000,1.000
353.000,70.600,2.750,4.293,2.250,67.000,3.000,1.500
354.000,70.800,2.750,4.341,2.000,65.000,3.000,2.500
355.000,71.000,2.750,4.244,1.875,65.000,3.000,2.000
356.000,71.200,2.750,4.366,2.125,66.000,3.000,1.000
357.000,71.400,2.750,4.244,2.250,67.000,3.000,1.500
358.000,71.600,2.625,4.463,2.000,65.000,3.000,0.500
359.000,71.800,2.750,4.415,2.250,67.000,3.000,0.000
360.000,72.000,2.750,4.268,2.250,66.000,3.000,0.500
361.000,72.200,2.750,4.317,2.125,67.000,3.000,0.500
362.000,72.400,2.750,4.146,2.000,66.000,3.000,0.500
363.000,72.600,2.750,4.146,1.875,64.000,3.000,0.500
364.000,72.800,2.750,4.512,2.250,67.000,3.000,1.000
365.000,73.000,2.750,4.366,2.500,65.000,3.000,1.500
366.000,73.200,2.750,4.268,1.625,65.000,3.000,1.000
367.000,73.400,2.750,4.341,2.250,65.000,3.000,1.000
368.000,73.600,2.750,4.537,2.250,65.000,3.000,0.000
369.000,73.800,2.750,4.415,2.625,65.000,3.000,0.500
370.000,74.000,2.750,4.293,2.125,66.000,3.000,0.500
371.000,74.200,2.750,4.244,2.375,67.000,3.000,1.500
372.000,74.400,2.750,4.146,2.125,65.000,3.000,0.500
373.000,74.600,2.750,4.268,2.125,65.000,3.000,0.500
374.000,74.800,2.750,4.195,2.000,65.000,3.000,0.500
375.000,75.000,2.750,4.268,2.000,65.000,3.000,0.000
376.000,75.200,2.750,4.293,2.000,64.000,3.000,0.500
377.000,75.400,2.750,4.293,1.875,65.000,3.000,1.000
378.000,75.600,2.750,4.293,2.375,65.000,3.000,0.500
379.000,75.800,2.750,4.171,1.875,66.000,3.000,0.500
380.000,76.000,2.750,4.439,2.000,65.000,3.000,0.000
381.000,76.200,2.750,4.244,1.750,65.000,3.000,2.000
382.000,76.400,2.750,4.366,2.000,65.000,3.000,0.500
383.000,76.600,2.750,4.341,2.375,64.000,3.000,1.000
384.000,76.800,2.750,4.268,2.250,64.000,3.000,0.500
385.000,77.000,2.750,4.171,1.875,64.000,3.000,1.000
386.000,77.200,2.750,4.073,1.750,64.000,3.000,1.500
387.000,77.400,2.750,4.220,2.500,64.000,3.000,1.500
388.000,77.600,2.750,4.390,2.000,64.000,3.000,1.000
389.000,77.800,2.750,4.366,2.125,64.000,3.000,1.500
390.000,78.000,2.750,4.341,1.750,65.000,3.000,2.000
391.000,78.200,2.750,4.293,2.375,64.000,3.000,0.000
392.000,78.400,2.750,4.195,2.250,64.000,3.000,0.500
393.000,78.600,2.750,4.317,1.750,64.000,3.000,0.500
394.000,78.800,2.750,4.293,1.875,65.000,3.000,1.000
395.000,79.000,2.750,4.317,1.875,64.000,3.000,2.000
396.000,79.200,2.750,4.317,1.875,65.000,3.000,2.000
397.000,79.400,2.750,4.341,1.625,64.000,3.000,1.000
398.000,79.600,2.750,4.341,2.000,64.000,3.000,0.500
399.000,79.800,2.750,4.415,1.625,64.000,3.000,0.500
400.000,80.000,2.750,4.268,2.000,64.000,3.000,0.500
401.000,80.200,2.750,4.341,1.625,64.000,3.000,1.500
402.000,80.400,2.750,4.366,1.750,64.000,3.000,1.000
403.000,80.600,2.750,4.220,1.875,64.000,3.000,1.000
404.000,80.800,2.750,4.415,2.125,65.000,3.000,0.500
405.000,81.000,2.750,4.439,1.750,65.000,3.000,1.500
406.000,81.200,2.750,4.171,1.875,65.000,3.000,0.500
407.000,81.400,2.750,4.268,1.625,64.000,3.000,1.500
408.000,81.600,2.750,4.463,1.625,64.000,3.000,1.500
409.000,81.800,2.750,4.293,2.125,64.000,3.000,0.000
410.000,82.000,2.625,4.293,1.625,65.000,3.000,2.000
411.000,82.200,2.750,4.390,2.000,64.000,3.000,2.000
412.000,82.400,2.750,4.341,1.375,64.000,3.000,1.500
413.000,82.600,2.750,4.268,1.250,64.000,3.000,0.500
414.000,82.800,2.750,4.195,1.375,64.000,3.000,2.000
415.000,83.000,2.750,4.195,2.000,65.000,3.000,1.000
416.000,83.200,2.750,4.268,1.875,65.000,3.000,2.000
417.000,83.400,2.750,4.195,2.000,64.000,3.000,1.000
418.000,83.600,2.750,4.195,1.750,64.000,3.000,1.000
419.000,83.800,2.750,4.220,1.625,65.000,3.000,1.000
420.000,84.000,2.750,4.171,1.875,65.000,3.000,1.000
421.000,84.200,2.750,4.146,1.750,64.000,3.000,1.500
422.000,84.400,2.750,4.293,1.750,65.000,3.000,2.000
423.000,84.600,2.750,4.366,1.750,66.000,3.000,1.500
424.000,84.800,2.750,4.244,1.875,65.000,3.000,1.500
425.000,85.000,2.750,4.146,1.750,67.000,3.000,0.500
426.000,85.200,2.750,4.244,1.750,66.000,3.000,0.500
427.000,85.400,2.750,4.268,1.750,67.000,3.000,0.500
428.000,85.600,2.750,4.220,1.375,66.000,3.000,1.500
429.000,85.800,2.750,4.293,1.875,65.000,3.000,1.500
430.000,86.000,2.750,4.293,2.000,66.000,3.000,2.000
431.000,86.200,2.750,4.122,1.500,64.000,3.000,1.000
