E_minus_VBM,total_DOS
7.3600,44.8927
7.3800,45.0142
7.4000,45.3237
7.4200,45.7603
7.4400,46.2360
7.4600,46.6435
7.4800,46.8803
7.5000,46.8829
7.5200,46.6149
7.5400,46.0121
7.5600,44.9342
7.5800,43.1641
7.6000,40.4669
7.6200,36.6962
7.6400,31.9033
7.6600,26.4023
7.6800,20.7127
7.7000,15.3984
7.7200,10.8868
7.7400,7.3682
7.7600,4.8131
7.7800,3.0597
7.8000,1.9121
7.8200,1.1940
7.8400,0.7654
7.8600,0.5204
7.8800,0.3834
7.9000,0.3050
7.9200,0.2570
7.9400,0.2231
7.9600,0.1954
7.9800,0.1720
8.0000,0.1519
