E_minus_VBM,Li,P,S,Cl,B,O
3.5600,3.5491,5.5771,6.2343,0.2841,1.4681,0.0843
3.5800,3.8524,6.0348,6.5526,0.3106,1.3523,0.0918
3.6000,4.1804,6.5186,6.9025,0.3397,1.2323,0.0999
3.6200,4.5279,7.0149,7.2730,0.3712,1.1118,0.1084
3.6400,4.8899,7.5112,7.6540,0.4047,0.9945,0.1170
3.6600,5.2615,7.9967,8.0367,0.4400,0.8830,0.1255
3.6800,5.6373,8.4623,8.4131,0.4766,0.7792,0.1338
3.7000,6.0110,8.8994,8.7751,0.5139,0.6845,0.1416
3.7200,6.3754,9.2993,9.1146,0.5513,0.5999,0.1486
3.7400,6.7233,9.6532,9.4231,0.5881,0.5265,0.1546
3.7600,7.0478,9.9534,9.6930,0.6236,0.4648,0.1593
3.7800,7.3438,10.1948,9.9188,0.6573,0.4150,0.1626
3.8000,7.6075,10.3751,10.0967,0.6887,0.3764,0.1646
3.8200,7.8362,10.4945,10.2247,0.7175,0.3473,0.1653
3.8400,8.0278,10.5546,10.3013,0.7433,0.3261,0.1651
3.8600,8.1806,10.5574,10.3256,0.7657,0.3105,0.1641
3.8800,8.2941,10.5056,10.2977,0.7845,0.2989,0.1625
3.9000,8.3705,10.4042,10.2205,0.7998,0.2900,0.1607
3.9200,8.4162,10.2619,10.1014,0.8121,0.2829,0.1590
3.9400,8.4415,10.0910,9.9518,0.8224,0.2767,0.1575
3.9600,8.4599,9.9072,9.7867,0.8318,0.2712,0.1568
3.9800,8.4858,9.7265,9.6218,0.8417,0.2659,0.1573
4.0000,8.5326,9.5637,9.4715,0.8533,0.2608,0.1592
4.0200,8.6114,9.4304,9.3478,0.8678,0.2560,0.1627
4.0400,8.7311,9.3357,9.2603,0.8860,0.2516,0.1681
4.0600,8.8992,9.2865,9.2174,0.9086,0.2484,0.1753
4.0800,9.1231,9.2892,9.2268,0.9365,0.2472,0.1841
4.1000,9.4095,9.3494,9.2960,0.9704,0.2487,0.1946
4.1200,9.7635,9.4706,9.4301,1.0108,0.2538,0.2065
4.1400,10.1858,9.6523,9.6298,1.0579,0.2629,0.2199
4.1600,10.6717,9.8886,9.8898,1.1112,0.2762,0.2343
4.1800,11.2111,10.1676,10.1992,1.1698,0.2936,0.2496
4.2000,11.7901,10.4740,10.5428,1.2323,0.3147,0.2654
4.2200,12.3942,10.7913,10.9048,1.2973,0.3392,0.2813
4.2400,13.0098,11.1048,11.2705,1.3635,0.3667,0.2970
4.2600,13.6256,11.4025,11.6281,1.4297,0.3968,0.3124
4.2800,14.2319,11.6758,11.9683,1.4949,0.4289,0.3272
4.3000,14.8199,11.9177,12.2832,1.5583,0.4624,0.3415
4.3200,15.3806,12.1222,12.5653,1.6190,0.4965,0.3554
4.3400,15.9055,12.2837,12.8077,1.6759,0.5304,0.3688
4.3600,16.3868,12.3975,13.0045,1.7284,0.5633,0.3819
4.3800,16.8193,12.4610,13.1519,1.7758,0.5947,0.3947
4.4000,17.1998,12.4742,13.2489,1.8175,0.6242,0.4073
4.4200,17.5275,12.4393,13.2968,1.8532,0.6515,0.4200
4.4400,17.8021,12.3595,13.2976,1.8825,0.6763,0.4328
4.4600,18.0235,12.2383,13.2539,1.9052,0.6983,0.4459
4.4800,18.1917,12.0785,13.1678,1.9209,0.7175,0.4596
4.5000,18.3079,11.8828,13.0416,1.9296,0.7338,0.4738
4.5200,18.3752,11.6543,12.8784,1.9316,0.7472,0.4885
4.5400,18.3982,11.3964,12.6823,1.9273,0.7582,0.5038
4.5600,18.3831,11.1127,12.4575,1.9177,0.7671,0.5194
4.5800,18.3358,10.8066,12.2084,1.9034,0.7744,0.5352
