"# Slide: Step 3 - volume change vs relative energy, one row per structure.",,,
# dV_pct = |screen_dV_over_V0| x 100.  dE_per_atom = screen_de_per_atom.,,,
# ** dE compares structures INSIDE this screen only ** - not a formation energy or hull distance.,,,
"# group: 'carried_forward' if dV_pct <= 25, else 'dropped'.",,,
# In Origin: plot dE vs dV as two scatter series split by the group column.,,,
dV_pct,dE_per_atom,group,dopant
4.752,-0.3514,carried_forward,NaI
4.754,-0.4582,carried_forward,ZrBr4
4.757,-0.4582,carried_forward,ZrBr4
4.851,-0.4584,carried_forward,ZrBr4
4.852,-0.3463,carried_forward,LaCl3
4.852,-0.3463,carried_forward,LaCl3
4.853,-0.3463,carried_forward,LaCl3
4.893,-0.3758,carried_forward,LiBr
4.998,-0.7153,carried_forward,MoO3+Clrich
4.998,-0.7153,carried_forward,MoO3+Clrich
4.998,-0.7153,carried_forward,MoO3+Clrich
5.021,-0.3555,carried_forward,NaI
5.087,-0.4115,carried_forward,Ag2O
5.088,-0.4115,carried_forward,Ag2O
5.089,-0.4115,carried_forward,Ag2O
5.089,-0.4115,carried_forward,Ag2O
5.092,-0.4114,carried_forward,Ag2O
5.093,-0.4114,carried_forward,Ag2O
5.096,-0.4115,carried_forward,Ag2O
5.096,-0.4115,carried_forward,Ag2O
5.105,-0.4115,carried_forward,Ag2O
5.110,-0.4115,carried_forward,Ag2O
5.116,-0.4065,carried_forward,BaCl2
5.116,-0.2916,carried_forward,CaBr2
5.133,-0.4117,carried_forward,Ag2O
5.140,-0.4118,carried_forward,Ag2O
5.194,-0.2919,carried_forward,CaBr2
5.195,-0.6909,carried_forward,Fe2O3
5.195,-0.6909,carried_forward,Fe2O3
5.195,-0.6909,carried_forward,Fe2O3
5.197,-0.2919,carried_forward,CaBr2
5.247,-0.8922,carried_forward,Sc2O3
5.251,-0.8922,carried_forward,Sc2O3
5.305,-0.8923,carried_forward,Sc2O3
5.352,-0.2671,carried_forward,MgBr2
5.354,-0.2671,carried_forward,MgBr2
5.354,-0.3556,carried_forward,AlBr3
5.356,-0.2671,carried_forward,MgBr2
5.376,-0.4187,carried_forward,GaN
5.376,-0.4187,carried_forward,GaN
5.378,-0.4187,carried_forward,GaN
5.436,-0.6018,carried_forward,ZrO2
5.445,-0.6018,carried_forward,ZrO2
5.462,-0.6019,carried_forward,ZrO2
5.502,-1.2180,carried_forward,Gd2O3
5.502,-1.2180,carried_forward,Gd2O3
5.510,-1.2181,carried_forward,Gd2O3
5.531,-0.4600,carried_forward,CaS
5.542,-0.6221,carried_forward,Al2O3+Clrich
5.542,-0.6221,carried_forward,Al2O3+Clrich
5.542,-0.6221,carried_forward,Al2O3+Clrich
5.549,-0.8225,carried_forward,Sm2O3
5.579,-0.3592,carried_forward,NaI
5.583,-0.3686,carried_forward,LiI
5.604,-0.4108,carried_forward,CaBr2
5.610,-0.4752,carried_forward,NdCl3
5.611,-0.4752,carried_forward,NdCl3
5.612,-0.4752,carried_forward,NdCl3
5.615,-0.5077,carried_forward,YCl3
5.617,-0.5077,carried_forward,YCl3
5.618,-0.8225,carried_forward,Sm2O3
5.618,-0.5077,carried_forward,YCl3
5.656,-0.5628,carried_forward,ZrO2
5.657,-0.5628,carried_forward,ZrO2
5.657,-0.5628,carried_forward,ZrO2
5.661,-0.3554,carried_forward,AlBr3
5.667,-0.5094,carried_forward,SmCl3
5.668,-0.5094,carried_forward,SmCl3
5.668,-0.5094,carried_forward,SmCl3
5.673,-0.8226,carried_forward,Sm2O3
5.693,-0.3460,carried_forward,GaCl3
5.693,-0.3460,carried_forward,GaCl3
5.694,-0.3460,carried_forward,GaCl3
5.730,-0.7849,carried_forward,Fe2O3
5.730,-0.7849,carried_forward,Fe2O3
5.731,-0.7849,carried_forward,Fe2O3
5.732,-0.5400,carried_forward,HfCl4
5.732,-0.5400,carried_forward,HfCl4
5.732,-0.5400,carried_forward,HfCl4
5.745,-0.4111,carried_forward,CaBr2
5.777,-0.3825,carried_forward,MgBr2
5.777,-0.3825,carried_forward,MgBr2
5.777,-0.3825,carried_forward,MgBr2
5.782,-0.4152,carried_forward,SrCl2
5.792,-0.4206,carried_forward,BaCl2
5.814,-0.4152,carried_forward,SrCl2
5.855,-0.5123,carried_forward,ZrCl4
5.855,-0.5123,carried_forward,ZrCl4
5.855,-0.5123,carried_forward,ZrCl4
5.885,-0.2369,carried_forward,AlI3
5.885,-0.2369,carried_forward,AlI3
5.914,-0.4159,carried_forward,ZnO+Clrich
5.915,-0.4159,carried_forward,ZnO+Clrich
5.915,-0.4159,carried_forward,ZnO+Clrich
5.940,-0.7414,carried_forward,Al2O3
5.940,-0.7414,carried_forward,Al2O3
5.941,-0.7414,carried_forward,Al2O3
5.953,-0.2979,carried_forward,MgCl2
5.953,-0.2979,carried_forward,MgCl2
5.953,-0.2979,carried_forward,MgCl2
6.003,-0.8498,carried_forward,La2O3
6.003,-0.8498,carried_forward,La2O3
6.003,-0.8498,carried_forward,La2O3
