file,frame,n_atoms,formula,a,b,c,volume,energy_eV,free_energy_eV,step
2_LPSnSC_H-O_combined.xyz,39,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.36940016,-1216.36940016,340.0
2_LPSnSC_H-O_combined.xyz,40,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.57766942,-1215.57766942,350.0
2_LPSnSC_H-O_combined.xyz,41,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.18020834,-1215.18020834,360.0
2_LPSnSC_H-O_combined.xyz,42,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1217.03477145,-1217.03477145,370.0
2_LPSnSC_H-O_combined.xyz,43,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.42967768,-1215.42967768,380.0
2_LPSnSC_H-O_combined.xyz,44,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.74247102,-1216.74247102,390.0
2_LPSnSC_H-O_combined.xyz,45,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.62034269,-1215.62034269,2.5
2_LPSnSC_H-O_combined.xyz,46,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.47922218,-1215.47922218,400.0
2_LPSnSC_H-O_combined.xyz,47,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.42949919,-1216.42949919,410.0
2_LPSnSC_H-O_combined.xyz,48,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.23113613,-1214.23113613,420.0
2_LPSnSC_H-O_combined.xyz,49,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.56894361,-1214.56894361,430.0
2_LPSnSC_H-O_combined.xyz,50,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.75750133,-1216.75750133,440.0
2_LPSnSC_H-O_combined.xyz,51,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.49660497,-1215.49660497,450.0
2_LPSnSC_H-O_combined.xyz,52,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.99747589,-1215.99747589,460.0
2_LPSnSC_H-O_combined.xyz,53,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.93210498,-1216.93210498,470.0
2_LPSnSC_H-O_combined.xyz,54,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.64954211,-1216.64954211,480.0
2_LPSnSC_H-O_combined.xyz,55,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.95993533,-1215.95993533,490.0
2_LPSnSC_H-O_combined.xyz,56,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.21818651,-1215.21818651,3.0
2_LPSnSC_H-O_combined.xyz,57,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.12179686,-1216.12179686,500.0
2_LPSnSC_H-O_combined.xyz,58,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.06509047,-1216.06509047,510.0
2_LPSnSC_H-O_combined.xyz,59,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1213.50171913,-1213.50171913,3.5
2_LPSnSC_H-O_combined.xyz,60,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1213.42684699,-1213.42684699,4.0
2_LPSnSC_H-O_combined.xyz,61,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1212.0999226,-1212.0999226,10.0
