step_index,time_s,stepsize_s,raw_native_log_line
158,1.2,0.05,158         1.2        0.05 out  326  167  332     2     0      0  4.2e-11  9.8e-15
159,1.25,0.05,159        1.25        0.05 out  328  168  334     2     0      0  2.8e-11  6.2e-15
160,1.3,0.05,160         1.3        0.05 out  330  169  336     2     0      0  2.9e-10  5.7e-15
161,1.35,0.05,161        1.35        0.05 out  332  170  338     2     0      0  7.6e-11  5.3e-15
162,1.4,0.05,162         1.4        0.05 out  334  171  340     2     0      0  1.9e-10  4.8e-15
163,1.45,0.05,163        1.45        0.05 out  336  172  342     2     0      0  7.4e-11  2.9e-15
164,1.5,0.05,164         1.5        0.05 out  338  173  344     2     0      0  5.6e-11  2.8e-15
165,1.55,0.05,165        1.55        0.05 out  340  174  346     2     0      0  4.7e-11  2.7e-15
166,1.6,0.05,166         1.6        0.05 out  342  175  348     2     0      0  1.1e-10  2.3e-15
167,1.65,0.05,167        1.65        0.05 out  344  176  350     2     0      0  3.6e-10  1.6e-15
168,1.7,0.05,168         1.7        0.05 out  346  177  352     2     0      0  8.4e-11  1.4e-15
169,1.75,0.05,169        1.75        0.05 out  348  178  354     2     0      0  8.2e-11  1.3e-15
170,1.8,0.05,170         1.8        0.05 out  350  179  356     2     0      0  3.8e-10    1e-15
171,1.85,0.05,171        1.85        0.05 out  352  180  358     2     0      0  1.8e-10  8.6e-16
172,1.9,0.05,172         1.9        0.05 out  354  181  360     2     0      0  1.9e-10  7.6e-16
173,1.95,0.05,173        1.95        0.05 out  356  182  362     2     0      0  2.9e-10    7e-16
174,2.0,0.05,174           2        0.05 out  358  183  364     2     0      0  1.6e-10  7.1e-16
175,2.05,0.05,175        2.05        0.05 out  360  184  366     2     0      0  2.2e-10  7.3e-16
176,2.1,0.05,176         2.1        0.05 out  362  185  368     2     0      0  9.8e-11    7e-16
177,2.15,0.05,177        2.15        0.05 out  364  186  370     2     0      0  4.9e-11    5e-16
178,2.2,0.05,178         2.2        0.05 out  366  187  372     2     0      0  2.3e-11  5.2e-16
179,2.25,0.05,179        2.25        0.05 out  368  188  374     2     0      0    1e-10  2.7e-16
180,2.3,0.05,180         2.3        0.05 out  370  189  376     2     0      0  1.8e-10  3.9e-16
181,2.35,0.05,181        2.35        0.05 out  372  190  378     2     0      0  3.9e-12  4.3e-16
182,2.4,0.05,182         2.4        0.05 out  374  191  380     2     0      0  3.4e-10  3.8e-16
183,2.45,0.05,183        2.45        0.05 out  376  192  382     2     0      0  1.7e-10  3.4e-16
184,2.5,0.05,184         2.5        0.05 out  378  193  384     2     0      0  1.1e-10  3.7e-16
185,2.55,0.05,185        2.55        0.05 out  380  194  386     2     0      0  8.4e-11  2.5e-16
186,2.6,0.05,186         2.6        0.05 out  382  195  388     2     0      0  1.9e-10  2.4e-16
187,2.65,0.05,187        2.65        0.05 out  384  196  390     2     0      0  1.1e-10  2.8e-16
188,2.7,0.05,188         2.7        0.05 out  386  197  392     2     0      0    1e-10  2.8e-16
189,2.75,0.05,189        2.75        0.05 out  388  198  394     2     0      0  7.5e-11  2.7e-16
190,2.8,0.05,190         2.8        0.05 out  390  199  396     2     0      0  7.2e-11  2.4e-16
191,2.85,0.05,191        2.85        0.05 out  392  200  398     2     0      0  1.4e-11  2.3e-16
192,2.9,0.05,192         2.9        0.05 out  394  201  400     2     0      0  2.3e-12  2.4e-16
193,2.95,0.05,193        2.95        0.05 out  396  202  402     2     0      0  2.2e-11  2.5e-16
194,3.0,0.05,194           3        0.05 out  398  203  404     2     0      0  7.4e-11  2.4e-16
195,3.05,0.05,195        3.05        0.05 out  400  204  406     2     0      0  1.2e-10    3e-16
196,3.1,0.05,196         3.1        0.05 out  402  205  408     2     0      0  7.9e-12  2.7e-16
197,3.15,0.05,197        3.15        0.05 out  404  206  410     2     0      0  1.1e-10  2.2e-16
198,3.2,0.05,198         3.2        0.05 out  406  207  412     2     0      0  3.8e-11  2.3e-16
199,3.25,0.05,199        3.25        0.05 out  408  208  414     2     0      0  7.7e-13  2.2e-16
200,3.3,0.05,200         3.3        0.05 out  410  209  416     2     0      0  9.7e-11  3.2e-16
201,3.35,0.05,201        3.35        0.05 out  412  210  418     2     0      0  9.2e-11  2.2e-16
202,3.4,0.05,202         3.4        0.05 out  414  211  420     2     0      0  2.6e-11  2.2e-16
203,3.45,0.05,203        3.45        0.05 out  416  212  422     2     0      0  4.9e-11  2.2e-16
