t_ps,b2o3_PS_remain_pct,b2o3_PS_std,mc2x_PS_remain_pct,mc2x_PS_std,b2o3_BS_remain_pct,b2o3_Li_ingress,mc2x_Li_ingress
86.2,79.49,7.25,74.36,0.00,100.00,5.7,7.3
86.4,79.49,7.25,74.36,0.00,100.00,5.3,7.3
86.6,79.49,7.25,74.36,0.00,100.00,6.7,7.7
86.8,79.49,7.25,74.36,0.00,100.00,6.7,7.3
87.0,79.49,7.25,74.36,0.00,100.00,6.0,7.0
87.2,79.49,7.25,74.36,0.00,100.00,5.0,7.0
87.4,79.49,7.25,74.36,0.00,100.00,6.0,7.0
87.6,79.49,7.25,74.36,0.00,100.00,5.7,7.3
87.8,79.49,7.25,74.36,0.00,100.00,4.7,7.3
88.0,79.49,7.25,74.36,0.00,100.00,4.7,7.3
88.2,79.49,7.25,74.36,0.00,100.00,4.7,7.3
88.4,79.49,7.25,74.36,0.00,100.00,4.3,7.3
88.6,79.49,7.25,74.36,0.00,100.00,4.3,7.3
88.8,79.49,7.25,74.36,0.00,100.00,4.7,7.7
89.0,79.49,7.25,74.36,0.00,100.00,5.0,8.0
89.2,79.49,7.25,74.36,0.00,100.00,5.3,8.3
89.4,79.49,7.25,74.36,0.00,100.00,5.0,7.3
89.6,79.49,7.25,74.36,0.00,100.00,5.0,7.0
89.8,79.49,7.25,74.36,0.00,100.00,4.7,8.3
90.0,79.49,7.25,74.36,0.00,100.00,4.7,8.0
90.2,79.49,7.25,74.36,0.00,100.00,4.7,7.0
90.4,79.49,7.25,74.36,0.00,100.00,5.0,7.0
90.6,79.49,7.25,74.36,0.00,100.00,5.0,7.0
90.8,79.49,7.25,74.36,0.00,100.00,5.3,7.0
91.0,79.49,7.25,73.50,1.21,100.00,5.3,7.0
91.2,79.49,7.25,74.36,0.00,100.00,5.3,7.0
91.4,79.49,7.25,74.36,0.00,100.00,5.7,7.0
91.6,79.49,7.25,74.36,0.00,100.00,5.0,7.0
91.8,79.49,7.25,74.36,0.00,100.00,4.7,7.0
92.0,79.49,7.25,74.36,0.00,100.00,5.0,7.0
92.2,79.49,7.25,74.36,0.00,100.00,5.3,7.0
92.4,79.49,7.25,74.36,0.00,100.00,5.7,7.0
92.6,79.49,7.25,74.36,0.00,100.00,5.7,7.0
92.8,79.49,7.25,74.36,0.00,100.00,5.7,7.3
93.0,79.49,7.25,74.36,0.00,100.00,6.3,7.3
93.2,79.49,7.25,74.36,0.00,100.00,5.7,7.3
93.4,79.49,7.25,74.36,0.00,100.00,5.7,7.3
93.6,79.49,7.25,74.36,0.00,100.00,6.0,7.3
93.8,79.49,7.25,74.36,0.00,100.00,5.3,7.7
94.0,79.49,7.25,74.36,0.00,100.00,5.3,7.3
94.2,79.49,7.25,74.36,0.00,100.00,4.7,7.3
94.4,79.49,7.25,74.36,0.00,100.00,5.7,7.3
94.6,78.21,9.07,74.36,0.00,100.00,4.7,7.0
94.8,78.21,9.07,74.36,0.00,100.00,5.0,7.3
95.0,78.21,9.07,74.36,0.00,100.00,5.0,7.0
95.2,78.21,9.07,74.36,0.00,100.00,4.7,7.3
95.4,78.21,9.07,74.36,0.00,100.00,5.3,7.3
95.6,78.21,9.07,74.36,0.00,100.00,5.3,7.3
95.8,78.21,9.07,74.36,0.00,100.00,4.7,7.3
96.0,78.21,9.07,74.36,0.00,100.00,5.0,7.3
96.2,78.21,9.07,74.36,0.00,100.00,6.7,7.3
96.4,78.21,9.07,73.50,1.21,100.00,6.0,7.0
96.6,78.21,9.07,74.36,0.00,100.00,5.7,7.3
96.8,78.21,9.07,74.36,0.00,100.00,6.7,7.3
97.0,78.21,9.07,74.36,0.00,100.00,6.3,7.3
97.2,78.21,9.07,74.36,0.00,100.00,7.3,7.3
97.4,78.21,9.07,74.36,0.00,100.00,7.3,7.3
97.6,78.21,9.07,74.36,0.00,100.00,7.7,7.3
97.8,78.21,9.07,74.36,0.00,100.00,7.7,7.3
98.0,78.21,9.07,74.36,0.00,100.00,7.3,7.3
98.2,78.21,9.07,74.36,0.00,100.00,7.7,7.3
98.4,78.21,9.07,74.36,0.00,100.00,7.7,7.3
98.6,78.21,9.07,74.36,0.00,100.00,7.7,7.3
98.8,78.21,9.07,74.36,0.00,100.00,7.3,7.3
99.0,78.21,9.07,74.36,0.00,100.00,7.7,7.3
99.2,78.21,9.07,74.36,0.00,100.00,6.7,7.3
99.4,78.21,9.07,74.36,0.00,100.00,6.3,7.3
99.6,78.21,9.07,74.36,0.00,100.00,6.3,7.3
99.8,78.21,9.07,74.36,0.00,100.00,7.0,7.3
