# licl_mp-22905 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 1.576 eV. Gap is the fixed-occ nscf value (6.260 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Cl_p,Cl_s,Li_p,Li_s
-22.858,-24.4336,0,0,0,0
-22.848,-24.4236,0,0,0,0
-22.838,-24.4136,0,0,0,0
-22.828,-24.4036,0,0,0,0
-22.818,-24.3936,0,0,0,0
-22.808,-24.3836,0,0,0,0
-22.798,-24.3736,0,0,0,0
-22.788,-24.3636,0,0,0,0
-22.778,-24.3536,0,0,0,0
-22.768,-24.3436,0,0,0,0
-22.758,-24.3336,0,0,0,0
-22.748,-24.3236,0,0,0,0
-22.738,-24.3136,0,0,0,0
-22.728,-24.3036,0,0,0,0
-22.718,-24.2936,0,0,0,0
-22.708,-24.2836,0,0,0,0
-22.698,-24.2736,0,0,0,0
-22.688,-24.2636,0,0,0,0
-22.678,-24.2536,0,0,0,0
-22.668,-24.2436,0,0,0,0
-22.658,-24.2336,0,0,0,0
-22.648,-24.2236,0,0,0,0
-22.638,-24.2136,0,0,0,0
-22.628,-24.2036,0,0,0,0
-22.618,-24.1936,0,0,0,0
-22.608,-24.1836,0,0,0,0
-22.598,-24.1736,0,0,0,0
-22.588,-24.1636,0,0,0,0
-22.578,-24.1536,0,0,0,0
-22.568,-24.1436,0,0,0,0
-22.558,-24.1336,0,0,0,0
-22.548,-24.1236,0,0,0,0
-22.538,-24.1136,0,0,0,0
-22.528,-24.1036,0,0,0,0
-22.518,-24.0936,0,0,0,0
-22.508,-24.0836,0,0,0,0
-22.498,-24.0736,0,0,0,0
-22.488,-24.0636,0,0,0,0
-22.478,-24.0536,0,0,0,0
-22.468,-24.0436,0,0,0,0
-22.458,-24.0336,0,0,0,0
-22.448,-24.0236,0,0,0,0
-22.438,-24.0136,0,0,0,0
-22.428,-24.0036,0,0,0,0
-22.418,-23.9936,0,0,0,0
-22.408,-23.9836,0,0,0,0
-22.398,-23.9736,0,0,0,0
-22.388,-23.9636,0,0,0,0
-22.378,-23.9536,0,0,0,0
-22.368,-23.9436,0,0,0,0
-22.358,-23.9336,0,0,0,0
-22.348,-23.9236,0,0,0,0
-22.338,-23.9136,0,0,0,0
-22.328,-23.9036,0,0,0,0
-22.318,-23.8936,0,0,0,0
-22.308,-23.8836,0,0,0,0
-22.298,-23.8736,0,0,0,0
-22.288,-23.8636,0,0,0,0
-22.278,-23.8536,0,0,0,0
-22.268,-23.8436,0,0,0,0
-22.258,-23.8336,0,0,0,0
-22.248,-23.8236,0,0,0,0
-22.238,-23.8136,0,0,0,0
-22.228,-23.8036,0,0,0,0
-22.218,-23.7936,0,0,0,0
-22.208,-23.7836,0,0,0,0
-22.198,-23.7736,0,0,0,0
-22.188,-23.7636,0,0,0,0
-22.178,-23.7536,0,0,0,0
-22.168,-23.7436,0,0,0,0
-22.158,-23.7336,0,0,0,0
-22.148,-23.7236,0,0,0,0
-22.138,-23.7136,0,0,0,0
-22.128,-23.7036,0,0,0,0
-22.118,-23.6936,0,0,0,0
-22.108,-23.6836,0,0,0,0
-22.098,-23.6736,0,0,0,0
-22.088,-23.6636,0,0,0,0
-22.078,-23.6536,0,0,0,0
-22.068,-23.6436,0,0,0,0
-22.058,-23.6336,0,0,0,0
-22.048,-23.6236,0,0,0,0
-22.038,-23.6136,0,0,0,0
-22.028,-23.6036,0,0,0,0
-22.018,-23.5936,0,0,0,0
-22.008,-23.5836,0,0,0,0
-21.998,-23.5736,0,0,0,0
-21.988,-23.5636,0,0,0,0
-21.978,-23.5536,0,0,0,0
-21.968,-23.5436,0,0,0,0
-21.958,-23.5336,0,0,0,0
-21.948,-23.5236,0,0,0,0
-21.938,-23.5136,0,0,0,0
-21.928,-23.5036,0,0,0,0
-21.918,-23.4936,0,0,0,0
-21.908,-23.4836,0,0,0,0
-21.898,-23.4736,0,0,0,0
-21.888,-23.4636,0,0,0,0
-21.878,-23.4536,0,0,0,0
-21.868,-23.4436,0,0,0,0
-21.858,-23.4336,0,0,0,0
-21.848,-23.4236,0,0,0,0
-21.838,-23.4136,0,0,0,0
-21.828,-23.4036,0,0,0,0
-21.818,-23.3936,0,0,0,0
-21.808,-23.3836,0,0,0,0
-21.798,-23.3736,0,0,0,0
-21.788,-23.3636,0,0,0,0
-21.778,-23.3536,0,0,0,0
-21.768,-23.3436,0,0,0,0
-21.758,-23.3336,0,0,0,0
-21.748,-23.3236,0,0,0,0
-21.738,-23.3136,0,0,0,0
-21.728,-23.3036,0,0,0,0
-21.718,-23.2936,0,0,0,0
-21.708,-23.2836,0,0,0,0
-21.698,-23.2736,0,0,0,0
-21.688,-23.2636,0,0,0,0
-21.678,-23.2536,0,0,0,0
-21.668,-23.2436,0,0,0,0
-21.658,-23.2336,0,0,0,0
-21.648,-23.2236,0,0,0,0
-21.638,-23.2136,0,0,0,0
-21.628,-23.2036,0,0,0,0
-21.618,-23.1936,0,0,0,0
-21.608,-23.1836,0,0,0,0
-21.598,-23.1736,0,0,0,0
-21.588,-23.1636,0,0,0,0
-21.578,-23.1536,0,0,0,0
-21.568,-23.1436,0,0,0,0
-21.558,-23.1336,0,0,0,0
-21.548,-23.1236,0,0,0,0
-21.538,-23.1136,0,0,0,0
-21.528,-23.1036,0,0,0,0
-21.518,-23.0936,0,0,0,0
-21.508,-23.0836,0,0,0,0
-21.498,-23.0736,0,0,0,0
-21.488,-23.0636,0,0,0,0
-21.478,-23.0536,0,0,0,0
-21.468,-23.0436,0,0,0,0
-21.458,-23.0336,0,0,0,0
-21.448,-23.0236,0,0,0,0
-21.438,-23.0136,0,0,0,0
-21.428,-23.0036,0,0,0,0
-21.418,-22.9936,0,0,0,0
-21.408,-22.9836,0,0,0,0
-21.398,-22.9736,0,0,0,0
-21.388,-22.9636,0,0,0,0
-21.378,-22.9536,0,0,0,0
-21.368,-22.9436,0,0,0,0
-21.358,-22.9336,0,0,0,0
-21.348,-22.9236,0,0,0,0
-21.338,-22.9136,0,0,0,0
-21.328,-22.9036,0,0,0,0
-21.318,-22.8936,0,0,0,0
-21.308,-22.8836,0,0,0,0
-21.298,-22.8736,0,0,0,0
-21.288,-22.8636,0,0,0,0
-21.278,-22.8536,0,0,0,0
-21.268,-22.8436,0,0,0,0
-21.258,-22.8336,0,0,0,0
-21.248,-22.8236,0,0,0,0
-21.238,-22.8136,0,0,0,0
-21.228,-22.8036,0,0,0,0
-21.218,-22.7936,0,0,0,0
-21.208,-22.7836,0,0,0,0
-21.198,-22.7736,0,0,0,0
-21.188,-22.7636,0,0,0,0
-21.178,-22.7536,0,0,0,0
-21.168,-22.7436,0,0,0,0
-21.158,-22.7336,0,0,0,0
-21.148,-22.7236,0,0,0,0
-21.138,-22.7136,0,0,0,0
-21.128,-22.7036,0,0,0,0
-21.118,-22.6936,0,0,0,0
-21.108,-22.6836,0,0,0,0
-21.098,-22.6736,0,0,0,0
-21.088,-22.6636,0,0,0,0
-21.078,-22.6536,0,0,0,0
-21.068,-22.6436,0,0,0,0
-21.058,-22.6336,0,0,0,0
-21.048,-22.6236,0,0,0,0
-21.038,-22.6136,0,0,0,0
-21.028,-22.6036,0,0,0,0
-21.018,-22.5936,0,0,0,0
-21.008,-22.5836,0,0,0,0
-20.998,-22.5736,0,0,0,0
-20.988,-22.5636,0,0,0,0
-20.978,-22.5536,0,0,0,0
-20.968,-22.5436,0,0,0,0
-20.958,-22.5336,0,0,0,0
-20.948,-22.5236,0,0,0,0
-20.938,-22.5136,0,0,0,0
-20.928,-22.5036,0,0,0,0
-20.918,-22.4936,0,0,0,0
-20.908,-22.4836,0,0,0,0
-20.898,-22.4736,0,0,0,0
-20.888,-22.4636,0,0,0,0
-20.878,-22.4536,0,0,0,0
-20.868,-22.4436,0,0,0,0
-20.858,-22.4336,0,0,0,0
-20.848,-22.4236,0,0,0,0
-20.838,-22.4136,0,0,0,0
-20.828,-22.4036,0,0,0,0
-20.818,-22.3936,0,0,0,0
-20.808,-22.3836,0,0,0,0
-20.798,-22.3736,0,0,0,0
-20.788,-22.3636,0,0,0,0
-20.778,-22.3536,0,0,0,0
-20.768,-22.3436,0,0,0,0
-20.758,-22.3336,0,0,0,0
-20.748,-22.3236,0,0,0,0
-20.738,-22.3136,0,0,0,0
-20.728,-22.3036,0,0,0,0
-20.718,-22.2936,0,0,0,0
-20.708,-22.2836,0,0,0,0
-20.698,-22.2736,0,0,0,0
-20.688,-22.2636,0,0,0,0
-20.678,-22.2536,0,0,0,0
-20.668,-22.2436,0,0,0,0
-20.658,-22.2336,0,0,0,0
-20.648,-22.2236,0,0,0,0
-20.638,-22.2136,0,0,0,0
-20.628,-22.2036,0,0,0,0
-20.618,-22.1936,0,0,0,0
-20.608,-22.1836,0,0,0,0
-20.598,-22.1736,0,0,0,0
-20.588,-22.1636,0,0,0,0
-20.578,-22.1536,0,0,0,0
-20.568,-22.1436,0,0,0,0
-20.558,-22.1336,0,0,0,0
-20.548,-22.1236,0,0,0,0
-20.538,-22.1136,0,0,0,0
-20.528,-22.1036,0,0,0,0
-20.518,-22.0936,0,0,0,0
-20.508,-22.0836,0,0,0,0
-20.498,-22.0736,0,0,0,0
-20.488,-22.0636,0,0,0,0
-20.478,-22.0536,0,0,0,0
-20.468,-22.0436,0,0,0,0
-20.458,-22.0336,0,0,0,0
-20.448,-22.0236,0,0,0,0
-20.438,-22.0136,0,0,0,0
-20.428,-22.0036,0,0,0,0
-20.418,-21.9936,0,0,0,0
-20.408,-21.9836,0,0,0,0
-20.398,-21.9736,0,0,0,0
-20.388,-21.9636,0,0,0,0
-20.378,-21.9536,0,0,0,0
-20.368,-21.9436,0,0,0,0
-20.358,-21.9336,0,0,0,0
-20.348,-21.9236,0,0,0,0
-20.338,-21.9136,0,0,0,0
-20.328,-21.9036,0,0,0,0
-20.318,-21.8936,0,0,0,0
-20.308,-21.8836,0,0,0,0
-20.298,-21.8736,0,0,0,0
-20.288,-21.8636,0,0,0,0
-20.278,-21.8536,0,0,0,0
-20.268,-21.8436,0,0,0,0
-20.258,-21.8336,0,0,0,0
-20.248,-21.8236,0,0,0,0
-20.238,-21.8136,0,0,0,0
-20.228,-21.8036,0,0,0,0
-20.218,-21.7936,0,0,0,0
-20.208,-21.7836,0,0,0,0
-20.198,-21.7736,0,0,0,0
-20.188,-21.7636,0,0,0,0
-20.178,-21.7536,0,0,0,0
-20.168,-21.7436,0,0,0,0
-20.158,-21.7336,0,0,0,0
-20.148,-21.7236,0,0,0,0
-20.138,-21.7136,0,0,0,0
-20.128,-21.7036,0,0,0,0
-20.118,-21.6936,0,0,0,0
-20.108,-21.6836,0,0,0,0
-20.098,-21.6736,0,0,0,0
-20.088,-21.6636,0,0,0,0
-20.078,-21.6536,0,0,0,0
-20.068,-21.6436,0,0,0,0
-20.058,-21.6336,0,0,0,0
-20.048,-21.6236,0,0,0,0
-20.038,-21.6136,0,0,0,0
-20.028,-21.6036,0,0,0,0
-20.018,-21.5936,0,0,0,0
-20.008,-21.5836,0,0,0,0
-19.998,-21.5736,0,0,0,0
-19.988,-21.5636,0,0,0,0
-19.978,-21.5536,0,0,0,0
-19.968,-21.5436,0,0,0,0
-19.958,-21.5336,0,0,0,0
-19.948,-21.5236,0,0,0,0
-19.938,-21.5136,0,0,0,0
-19.928,-21.5036,0,0,0,0
-19.918,-21.4936,0,0,0,0
-19.908,-21.4836,0,0,0,0
-19.898,-21.4736,0,0,0,0
-19.888,-21.4636,0,0,0,0
-19.878,-21.4536,0,0,0,0
-19.868,-21.4436,0,0,0,0
-19.858,-21.4336,0,0,0,0
-19.848,-21.4236,0,0,0,0
-19.838,-21.4136,0,0,0,0
-19.828,-21.4036,0,0,0,0
-19.818,-21.3936,0,0,0,0
-19.808,-21.3836,0,0,0,0
-19.798,-21.3736,0,0,0,0
-19.788,-21.3636,0,0,0,0
-19.778,-21.3536,0,0,0,0
-19.768,-21.3436,0,0,0,0
-19.758,-21.3336,0,0,0,0
-19.748,-21.3236,0,0,0,0
-19.738,-21.3136,0,0,0,0
-19.728,-21.3036,0,0,0,0
-19.718,-21.2936,0,0,0,0
-19.708,-21.2836,0,0,0,0
-19.698,-21.2736,0,0,0,0
-19.688,-21.2636,0,0,0,0
-19.678,-21.2536,0,0,0,0
-19.668,-21.2436,0,0,0,0
-19.658,-21.2336,0,0,0,0
-19.648,-21.2236,0,0,0,0
-19.638,-21.2136,0,0,0,0
-19.628,-21.2036,0,0,0,0
-19.618,-21.1936,0,0,0,0
-19.608,-21.1836,0,0,0,0
-19.598,-21.1736,0,0,0,0
-19.588,-21.1636,0,0,0,0
-19.578,-21.1536,0,0,0,0
-19.568,-21.1436,0,0,0,0
-19.558,-21.1336,0,0,0,0
-19.548,-21.1236,0,0,0,0
-19.538,-21.1136,0,0,0,0
-19.528,-21.1036,0,0,0,0
-19.518,-21.0936,0,0,0,0
-19.508,-21.0836,0,0,0,0
-19.498,-21.0736,0,0,0,0
-19.488,-21.0636,0,0,0,0
-19.478,-21.0536,0,0,0,0
-19.468,-21.0436,0,0,0,0
-19.458,-21.0336,0,0,0,0
-19.448,-21.0236,0,0,0,0
-19.438,-21.0136,0,0,0,0
-19.428,-21.0036,0,0,0,0
-19.418,-20.9936,0,0,0,0
-19.408,-20.9836,0,0,0,0
-19.398,-20.9736,0,0,0,0
-19.388,-20.9636,0,0,0,0
-19.378,-20.9536,0,0,0,0
-19.368,-20.9436,0,0,0,0
-19.358,-20.9336,0,0,0,0
-19.348,-20.9236,0,0,0,0
-19.338,-20.9136,0,0,0,0
-19.328,-20.9036,0,0,0,0
-19.318,-20.8936,0,0,0,0
-19.308,-20.8836,0,0,0,0
-19.298,-20.8736,0,0,0,0
-19.288,-20.8636,0,0,0,0
-19.278,-20.8536,0,0,0,0
-19.268,-20.8436,0,0,0,0
-19.258,-20.8336,0,0,0,0
-19.248,-20.8236,0,0,0,0
-19.238,-20.8136,0,0,0,0
-19.228,-20.8036,0,0,0,0
-19.218,-20.7936,0,0,0,0
-19.208,-20.7836,0,0,0,0
-19.198,-20.7736,0,0,0,0
-19.188,-20.7636,0,0,0,0
-19.178,-20.7536,0,0,0,0
-19.168,-20.7436,0,0,0,0
-19.158,-20.7336,0,0,0,0
-19.148,-20.7236,0,0,0,0
-19.138,-20.7136,0,0,0,0
-19.128,-20.7036,0,0,0,0
-19.118,-20.6936,0,0,0,0
-19.108,-20.6836,0,0,0,0
-19.098,-20.6736,0,0,0,0
-19.088,-20.6636,0,0,0,0
-19.078,-20.6536,0,0,0,0
-19.068,-20.6436,0,0,0,0
-19.058,-20.6336,0,0,0,0
-19.048,-20.6236,0,0,0,0
-19.038,-20.6136,0,0,0,0
-19.028,-20.6036,0,0,0,0
-19.018,-20.5936,0,0,0,0
-19.008,-20.5836,0,0,0,0
-18.998,-20.5736,0,0,0,0
-18.988,-20.5636,0,0,0,0
-18.978,-20.5536,0,0,0,0
-18.968,-20.5436,0,0,0,0
-18.958,-20.5336,0,0,0,0
-18.948,-20.5236,0,0,0,0
-18.938,-20.5136,0,0,0,0
-18.928,-20.5036,0,0,0,0
-18.918,-20.4936,0,0,0,0
-18.908,-20.4836,0,0,0,0
-18.898,-20.4736,0,0,0,0
-18.888,-20.4636,0,0,0,0
-18.878,-20.4536,0,0,0,0
-18.868,-20.4436,0,0,0,0
-18.858,-20.4336,0,0,0,0
-18.848,-20.4236,0,0,0,0
-18.838,-20.4136,0,0,0,0
-18.828,-20.4036,0,0,0,0
-18.818,-20.3936,0,0,0,0
-18.808,-20.3836,0,0,0,0
-18.798,-20.3736,0,0,0,0
-18.788,-20.3636,0,0,0,0
-18.778,-20.3536,0,0,0,0
-18.768,-20.3436,0,0,0,0
-18.758,-20.3336,0,0,0,0
-18.748,-20.3236,0,0,0,0
-18.738,-20.3136,0,0,0,0
-18.728,-20.3036,0,0,0,0
-18.718,-20.2936,0,0,0,0
-18.708,-20.2836,0,0,0,0
-18.698,-20.2736,0,0,0,0
-18.688,-20.2636,0,0,0,0
-18.678,-20.2536,0,0,0,0
-18.668,-20.2436,0,0,0,0
-18.658,-20.2336,0,0,0,0
-18.648,-20.2236,0,0,0,0
-18.638,-20.2136,0,0,0,0
-18.628,-20.2036,0,0,0,0
-18.618,-20.1936,0,0,0,0
-18.608,-20.1836,0,0,0,0
-18.598,-20.1736,0,0,0,0
-18.588,-20.1636,0,0,0,0
-18.578,-20.1536,0,0,0,0
-18.568,-20.1436,0,0,0,0
-18.558,-20.1336,0,0,0,0
-18.548,-20.1236,0,0,0,0
-18.538,-20.1136,0,0,0,0
-18.528,-20.1036,0,0,0,0
-18.518,-20.0936,0,0,0,0
-18.508,-20.0836,0,0,0,0
-18.498,-20.0736,0,0,0,0
-18.488,-20.0636,0,0,0,0
-18.478,-20.0536,0,0,0,0
-18.468,-20.0436,0,0,0,0
-18.458,-20.0336,0,0,0,0
-18.448,-20.0236,0,0,0,0
-18.438,-20.0136,0,0,0,0
-18.428,-20.0036,0,0,0,0
-18.418,-19.9936,0,0,0,0
-18.408,-19.9836,0,0,0,0
-18.398,-19.9736,0,0,0,0
-18.388,-19.9636,0,0,0,0
-18.378,-19.9536,0,0,0,0
-18.368,-19.9436,0,0,0,0
-18.358,-19.9336,0,0,0,0
-18.348,-19.9236,0,0,0,0
-18.338,-19.9136,0,0,0,0
-18.328,-19.9036,0,0,0,0
-18.318,-19.8936,0,0,0,0
-18.308,-19.8836,0,0,0,0
-18.298,-19.8736,0,0,0,0
-18.288,-19.8636,0,0,0,0
-18.278,-19.8536,0,0,0,0
-18.268,-19.8436,0,0,0,0
-18.258,-19.8336,0,0,0,0
-18.248,-19.8236,0,0,0,0
-18.238,-19.8136,0,0,0,0
-18.228,-19.8036,0,0,0,0
-18.218,-19.7936,0,0,0,0
-18.208,-19.7836,0,0,0,0
-18.198,-19.7736,0,0,0,0
-18.188,-19.7636,0,0,0,0
-18.178,-19.7536,0,0,0,0
-18.168,-19.7436,0,0,0,0
-18.158,-19.7336,0,0,0,0
-18.148,-19.7236,0,0,0,0
-18.138,-19.7136,0,0,0,0
-18.128,-19.7036,0,0,0,0
-18.118,-19.6936,0,0,0,0
-18.108,-19.6836,0,0,0,0
-18.098,-19.6736,0,0,0,0
-18.088,-19.6636,0,0,0,0
-18.078,-19.6536,0,0,0,0
-18.068,-19.6436,0,0,0,0
-18.058,-19.6336,0,0,0,0
-18.048,-19.6236,0,0,0,0
-18.038,-19.6136,0,0,0,0
-18.028,-19.6036,0,0,0,0
-18.018,-19.5936,0,0,0,0
-18.008,-19.5836,0,0,0,0
-17.998,-19.5736,0,0,0,0
-17.988,-19.5636,0,0,0,0
-17.978,-19.5536,0,0,0,0
-17.968,-19.5436,0,0,0,0
-17.958,-19.5336,0,0,0,0
-17.948,-19.5236,0,0,0,0
-17.938,-19.5136,0,0,0,0
-17.928,-19.5036,0,0,0,0
-17.918,-19.4936,0,0,0,0
-17.908,-19.4836,0,0,0,0
-17.898,-19.4736,0,0,0,0
-17.888,-19.4636,0,0,0,0
-17.878,-19.4536,0,0,0,0
-17.868,-19.4436,0,0,0,0
-17.858,-19.4336,0,0,0,0
-17.848,-19.4236,0,0,0,0
-17.838,-19.4136,0,0,0,0
-17.828,-19.4036,0,0,0,0
-17.818,-19.3936,0,0,0,0
-17.808,-19.3836,0,0,0,0
-17.798,-19.3736,0,0,0,0
-17.788,-19.3636,0,0,0,0
-17.778,-19.3536,0,0,0,0
-17.768,-19.3436,0,0,0,0
-17.758,-19.3336,0,0,0,0
-17.748,-19.3236,0,0,0,0
-17.738,-19.3136,0,0,0,0
-17.728,-19.3036,0,0,0,0
-17.718,-19.2936,0,0,0,0
-17.708,-19.2836,0,0,0,0
-17.698,-19.2736,0,0,0,0
-17.688,-19.2636,0,0,0,0
-17.678,-19.2536,0,0,0,0
-17.668,-19.2436,0,0,0,0
-17.658,-19.2336,0,0,0,0
-17.648,-19.2236,0,0,0,0
-17.638,-19.2136,0,0,0,0
-17.628,-19.2036,0,0,0,0
-17.618,-19.1936,0,0,0,0
-17.608,-19.1836,0,0,0,0
-17.598,-19.1736,0,0,0,0
-17.588,-19.1636,0,0,0,0
-17.578,-19.1536,0,0,0,0
-17.568,-19.1436,0,0,0,0
-17.558,-19.1336,0,0,0,0
-17.548,-19.1236,0,0,0,0
-17.538,-19.1136,0,0,0,0
-17.528,-19.1036,0,0,0,0
-17.518,-19.0936,0,0,0,0
-17.508,-19.0836,0,0,0,0
-17.498,-19.0736,0,0,0,0
-17.488,-19.0636,0,0,0,0
-17.478,-19.0536,0,0,0,0
-17.468,-19.0436,0,0,0,0
-17.458,-19.0336,0,0,0,0
-17.448,-19.0236,0,0,0,0
-17.438,-19.0136,0,0,0,0
-17.428,-19.0036,0,0,0,0
-17.418,-18.9936,0,0,0,0
-17.408,-18.9836,0,0,0,0
-17.398,-18.9736,0,0,0,0
-17.388,-18.9636,0,0,0,0
-17.378,-18.9536,0,0,0,0
-17.368,-18.9436,0,0,0,0
-17.358,-18.9336,0,0,0,0
-17.348,-18.9236,0,0,0,0
-17.338,-18.9136,0,0,0,0
-17.328,-18.9036,0,0,0,0
-17.318,-18.8936,0,0,0,0
-17.308,-18.8836,0,0,0,0
-17.298,-18.8736,0,0,0,0
-17.288,-18.8636,0,0,0,0
-17.278,-18.8536,0,0,0,0
-17.268,-18.8436,0,0,0,0
-17.258,-18.8336,0,0,0,0
-17.248,-18.8236,0,0,0,0
-17.238,-18.8136,0,0,0,0
-17.228,-18.8036,0,0,0,0
-17.218,-18.7936,0,0,0,0
-17.208,-18.7836,0,0,0,0
-17.198,-18.7736,0,0,0,0
-17.188,-18.7636,0,0,0,0
-17.178,-18.7536,0,0,0,0
-17.168,-18.7436,0,0,0,0
-17.158,-18.7336,0,0,0,0
-17.148,-18.7236,0,0,0,0
-17.138,-18.7136,0,0,0,0
-17.128,-18.7036,0,0,0,0
-17.118,-18.6936,0,0,0,0
-17.108,-18.6836,0,0,0,0
-17.098,-18.6736,0,0,0,0
-17.088,-18.6636,0,0,0,0
-17.078,-18.6536,0,0,0,0
-17.068,-18.6436,0,0,0,0
-17.058,-18.6336,0,0,0,0
-17.048,-18.6236,0,0,0,0
-17.038,-18.6136,0,0,0,0
-17.028,-18.6036,0,0,0,0
-17.018,-18.5936,0,0,0,0
-17.008,-18.5836,0,0,0,0
-16.998,-18.5736,0,0,0,0
-16.988,-18.5636,0,0,0,0
-16.978,-18.5536,0,0,0,0
-16.968,-18.5436,0,0,0,0
-16.958,-18.5336,0,0,0,0
-16.948,-18.5236,0,0,0,0
-16.938,-18.5136,0,0,0,0
-16.928,-18.5036,0,0,0,0
-16.918,-18.4936,0,0,0,0
-16.908,-18.4836,0,0,0,0
-16.898,-18.4736,0,0,0,0
-16.888,-18.4636,0,0,0,0
-16.878,-18.4536,0,0,0,0
-16.868,-18.4436,0,0,0,0
-16.858,-18.4336,0,0,0,0
-16.848,-18.4236,0,0,0,0
-16.838,-18.4136,0,0,0,0
-16.828,-18.4036,0,0,0,0
-16.818,-18.3936,0,0,0,0
-16.808,-18.3836,0,0,0,0
-16.798,-18.3736,0,0,0,0
-16.788,-18.3636,0,0,0,0
-16.778,-18.3536,0,0,0,0
-16.768,-18.3436,0,0,0,0
-16.758,-18.3336,0,0,0,0
-16.748,-18.3236,0,0,0,0
-16.738,-18.3136,0,0,0,0
-16.728,-18.3036,0,0,0,0
-16.718,-18.2936,0,0,0,0
-16.708,-18.2836,0,0,0,0
-16.698,-18.2736,0,0,0,0
-16.688,-18.2636,0,0,0,0
-16.678,-18.2536,0,0,0,0
-16.668,-18.2436,0,0,0,0
-16.658,-18.2336,0,0,0,0
-16.648,-18.2236,0,0,0,0
-16.638,-18.2136,0,0,0,0
-16.628,-18.2036,0,0,0,0
-16.618,-18.1936,0,0,0,0
-16.608,-18.1836,0,0,0,0
-16.598,-18.1736,0,0,0,0
-16.588,-18.1636,0,0,0,0
-16.578,-18.1536,0,0,0,0
-16.568,-18.1436,0,0,0,0
-16.558,-18.1336,0,0,0,0
-16.548,-18.1236,0,0,0,0
-16.538,-18.1136,0,0,0,0
-16.528,-18.1036,0,0,0,0
-16.518,-18.0936,0,0,0,0
-16.508,-18.0836,0,0,0,0
-16.498,-18.0736,0,0,0,0
-16.488,-18.0636,0,0,0,0
-16.478,-18.0536,0,0,0,0
-16.468,-18.0436,0,0,0,0
-16.458,-18.0336,0,0,0,0
-16.448,-18.0236,0,0,0,0
-16.438,-18.0136,0,0,0,0
-16.428,-18.0036,0,0,0,0
-16.418,-17.9936,0,0,0,0
-16.408,-17.9836,0,0,0,0
-16.398,-17.9736,0,0,0,0
-16.388,-17.9636,0,0,0,0
-16.378,-17.9536,0,0,0,0
-16.368,-17.9436,0,0,0,0
-16.358,-17.9336,0,0,0,0
-16.348,-17.9236,0,0,0,0
-16.338,-17.9136,0,0,0,0
-16.328,-17.9036,0,0,0,0
-16.318,-17.8936,0,0,0,0
-16.308,-17.8836,0,0,0,0
-16.298,-17.8736,0,0,0,0
-16.288,-17.8636,0,0,0,0
-16.278,-17.8536,0,0,0,0
-16.268,-17.8436,0,0,0,0
-16.258,-17.8336,0,0,0,0
-16.248,-17.8236,0,0,0,0
-16.238,-17.8136,0,0,0,0
-16.228,-17.8036,0,0,0,0
-16.218,-17.7936,0,0,0,0
-16.208,-17.7836,0,0,0,0
-16.198,-17.7736,0,0,0,0
-16.188,-17.7636,0,0,0,0
-16.178,-17.7536,0,0,0,0
-16.168,-17.7436,0,0,0,0
-16.158,-17.7336,0,0,0,0
-16.148,-17.7236,0,0,0,0
-16.138,-17.7136,0,0,0,0
-16.128,-17.7036,0,0,0,0
-16.118,-17.6936,0,0,0,0
-16.108,-17.6836,0,0,0,0
-16.098,-17.6736,0,0,0,0
-16.088,-17.6636,0,0,0,0
-16.078,-17.6536,0,0,0,0
-16.068,-17.6436,0,0,0,0
-16.058,-17.6336,0,0,0,0
-16.048,-17.6236,0,0,0,0
-16.038,-17.6136,0,0,0,0
-16.028,-17.6036,0,0,0,0
-16.018,-17.5936,0,0,0,0
-16.008,-17.5836,0,0,0,0
-15.998,-17.5736,0,0,0,0
-15.988,-17.5636,0,0,0,0
-15.978,-17.5536,0,0,0,0
-15.968,-17.5436,0,0,0,0
-15.958,-17.5336,0,0,0,0
-15.948,-17.5236,0,0,0,0
-15.938,-17.5136,0,0,0,0
-15.928,-17.5036,0,0,0,0
-15.918,-17.4936,0,0,0,0
-15.908,-17.4836,0,0,0,0
-15.898,-17.4736,0,0,0,0
-15.888,-17.4636,0,0,0,0
-15.878,-17.4536,0,0,0,0
-15.868,-17.4436,0,0,0,0
-15.858,-17.4336,0,0,0,0
-15.848,-17.4236,0,0,0,0
-15.838,-17.4136,0,0,0,0
-15.828,-17.4036,0,0,0,0
-15.818,-17.3936,0,0,0,0
-15.808,-17.3836,0,0,0,0
-15.798,-17.3736,0,0,0,0
-15.788,-17.3636,0,0,0,0
-15.778,-17.3536,0,0,0,0
-15.768,-17.3436,0,0,0,0
-15.758,-17.3336,0,0,0,0
-15.748,-17.3236,0,0,0,0
-15.738,-17.3136,0,0,0,0
-15.728,-17.3036,0,0,0,0
-15.718,-17.2936,0,0,0,0
-15.708,-17.2836,0,0,0,0
-15.698,-17.2736,0,0,0,0
-15.688,-17.2636,0,0,0,0
-15.678,-17.2536,0,0,0,0
-15.668,-17.2436,0,0,0,0
-15.658,-17.2336,0,0,0,0
-15.648,-17.2236,0,0,0,0
-15.638,-17.2136,0,0,0,0
-15.628,-17.2036,0,0,0,0
-15.618,-17.1936,0,0,0,0
-15.608,-17.1836,0,0,0,0
-15.598,-17.1736,0,0,0,0
-15.588,-17.1636,0,0,0,0
-15.578,-17.1536,0,0,0,0
-15.568,-17.1436,0,0,0,0
