# li3po4_mp-13725 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.892 eV. Gap is the fixed-occ nscf value (5.912 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,O_p,O_s,P_p,P_s
-36.658,-39.5499,0,0,0,0,0,0
-36.648,-39.5399,0,0,0,0,0,0
-36.638,-39.5299,0,0,0,0,0,0
-36.628,-39.5199,0,0,0,0,0,0
-36.618,-39.5099,0,0,0,0,0,0
-36.608,-39.4999,0,0,0,0,0,0
-36.598,-39.4899,0,0,0,0,0,0
-36.588,-39.4799,0,0,0,0,0,0
-36.578,-39.4699,0,0,0,0,0,0
-36.568,-39.4599,0,0,0,0,0,0
-36.558,-39.4499,0,0,0,0,0,0
-36.548,-39.4399,0,0,0,0,0,0
-36.538,-39.4299,0,0,0,0,0,0
-36.528,-39.4199,0,0,0,0,0,0
-36.518,-39.4099,0,0,0,0,0,0
-36.508,-39.3999,0,0,0,0,0,0
-36.498,-39.3899,0,0,0,0,0,0
-36.488,-39.3799,0,0,0,0,0,0
-36.478,-39.3699,0,0,0,0,0,0
-36.468,-39.3599,0,0,0,0,0,0
-36.458,-39.3499,0,0,0,0,0,0
-36.448,-39.3399,0,0,0,0,0,0
-36.438,-39.3299,0,0,0,0,0,0
-36.428,-39.3199,0,0,0,0,0,0
-36.418,-39.3099,0,0,0,0,0,0
-36.408,-39.2999,0,0,0,0,0,0
-36.398,-39.2899,0,0,0,0,0,0
-36.388,-39.2799,0,0,0,0,0,0
-36.378,-39.2699,0,0,0,0,0,0
-36.368,-39.2599,0,0,0,0,0,0
-36.358,-39.2499,0,0,0,0,0,0
-36.348,-39.2399,0,0,0,0,0,0
-36.338,-39.2299,0,0,0,0,0,0
-36.328,-39.2199,0,0,0,0,0,0
-36.318,-39.2099,0,0,0,0,0,0
-36.308,-39.1999,0,0,0,0,0,0
-36.298,-39.1899,0,0,0,0,0,0
-36.288,-39.1799,0,0,0,0,0,0
-36.278,-39.1699,0,0,0,0,0,0
-36.268,-39.1599,0,0,0,0,0,0
-36.258,-39.1499,0,0,0,0,0,0
-36.248,-39.1399,0,0,0,0,0,0
-36.238,-39.1299,0,0,0,0,0,0
-36.228,-39.1199,0,0,0,0,0,0
-36.218,-39.1099,0,0,0,0,0,0
-36.208,-39.0999,0,0,0,0,0,0
-36.198,-39.0899,0,0,0,0,0,0
-36.188,-39.0799,0,0,0,0,0,0
-36.178,-39.0699,0,0,0,0,0,0
-36.168,-39.0599,0,0,0,0,0,0
-36.158,-39.0499,0,0,0,0,0,0
-36.148,-39.0399,0,0,0,0,0,0
-36.138,-39.0299,0,0,0,0,0,0
-36.128,-39.0199,0,0,0,0,0,0
-36.118,-39.0099,0,0,0,0,0,0
-36.108,-38.9999,0,0,0,0,0,0
-36.098,-38.9899,0,0,0,0,0,0
-36.088,-38.9799,0,0,0,0,0,0
-36.078,-38.9699,0,0,0,0,0,0
-36.068,-38.9599,0,0,0,0,0,0
-36.058,-38.9499,0,0,0,0,0,0
-36.048,-38.9399,0,0,0,0,0,0
-36.038,-38.9299,0,0,0,0,0,0
-36.028,-38.9199,0,0,0,0,0,0
-36.018,-38.9099,0,0,0,0,0,0
-36.008,-38.8999,0,0,0,0,0,0
-35.998,-38.8899,0,0,0,0,0,0
-35.988,-38.8799,0,0,0,0,0,0
-35.978,-38.8699,0,0,0,0,0,0
-35.968,-38.8599,0,0,0,0,0,0
-35.958,-38.8499,0,0,0,0,0,0
-35.948,-38.8399,0,0,0,0,0,0
-35.938,-38.8299,0,0,0,0,0,0
-35.928,-38.8199,0,0,0,0,0,0
-35.918,-38.8099,0,0,0,0,0,0
-35.908,-38.7999,0,0,0,0,0,0
-35.898,-38.7899,0,0,0,0,0,0
-35.888,-38.7799,0,0,0,0,0,0
-35.878,-38.7699,0,0,0,0,0,0
-35.868,-38.7599,0,0,0,0,0,0
-35.858,-38.7499,0,0,0,0,0,0
-35.848,-38.7399,0,0,0,0,0,0
-35.838,-38.7299,0,0,0,0,0,0
-35.828,-38.7199,0,0,0,0,0,0
-35.818,-38.7099,0,0,0,0,0,0
-35.808,-38.6999,0,0,0,0,0,0
-35.798,-38.6899,0,0,0,0,0,0
-35.788,-38.6799,0,0,0,0,0,0
-35.778,-38.6699,0,0,0,0,0,0
-35.768,-38.6599,0,0,0,0,0,0
-35.758,-38.6499,0,0,0,0,0,0
-35.748,-38.6399,0,0,0,0,0,0
-35.738,-38.6299,0,0,0,0,0,0
-35.728,-38.6199,0,0,0,0,0,0
-35.718,-38.6099,0,0,0,0,0,0
-35.708,-38.5999,0,0,0,0,0,0
-35.698,-38.5899,0,0,0,0,0,0
-35.688,-38.5799,0,0,0,0,0,0
-35.678,-38.5699,0,0,0,0,0,0
-35.668,-38.5599,0,0,0,0,0,0
-35.658,-38.5499,0,0,0,0,0,0
-35.648,-38.5399,0,0,0,0,0,0
-35.638,-38.5299,0,0,0,0,0,0
-35.628,-38.5199,0,0,0,0,0,0
-35.618,-38.5099,0,0,0,0,0,0
-35.608,-38.4999,0,0,0,0,0,0
-35.598,-38.4899,0,0,0,0,0,0
-35.588,-38.4799,0,0,0,0,0,0
-35.578,-38.4699,0,0,0,0,0,0
-35.568,-38.4599,0,0,0,0,0,0
-35.558,-38.4499,0,0,0,0,0,0
-35.548,-38.4399,0,0,0,0,0,0
-35.538,-38.4299,0,0,0,0,0,0
-35.528,-38.4199,0,0,0,0,0,0
-35.518,-38.4099,0,0,0,0,0,0
-35.508,-38.3999,0,0,0,0,0,0
-35.498,-38.3899,0,0,0,0,0,0
-35.488,-38.3799,0,0,0,0,0,0
-35.478,-38.3699,0,0,0,0,0,0
-35.468,-38.3599,0,0,0,0,0,0
