# licl_mp-22905 total DOS (QE dos.x, degauss 0.007 Ry). VBM 1.576 / CBM 7.836 / gap 6.260 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-38.008,-39.5836,9.182e-85,8
-37.998,-39.5736,9.182e-85,8
-37.988,-39.5636,9.182e-85,8
-37.978,-39.5536,9.182e-85,8
-37.968,-39.5436,9.182e-85,8
-37.958,-39.5336,9.182e-85,8
-37.948,-39.5236,9.182e-85,8
-37.938,-39.5136,9.182e-85,8
-37.928,-39.5036,9.182e-85,8
-37.918,-39.4936,9.182e-85,8
-37.908,-39.4836,9.182e-85,8
-37.898,-39.4736,9.182e-85,8
-37.888,-39.4636,9.182e-85,8
-37.878,-39.4536,9.182e-85,8
-37.868,-39.4436,9.182e-85,8
-37.858,-39.4336,9.182e-85,8
-37.848,-39.4236,9.182e-85,8
-37.838,-39.4136,9.182e-85,8
-37.828,-39.4036,9.182e-85,8
-37.818,-39.3936,9.182e-85,8
-37.808,-39.3836,9.182e-85,8
-37.798,-39.3736,9.182e-85,8
-37.788,-39.3636,9.182e-85,8
-37.778,-39.3536,9.182e-85,8
-37.768,-39.3436,9.182e-85,8
-37.758,-39.3336,9.182e-85,8
-37.748,-39.3236,9.182e-85,8
-37.738,-39.3136,9.182e-85,8
-37.728,-39.3036,9.182e-85,8
-37.718,-39.2936,9.182e-85,8
-37.708,-39.2836,9.182e-85,8
-37.698,-39.2736,9.182e-85,8
-37.688,-39.2636,9.182e-85,8
-37.678,-39.2536,9.182e-85,8
-37.668,-39.2436,9.182e-85,8
-37.658,-39.2336,9.182e-85,8
-37.648,-39.2236,9.182e-85,8
-37.638,-39.2136,9.182e-85,8
-37.628,-39.2036,9.182e-85,8
-37.618,-39.1936,9.182e-85,8
-37.608,-39.1836,9.182e-85,8
-37.598,-39.1736,9.182e-85,8
-37.588,-39.1636,9.182e-85,8
-37.578,-39.1536,9.182e-85,8
-37.568,-39.1436,9.182e-85,8
-37.558,-39.1336,9.182e-85,8
-37.548,-39.1236,9.182e-85,8
-37.538,-39.1136,9.182e-85,8
-37.528,-39.1036,9.182e-85,8
-37.518,-39.0936,9.182e-85,8
-37.508,-39.0836,9.182e-85,8
-37.498,-39.0736,9.182e-85,8
-37.488,-39.0636,9.182e-85,8
-37.478,-39.0536,9.182e-85,8
-37.468,-39.0436,9.182e-85,8
-37.458,-39.0336,9.182e-85,8
-37.448,-39.0236,9.182e-85,8
-37.438,-39.0136,9.182e-85,8
-37.428,-39.0036,9.182e-85,8
-37.418,-38.9936,9.182e-85,8
-37.408,-38.9836,9.182e-85,8
-37.398,-38.9736,9.182e-85,8
-37.388,-38.9636,9.182e-85,8
-37.378,-38.9536,9.182e-85,8
-37.368,-38.9436,9.182e-85,8
-37.358,-38.9336,9.182e-85,8
-37.348,-38.9236,9.182e-85,8
-37.338,-38.9136,9.182e-85,8
-37.328,-38.9036,9.182e-85,8
-37.318,-38.8936,9.182e-85,8
-37.308,-38.8836,9.182e-85,8
-37.298,-38.8736,9.182e-85,8
-37.288,-38.8636,9.182e-85,8
-37.278,-38.8536,9.182e-85,8
-37.268,-38.8436,9.182e-85,8
-37.258,-38.8336,9.182e-85,8
-37.248,-38.8236,9.182e-85,8
-37.238,-38.8136,9.182e-85,8
-37.228,-38.8036,9.182e-85,8
-37.218,-38.7936,9.182e-85,8
-37.208,-38.7836,9.182e-85,8
-37.198,-38.7736,9.182e-85,8
-37.188,-38.7636,9.182e-85,8
-37.178,-38.7536,9.182e-85,8
-37.168,-38.7436,9.182e-85,8
-37.158,-38.7336,9.182e-85,8
-37.148,-38.7236,9.182e-85,8
-37.138,-38.7136,9.182e-85,8
-37.128,-38.7036,9.182e-85,8
-37.118,-38.6936,9.182e-85,8
-37.108,-38.6836,9.182e-85,8
-37.098,-38.6736,9.182e-85,8
-37.088,-38.6636,9.182e-85,8
-37.078,-38.6536,9.182e-85,8
-37.068,-38.6436,9.182e-85,8
-37.058,-38.6336,9.182e-85,8
-37.048,-38.6236,9.182e-85,8
-37.038,-38.6136,9.182e-85,8
-37.028,-38.6036,9.182e-85,8
-37.018,-38.5936,9.182e-85,8
-37.008,-38.5836,9.182e-85,8
-36.998,-38.5736,9.182e-85,8
-36.988,-38.5636,9.182e-85,8
-36.978,-38.5536,9.182e-85,8
-36.968,-38.5436,9.182e-85,8
-36.958,-38.5336,9.182e-85,8
-36.948,-38.5236,9.182e-85,8
-36.938,-38.5136,9.182e-85,8
-36.928,-38.5036,9.182e-85,8
-36.918,-38.4936,9.182e-85,8
-36.908,-38.4836,9.182e-85,8
-36.898,-38.4736,9.182e-85,8
-36.888,-38.4636,9.182e-85,8
-36.878,-38.4536,9.182e-85,8
-36.868,-38.4436,9.182e-85,8
-36.858,-38.4336,9.182e-85,8
-36.848,-38.4236,9.182e-85,8
-36.838,-38.4136,9.182e-85,8
-36.828,-38.4036,9.182e-85,8
-36.818,-38.3936,9.182e-85,8
-36.808,-38.3836,9.182e-85,8
-36.798,-38.3736,9.182e-85,8
-36.788,-38.3636,9.182e-85,8
-36.778,-38.3536,9.182e-85,8
-36.768,-38.3436,9.182e-85,8
-36.758,-38.3336,9.182e-85,8
-36.748,-38.3236,9.182e-85,8
-36.738,-38.3136,9.182e-85,8
-36.728,-38.3036,9.182e-85,8
-36.718,-38.2936,9.182e-85,8
-36.708,-38.2836,9.182e-85,8
-36.698,-38.2736,9.182e-85,8
-36.688,-38.2636,9.182e-85,8
-36.678,-38.2536,9.182e-85,8
-36.668,-38.2436,9.182e-85,8
-36.658,-38.2336,9.182e-85,8
-36.648,-38.2236,9.182e-85,8
-36.638,-38.2136,9.182e-85,8
-36.628,-38.2036,9.182e-85,8
-36.618,-38.1936,9.182e-85,8
-36.608,-38.1836,9.182e-85,8
-36.598,-38.1736,9.182e-85,8
-36.588,-38.1636,9.182e-85,8
-36.578,-38.1536,9.182e-85,8
-36.568,-38.1436,9.182e-85,8
-36.558,-38.1336,9.182e-85,8
-36.548,-38.1236,9.182e-85,8
-36.538,-38.1136,9.182e-85,8
-36.528,-38.1036,9.182e-85,8
-36.518,-38.0936,9.182e-85,8
-36.508,-38.0836,9.182e-85,8
-36.498,-38.0736,9.182e-85,8
-36.488,-38.0636,9.182e-85,8
-36.478,-38.0536,9.182e-85,8
-36.468,-38.0436,9.182e-85,8
-36.458,-38.0336,9.182e-85,8
-36.448,-38.0236,9.182e-85,8
-36.438,-38.0136,9.182e-85,8
-36.428,-38.0036,9.182e-85,8
-36.418,-37.9936,9.182e-85,8
-36.408,-37.9836,9.182e-85,8
-36.398,-37.9736,9.182e-85,8
-36.388,-37.9636,9.182e-85,8
-36.378,-37.9536,9.182e-85,8
-36.368,-37.9436,9.182e-85,8
-36.358,-37.9336,9.182e-85,8
-36.348,-37.9236,9.182e-85,8
-36.338,-37.9136,9.182e-85,8
-36.328,-37.9036,9.182e-85,8
-36.318,-37.8936,9.182e-85,8
-36.308,-37.8836,9.182e-85,8
-36.298,-37.8736,9.182e-85,8
-36.288,-37.8636,9.182e-85,8
-36.278,-37.8536,9.182e-85,8
-36.268,-37.8436,9.182e-85,8
-36.258,-37.8336,9.182e-85,8
-36.248,-37.8236,9.182e-85,8
-36.238,-37.8136,9.182e-85,8
-36.228,-37.8036,9.182e-85,8
-36.218,-37.7936,9.182e-85,8
-36.208,-37.7836,9.182e-85,8
-36.198,-37.7736,9.182e-85,8
-36.188,-37.7636,9.182e-85,8
-36.178,-37.7536,9.182e-85,8
-36.168,-37.7436,9.182e-85,8
-36.158,-37.7336,9.182e-85,8
-36.148,-37.7236,9.182e-85,8
-36.138,-37.7136,9.182e-85,8
-36.128,-37.7036,9.182e-85,8
-36.118,-37.6936,9.182e-85,8
-36.108,-37.6836,9.182e-85,8
-36.098,-37.6736,9.182e-85,8
-36.088,-37.6636,9.182e-85,8
-36.078,-37.6536,9.182e-85,8
-36.068,-37.6436,9.182e-85,8
-36.058,-37.6336,9.182e-85,8
-36.048,-37.6236,9.182e-85,8
-36.038,-37.6136,9.182e-85,8
-36.028,-37.6036,9.182e-85,8
-36.018,-37.5936,9.182e-85,8
-36.008,-37.5836,9.182e-85,8
-35.998,-37.5736,9.182e-85,8
-35.988,-37.5636,9.182e-85,8
-35.978,-37.5536,9.182e-85,8
-35.968,-37.5436,9.182e-85,8
-35.958,-37.5336,9.182e-85,8
-35.948,-37.5236,9.182e-85,8
-35.938,-37.5136,9.182e-85,8
-35.928,-37.5036,9.182e-85,8
-35.918,-37.4936,9.182e-85,8
-35.908,-37.4836,9.182e-85,8
-35.898,-37.4736,9.182e-85,8
-35.888,-37.4636,9.182e-85,8
-35.878,-37.4536,9.182e-85,8
-35.868,-37.4436,9.182e-85,8
-35.858,-37.4336,9.182e-85,8
-35.848,-37.4236,9.182e-85,8
-35.838,-37.4136,9.182e-85,8
-35.828,-37.4036,9.182e-85,8
-35.818,-37.3936,9.182e-85,8
-35.808,-37.3836,9.182e-85,8
-35.798,-37.3736,9.182e-85,8
-35.788,-37.3636,9.182e-85,8
-35.778,-37.3536,9.182e-85,8
-35.768,-37.3436,9.182e-85,8
-35.758,-37.3336,9.182e-85,8
-35.748,-37.3236,9.182e-85,8
-35.738,-37.3136,9.182e-85,8
-35.728,-37.3036,9.182e-85,8
-35.718,-37.2936,9.182e-85,8
-35.708,-37.2836,9.182e-85,8
-35.698,-37.2736,9.182e-85,8
-35.688,-37.2636,9.182e-85,8
-35.678,-37.2536,9.182e-85,8
-35.668,-37.2436,9.182e-85,8
-35.658,-37.2336,9.182e-85,8
-35.648,-37.2236,9.182e-85,8
-35.638,-37.2136,9.182e-85,8
-35.628,-37.2036,9.182e-85,8
-35.618,-37.1936,9.182e-85,8
-35.608,-37.1836,9.182e-85,8
-35.598,-37.1736,9.182e-85,8
-35.588,-37.1636,9.182e-85,8
-35.578,-37.1536,9.182e-85,8
-35.568,-37.1436,9.182e-85,8
-35.558,-37.1336,9.182e-85,8
-35.548,-37.1236,9.182e-85,8
-35.538,-37.1136,9.182e-85,8
-35.528,-37.1036,9.182e-85,8
-35.518,-37.0936,9.182e-85,8
-35.508,-37.0836,9.182e-85,8
-35.498,-37.0736,9.182e-85,8
