# nd2s3_mp-438 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 10.881 eV. Gap is the fixed-occ nscf value (-0.021 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Nd_d,Nd_f,Nd_p,Nd_s,S_p,S_s
-21.428,-32.3088,0,0,0,0,0,0
-21.418,-32.2988,0,0,0,0,0,0
-21.408,-32.2888,0,0,0,0,0,0
-21.398,-32.2788,0,0,0,0,0,0
-21.388,-32.2688,0,0,0,0,0,0
-21.378,-32.2588,0,0,0,0,0,0
-21.368,-32.2488,0,0,0,0,0,0
-21.358,-32.2388,0,0,0,0,0,0
-21.348,-32.2288,0,0,0,0,0,0
-21.338,-32.2188,0,0,0,0,0,0
-21.328,-32.2088,0,0,0,0,0,0
-21.318,-32.1988,0,0,0,0,0,0
-21.308,-32.1888,0,0,0,0,0,0
-21.298,-32.1788,0,0,0,0,0,0
-21.288,-32.1688,0,0,0,0,0,0
-21.278,-32.1588,0,0,0,0,0,0
-21.268,-32.1488,0,0,0,0,0,0
-21.258,-32.1388,0,0,0,0,0,0
-21.248,-32.1288,0,0,0,0,0,0
-21.238,-32.1188,0,0,0,0,0,0
-21.228,-32.1088,0,0,0,0,0,0
-21.218,-32.0988,0,0,0,0,0,0
-21.208,-32.0888,0,0,0,0,0,0
-21.198,-32.0788,0,0,0,0,0,0
-21.188,-32.0688,0,0,0,0,0,0
-21.178,-32.0588,0,0,0,0,0,0
-21.168,-32.0488,0,0,0,0,0,0
-21.158,-32.0388,0,0,0,0,0,0
-21.148,-32.0288,0,0,0,0,0,0
-21.138,-32.0188,0,0,0,0,0,0
-21.128,-32.0088,0,0,0,0,0,0
-21.118,-31.9988,0,0,0,0,0,0
-21.108,-31.9888,0,0,0,0,0,0
-21.098,-31.9788,0,0,0,0,0,0
-21.088,-31.9688,0,0,0,0,0,0
-21.078,-31.9588,0,0,0,0,0,0
-21.068,-31.9488,0,0,0,0,0,0
-21.058,-31.9388,0,0,0,0,0,0
-21.048,-31.9288,0,0,0,0,0,0
-21.038,-31.9188,0,0,0,0,0,0
-21.028,-31.9088,0,0,0,0,0,0
-21.018,-31.8988,0,0,0,0,0,0
-21.008,-31.8888,0,0,0,0,0,0
-20.998,-31.8788,0,0,0,0,0,0
-20.988,-31.8688,0,0,0,0,0,0
-20.978,-31.8588,0,0,0,0,0,0
-20.968,-31.8488,0,0,0,0,0,0
-20.958,-31.8388,0,0,0,0,0,0
-20.948,-31.8288,0,0,0,0,0,0
-20.938,-31.8188,0,0,0,0,0,0
-20.928,-31.8088,0,0,0,0,0,0
-20.918,-31.7988,0,0,0,0,0,0
-20.908,-31.7888,0,0,0,0,0,0
-20.898,-31.7788,0,0,0,0,0,0
-20.888,-31.7688,0,0,0,0,0,0
-20.878,-31.7588,0,0,0,0,0,0
-20.868,-31.7488,0,0,0,0,0,0
-20.858,-31.7388,0,0,0,0,0,0
-20.848,-31.7288,0,0,0,0,0,0
-20.838,-31.7188,0,0,0,0,0,0
-20.828,-31.7088,0,0,0,0,0,0
-20.818,-31.6988,0,0,0,0,0,0
-20.808,-31.6888,0,0,0,0,0,0
-20.798,-31.6788,0,0,0,0,0,0
-20.788,-31.6688,0,0,0,0,0,0
-20.778,-31.6588,0,0,0,0,0,0
-20.768,-31.6488,0,0,0,0,0,0
-20.758,-31.6388,0,0,0,0,0,0
-20.748,-31.6288,0,0,0,0,0,0
-20.738,-31.6188,0,0,0,0,0,0
-20.728,-31.6088,0,0,0,0,0,0
-20.718,-31.5988,0,0,0,0,0,0
-20.708,-31.5888,0,0,0,0,0,0
-20.698,-31.5788,0,0,0,0,0,0
-20.688,-31.5688,0,0,0,0,0,0
-20.678,-31.5588,0,0,0,0,0,0
-20.668,-31.5488,0,0,0,0,0,0
-20.658,-31.5388,0,0,0,0,0,0
-20.648,-31.5288,0,0,0,0,0,0
-20.638,-31.5188,0,0,0,0,0,0
-20.628,-31.5088,0,0,0,0,0,0
-20.618,-31.4988,0,0,0,0,0,0
-20.608,-31.4888,0,0,0,0,0,0
-20.598,-31.4788,0,0,0,0,0,0
-20.588,-31.4688,0,0,0,0,0,0
-20.578,-31.4588,0,0,0,0,0,0
-20.568,-31.4488,0,0,0,0,0,0
-20.558,-31.4388,0,0,0,0,0,0
-20.548,-31.4288,0,0,0,0,0,0
-20.538,-31.4188,0,0,0,0,0,0
-20.528,-31.4088,0,0,0,0,0,0
-20.518,-31.3988,0,0,0,0,0,0
-20.508,-31.3888,0,0,0,0,0,0
-20.498,-31.3788,0,0,0,0,0,0
-20.488,-31.3688,0,0,0,0,0,0
-20.478,-31.3588,0,0,0,0,0,0
-20.468,-31.3488,0,0,0,0,0,0
-20.458,-31.3388,0,0,0,0,0,0
-20.448,-31.3288,0,0,0,0,0,0
-20.438,-31.3188,0,0,0,0,0,0
-20.428,-31.3088,0,0,0,0,0,0
-20.418,-31.2988,0,0,0,0,0,0
-20.408,-31.2888,0,0,0,0,0,0
-20.398,-31.2788,0,0,0,0,0,0
-20.388,-31.2688,0,0,0,0,0,0
-20.378,-31.2588,0,0,0,0,0,0
-20.368,-31.2488,0,0,0,0,0,0
-20.358,-31.2388,0,0,0,0,0,0
-20.348,-31.2288,0,0,0,0,0,0
-20.338,-31.2188,0,0,0,0,0,0
-20.328,-31.2088,0,0,0,0,0,0
-20.318,-31.1988,0,0,0,0,0,0
-20.308,-31.1888,0,0,0,0,0,0
-20.298,-31.1788,0,0,0,0,0,0
-20.288,-31.1688,0,0,0,0,0,0
-20.278,-31.1588,0,0,0,0,0,0
-20.268,-31.1488,0,0,0,0,0,0
-20.258,-31.1388,0,0,0,0,0,0
-20.248,-31.1288,0,0,0,0,0,0
-20.238,-31.1188,0,0,0,0,0,0
-20.228,-31.1088,0,0,0,0,0,0
-20.218,-31.0988,0,0,0,0,0,0
-20.208,-31.0888,0,0,0,0,0,0
-20.198,-31.0788,0,0,0,0,0,0
-20.188,-31.0688,0,0,0,0,0,0
-20.178,-31.0588,0,0,0,0,0,0
-20.168,-31.0488,0,0,0,0,0,0
-20.158,-31.0388,0,0,0,0,0,0
-20.148,-31.0288,0,0,0,0,0,0
-20.138,-31.0188,0,0,0,0,0,0
-20.128,-31.0088,0,0,0,0,0,0
-20.118,-30.9988,0,0,0,0,0,0
-20.108,-30.9888,0,0,0,0,0,0
-20.098,-30.9788,0,0,0,0,0,0
-20.088,-30.9688,0,0,0,0,0,0
-20.078,-30.9588,0,0,0,0,0,0
-20.068,-30.9488,0,0,0,0,0,0
-20.058,-30.9388,0,0,0,0,0,0
-20.048,-30.9288,0,0,0,0,0,0
-20.038,-30.9188,0,0,0,0,0,0
-20.028,-30.9088,0,0,0,0,0,0
-20.018,-30.8988,0,0,0,0,0,0
-20.008,-30.8888,0,0,0,0,0,0
-19.998,-30.8788,0,0,0,0,0,0
-19.988,-30.8688,0,0,0,0,0,0
-19.978,-30.8588,0,0,0,0,0,0
-19.968,-30.8488,0,0,0,0,0,0
-19.958,-30.8388,0,0,0,0,0,0
-19.948,-30.8288,0,0,0,0,0,0
-19.938,-30.8188,0,0,0,0,0,0
-19.928,-30.8088,0,0,0,0,0,0
-19.918,-30.7988,0,0,0,0,0,0
-19.908,-30.7888,0,0,0,0,0,0
-19.898,-30.7788,0,0,0,0,0,0
-19.888,-30.7688,0,0,0,0,0,0
-19.878,-30.7588,0,0,0,0,0,0
-19.868,-30.7488,0,0,0,0,0,0
-19.858,-30.7388,0,0,0,0,0,0
-19.848,-30.7288,0,0,0,0,0,0
-19.838,-30.7188,0,0,0,0,0,0
-19.828,-30.7088,0,0,0,0,0,0
-19.818,-30.6988,0,0,0,0,0,0
-19.808,-30.6888,0,0,0,0,0,0
-19.798,-30.6788,0,0,0,0,0,0
-19.788,-30.6688,0,0,0,0,0,0
-19.778,-30.6588,0,0,0,0,0,0
-19.768,-30.6488,0,0,0,0,0,0
-19.758,-30.6388,0,0,0,0,0,0
-19.748,-30.6288,0,0,0,0,0,0
-19.738,-30.6188,0,0,0,0,0,0
-19.728,-30.6088,0,0,0,0,0,0
-19.718,-30.5988,0,0,0,0,0,0
-19.708,-30.5888,0,0,0,0,0,0
-19.698,-30.5788,0,0,0,0,0,0
-19.688,-30.5688,0,0,0,0,0,0
-19.678,-30.5588,0,0,0,0,0,0
-19.668,-30.5488,0,0,0,0,0,0
-19.658,-30.5388,0,0,0,0,0,0
-19.648,-30.5288,0,0,0,0,0,0
-19.638,-30.5188,0,0,0,0,0,0
-19.628,-30.5088,0,0,0,0,0,0
-19.618,-30.4988,0,0,0,0,0,0
-19.608,-30.4888,0,0,0,0,0,0
-19.598,-30.4788,0,0,0,0,0,0
-19.588,-30.4688,0,0,0,0,0,0
-19.578,-30.4588,0,0,0,0,0,0
-19.568,-30.4488,0,0,0,0,0,0
-19.558,-30.4388,0,0,0,0,0,0
-19.548,-30.4288,0,0,0,0,0,0
-19.538,-30.4188,0,0,0,0,0,0
-19.528,-30.4088,0,0,0,0,0,0
-19.518,-30.3988,0,0,0,0,0,0
-19.508,-30.3888,0,0,0,0,0,0
-19.498,-30.3788,0,0,0,0,0,0
-19.488,-30.3688,0,0,0,0,0,0
-19.478,-30.3588,0,0,0,0,0,0
-19.468,-30.3488,0,0,0,0,0,0
-19.458,-30.3388,0,0,0,0,0,0
-19.448,-30.3288,0,0,0,0,0,0
-19.438,-30.3188,0,0,0,0,0,0
-19.428,-30.3088,0,0,0,0,0,0
-19.418,-30.2988,0,0,0,0,0,0
-19.408,-30.2888,0,0,0,0,0,0
-19.398,-30.2788,0,0,0,0,0,0
-19.388,-30.2688,0,0,0,0,0,0
-19.378,-30.2588,0,0,0,0,0,0
-19.368,-30.2488,0,0,0,0,0,0
-19.358,-30.2388,0,0,0,0,0,0
-19.348,-30.2288,0,0,0,0,0,0
-19.338,-30.2188,0,0,0,0,0,0
-19.328,-30.2088,0,0,0,0,0,0
-19.318,-30.1988,0,0,0,0,0,0
-19.308,-30.1888,0,0,0,0,0,0
-19.298,-30.1788,0,0,0,0,0,0
-19.288,-30.1688,0,0,0,0,0,0
-19.278,-30.1588,0,0,0,0,0,0
-19.268,-30.1488,0,0,0,0,0,0
-19.258,-30.1388,0,0,0,0,0,0
-19.248,-30.1288,0,0,0,0,0,0
-19.238,-30.1188,0,0,0,0,0,0
-19.228,-30.1088,0,0,0,0,0,0
-19.218,-30.0988,0,0,0,0,0,0
-19.208,-30.0888,0,0,0,0,0,0
-19.198,-30.0788,0,0,0,0,0,0
-19.188,-30.0688,0,0,0,0,0,0
-19.178,-30.0588,0,0,0,0,0,0
-19.168,-30.0488,0,0,0,0,0,0
-19.158,-30.0388,0,0,0,0,0,0
-19.148,-30.0288,0,0,0,0,0,0
-19.138,-30.0188,0,0,0,0,0,0
-19.128,-30.0088,0,0,0,0,0,0
-19.118,-29.9988,0,0,0,0,0,0
-19.108,-29.9888,0,0,0,0,0,0
-19.098,-29.9788,0,0,0,0,0,0
-19.088,-29.9688,0,0,0,0,0,0
-19.078,-29.9588,0,0,0,0,0,0
-19.068,-29.9488,0,0,0,0,0,0
-19.058,-29.9388,0,0,0,0,0,0
-19.048,-29.9288,0,0,0,0,0,0
-19.038,-29.9188,0,0,0,0,0,0
-19.028,-29.9088,0,0,0,0,0,0
-19.018,-29.8988,0,0,0,0,0,0
-19.008,-29.8888,0,0,0,0,0,0
-18.998,-29.8788,0,0,0,0,0,0
-18.988,-29.8688,0,0,0,0,0,0
-18.978,-29.8588,0,0,0,0,0,0
-18.968,-29.8488,0,0,0,0,0,0
-18.958,-29.8388,0,0,0,0,0,0
-18.948,-29.8288,0,0,0,0,0,0
-18.938,-29.8188,0,0,0,0,0,0
-18.928,-29.8088,0,0,0,0,0,0
-18.918,-29.7988,0,0,0,0,0,0
-18.908,-29.7888,0,0,0,0,0,0
-18.898,-29.7788,0,0,0,0,0,0
-18.888,-29.7688,0,0,0,0,0,0
-18.878,-29.7588,0,0,0,0,0,0
-18.868,-29.7488,0,0,0,0,0,0
-18.858,-29.7388,0,0,0,0,0,0
-18.848,-29.7288,0,0,0,0,0,0
-18.838,-29.7188,0,0,0,0,0,0
-18.828,-29.7088,0,0,0,0,0,0
-18.818,-29.6988,0,0,0,0,0,0
-18.808,-29.6888,0,0,0,0,0,0
-18.798,-29.6788,0,0,0,0,0,0
-18.788,-29.6688,0,0,0,0,0,0
-18.778,-29.6588,0,0,0,0,0,0
-18.768,-29.6488,0,0,0,0,0,0
-18.758,-29.6388,0,0,0,0,0,0
-18.748,-29.6288,0,0,0,0,0,0
-18.738,-29.6188,0,0,0,0,0,0
-18.728,-29.6088,0,0,0,0,0,0
-18.718,-29.5988,0,0,0,0,0,0
-18.708,-29.5888,0,0,0,0,0,0
-18.698,-29.5788,0,0,0,0,0,0
-18.688,-29.5688,0,0,0,0,0,0
-18.678,-29.5588,0,0,0,0,0,0
-18.668,-29.5488,0,0,0,0,0,0
-18.658,-29.5388,0,0,0,0,0,0
-18.648,-29.5288,0,0,0,0,0,0
-18.638,-29.5188,0,0,0,0,0,0
-18.628,-29.5088,0,0,0,0,0,0
-18.618,-29.4988,0,0,0,0,0,0
-18.608,-29.4888,0,0,0,0,0,0
-18.598,-29.4788,0,0,0,0,0,0
-18.588,-29.4688,0,0,0,0,0,0
-18.578,-29.4588,0,0,0,0,0,0
-18.568,-29.4488,0,0,0,0,0,0
-18.558,-29.4388,0,0,0,0,0,0
-18.548,-29.4288,0,0,0,0,0,0
-18.538,-29.4188,0,0,0,0,0,0
-18.528,-29.4088,0,0,0,0,0,0
-18.518,-29.3988,0,0,0,0,0,0
-18.508,-29.3888,0,0,0,0,0,0
-18.498,-29.3788,0,0,0,0,0,0
-18.488,-29.3688,0,0,0,0,0,0
-18.478,-29.3588,0,0,0,0,0,0
-18.468,-29.3488,0,0,0,0,0,0
-18.458,-29.3388,0,0,0,0,0,0
-18.448,-29.3288,0,0,0,0,0,0
-18.438,-29.3188,0,0,0,0,0,0
-18.428,-29.3088,0,0,0,0,0,0
-18.418,-29.2988,0,0,0,0,0,0
-18.408,-29.2888,0,0,0,0,0,0
-18.398,-29.2788,0,0,0,0,0,0
-18.388,-29.2688,0,0,0,0,0,0
-18.378,-29.2588,0,0,0,0,0,0
-18.368,-29.2488,0,0,0,0,0,0
-18.358,-29.2388,0,0,0,0,0,0
-18.348,-29.2288,0,0,0,0,0,0
-18.338,-29.2188,0,0,0,0,0,0
-18.328,-29.2088,0,0,0,0,0,0
-18.318,-29.1988,0,0,0,0,0,0
-18.308,-29.1888,0,0,0,0,0,0
-18.298,-29.1788,0,0,0,0,0,0
-18.288,-29.1688,0,0,0,0,0,0
-18.278,-29.1588,0,0,0,0,0,0
-18.268,-29.1488,0,0,0,0,0,0
-18.258,-29.1388,0,0,0,0,0,0
-18.248,-29.1288,0,0,0,0,0,0
-18.238,-29.1188,0,0,0,0,0,0
-18.228,-29.1088,0,0,0,0,0,0
-18.218,-29.0988,0,0,0,0,0,0
-18.208,-29.0888,0,0,0,0,0,0
-18.198,-29.0788,0,0,0,0,0,0
-18.188,-29.0688,0,0,0,0,0,0
-18.178,-29.0588,0,0,0,0,0,0
-18.168,-29.0488,0,0,0,0,0,0
-18.158,-29.0388,0,0,0,0,0,0
-18.148,-29.0288,0,0,0,0,0,0
-18.138,-29.0188,0,0,0,0,0,0
-18.128,-29.0088,0,0,0,0,0,0
-18.118,-28.9988,0,0,0,0,0,0
-18.108,-28.9888,0,0,0,0,0,0
-18.098,-28.9788,0,0,0,0,0,0
-18.088,-28.9688,0,0,0,0,0,0
-18.078,-28.9588,0,0,0,0,0,0
-18.068,-28.9488,0,0,0,0,0,0
-18.058,-28.9388,0,0,0,0,0,0
-18.048,-28.9288,0,0,0,0,0,0
-18.038,-28.9188,0,0,0,0,0,0
-18.028,-28.9088,0,0,0,0,0,0
-18.018,-28.8988,0,0,0,0,0,0
-18.008,-28.8888,0,0,0,0,0,0
-17.998,-28.8788,0,0,0,0,0,0
-17.988,-28.8688,0,0,0,0,0,0
-17.978,-28.8588,0,0,0,0,0,0
-17.968,-28.8488,0,0,0,0,0,0
-17.958,-28.8388,0,0,0,0,0,0
-17.948,-28.8288,0,0,0,0,0,0
-17.938,-28.8188,0,0,0,0,0,0
-17.928,-28.8088,0,0,0,0,0,0
-17.918,-28.7988,0,0,0,0,0,0
-17.908,-28.7888,0,0,0,0,0,0
-17.898,-28.7788,0,0,0,0,0,0
-17.888,-28.7688,0,0,0,0,0,0
-17.878,-28.7588,0,0,0,0,0,0
-17.868,-28.7488,0,0,0,0,0,0
-17.858,-28.7388,0,0,0,0,0,0
-17.848,-28.7288,0,0,0,0,0,0
-17.838,-28.7188,0,0,0,0,0,0
-17.828,-28.7088,0,0,0,0,0,0
-17.818,-28.6988,0,0,0,0,0,0
-17.808,-28.6888,0,0,0,0,0,0
-17.798,-28.6788,0,0,0,0,0,0
-17.788,-28.6688,0,0,0,0,0,0
-17.778,-28.6588,0,0,0,0,0,0
-17.768,-28.6488,0,0,0,0,0,0
-17.758,-28.6388,0,0,0,0,0,0
-17.748,-28.6288,0,0,0,0,0,0
-17.738,-28.6188,0,0,0,0,0,0
-17.728,-28.6088,0,0,0,0,0,0
-17.718,-28.5988,0,0,0,0,0,0
-17.708,-28.5888,0,0,0,0,0,0
-17.698,-28.5788,0,0,0,0,0,0
-17.688,-28.5688,0,0,0,0,0,0
-17.678,-28.5588,0,0,0,0,0,0
-17.668,-28.5488,0,0,0,0,0,0
-17.658,-28.5388,0,0,0,0,0,0
-17.648,-28.5288,0,0,0,0,0,0
-17.638,-28.5188,0,0,0,0,0,0
-17.628,-28.5088,0,0,0,0,0,0
-17.618,-28.4988,0,0,0,0,0,0
-17.608,-28.4888,0,0,0,0,0,0
-17.598,-28.4788,0,0,0,0,0,0
-17.588,-28.4688,0,0,0,0,0,0
-17.578,-28.4588,0,0,0,0,0,0
-17.568,-28.4488,0,0,0,0,0,0
-17.558,-28.4388,0,0,0,0,0,0
-17.548,-28.4288,0,0,0,0,0,0
-17.538,-28.4188,0,0,0,0,0,0
-17.528,-28.4088,0,0,0,0,0,0
-17.518,-28.3988,0,0,0,0,0,0
-17.508,-28.3888,0,0,0,0,0,0
-17.498,-28.3788,0,0,0,0,0,0
-17.488,-28.3688,0,0,0,0,0,0
-17.478,-28.3588,0,0,0,0,0,0
-17.468,-28.3488,0,0,0,0,0,0
-17.458,-28.3388,0,0,0,0,0,0
-17.448,-28.3288,0,0,0,0,0,0
-17.438,-28.3188,0,0,0,0,0,0
-17.428,-28.3088,0,0,0,0,0,0
-17.418,-28.2988,0,0,0,0,0,0
-17.408,-28.2888,0,0,0,0,0,0
-17.398,-28.2788,0,0,0,0,0,0
-17.388,-28.2688,0,0,0,0,0,0
-17.378,-28.2588,0,0,0,0,0,0
-17.368,-28.2488,0,0,0,0,0,0
-17.358,-28.2388,0,0,0,0,0,0
-17.348,-28.2288,0,0,0,0,0,0
-17.338,-28.2188,0,0,0,0,0,0
-17.328,-28.2088,0,0,0,0,0,0
-17.318,-28.1988,0,0,0,0,0,0
-17.308,-28.1888,0,0,0,0,0,0
-17.298,-28.1788,0,0,0,0,0,0
-17.288,-28.1688,0,0,0,0,0,0
-17.278,-28.1588,0,0,0,0,0,0
-17.268,-28.1488,0,0,0,0,0,0
-17.258,-28.1388,0,0,0,0,0,0
-17.248,-28.1288,0,0,0,0,0,0
-17.238,-28.1188,0,0,0,0,0,0
-17.228,-28.1088,0,0,0,0,0,0
-17.218,-28.0988,0,0,0,0,0,0
-17.208,-28.0888,0,0,0,0,0,0
-17.198,-28.0788,0,0,0,0,0,0
-17.188,-28.0688,0,0,0,0,0,0
-17.178,-28.0588,0,0,0,0,0,0
-17.168,-28.0488,0,0,0,0,0,0
-17.158,-28.0388,0,0,0,0,0,0
-17.148,-28.0288,0,0,0,0,0,0
-17.138,-28.0188,0,0,0,0,0,0
-17.128,-28.0088,0,0,0,0,0,0
-17.118,-27.9988,0,0,0,0,0,0
-17.108,-27.9888,0,0,0,0,0,0
-17.098,-27.9788,0,0,0,0,0,0
-17.088,-27.9688,0,0,0,0,0,0
-17.078,-27.9588,0,0,0,0,0,0
-17.068,-27.9488,0,0,0,0,0,0
-17.058,-27.9388,0,0,0,0,0,0
-17.048,-27.9288,0,0,0,0,0,0
-17.038,-27.9188,0,0,0,0,0,0
-17.028,-27.9088,0,0,0,0,0,0
-17.018,-27.8988,0,0,0,0,0,0
-17.008,-27.8888,0,0,0,0,0,0
-16.998,-27.8788,0,0,0,0,0,0
-16.988,-27.8688,0,0,0,0,0,0
-16.978,-27.8588,0,0,0,0,0,0
-16.968,-27.8488,0,0,0,0,0,0
-16.958,-27.8388,0,0,0,0,0,0
-16.948,-27.8288,0,0,0,0,0,0
-16.938,-27.8188,0,0,0,0,0,0
-16.928,-27.8088,0,0,0,0,0,0
-16.918,-27.7988,0,0,0,0,0,0
-16.908,-27.7888,0,0,0,0,0,0
-16.898,-27.7788,0,0,0,0,0,0
-16.888,-27.7688,0,0,0,0,0,0
-16.878,-27.7588,0,0,0,0,0,0
-16.868,-27.7488,0,0,0,0,0,0
-16.858,-27.7388,0,0,0,0,0,0
-16.848,-27.7288,0,0,0,0,0,0
-16.838,-27.7188,0,0,0,0,0,0
-16.828,-27.7088,0,0,0,0,0,0
-16.818,-27.6988,0,0,0,0,0,0
-16.808,-27.6888,0,0,0,0,0,0
-16.798,-27.6788,0,0,0,0,0,0
-16.788,-27.6688,0,0,0,0,0,0
-16.778,-27.6588,0,0,0,0,0,0
-16.768,-27.6488,0,0,0,0,0,0
-16.758,-27.6388,0,0,0,0,0,0
-16.748,-27.6288,0,0,0,0,0,0
-16.738,-27.6188,0,0,0,0,0,0
-16.728,-27.6088,0,0,0,0,0,0
-16.718,-27.5988,0,0,0,0,0,0
-16.708,-27.5888,0,0,0,0,0,0
-16.698,-27.5788,0,0,0,0,0,0
-16.688,-27.5688,0,0,0,0,0,0
-16.678,-27.5588,0,0,0,0,0,0
-16.668,-27.5488,0,0,0,0,0,0
-16.658,-27.5388,0,0,0,0,0,0
-16.648,-27.5288,0,0,0,0,0,0
-16.638,-27.5188,0,0,0,0,0,0
-16.628,-27.5088,0,0,0,0,0,0
-16.618,-27.4988,0,0,0,0,0,0
-16.608,-27.4888,0,0,0,0,0,0
-16.598,-27.4788,0,0,0,0,0,0
-16.588,-27.4688,0,0,0,0,0,0
-16.578,-27.4588,0,0,0,0,0,0
-16.568,-27.4488,0,0,0,0,0,0
-16.558,-27.4388,0,0,0,0,0,0
-16.548,-27.4288,0,0,0,0,0,0
-16.538,-27.4188,0,0,0,0,0,0
-16.528,-27.4088,0,0,0,0,0,0
-16.518,-27.3988,0,0,0,0,0,0
-16.508,-27.3888,0,0,0,0,0,0
-16.498,-27.3788,0,0,0,0,0,0
-16.488,-27.3688,0,0,0,0,0,0
-16.478,-27.3588,0,0,0,0,0,0
-16.468,-27.3488,0,0,0,0,0,0
-16.458,-27.3388,0,0,0,0,0,0
-16.448,-27.3288,0,0,0,0,0,0
-16.438,-27.3188,0,0,0,0,0,0
-16.428,-27.3088,0,0,0,0,0,0
-16.418,-27.2988,0,0,0,0,0,0
-16.408,-27.2888,0,0,0,0,0,0
-16.398,-27.2788,0,0,0,0,0,0
-16.388,-27.2688,0,0,0,0,0,0
-16.378,-27.2588,0,0,0,0,0,0
-16.368,-27.2488,0,0,0,0,0,0
-16.358,-27.2388,0,0,0,0,0,0
-16.348,-27.2288,0,0,0,0,0,0
-16.338,-27.2188,0,0,0,0,0,0
-16.328,-27.2088,0,0,0,0,0,0
-16.318,-27.1988,0,0,0,0,0,0
-16.308,-27.1888,0,0,0,0,0,0
-16.298,-27.1788,0,0,0,0,0,0
-16.288,-27.1688,0,0,0,0,0,0
-16.278,-27.1588,0,0,0,0,0,0
-16.268,-27.1488,0,0,0,0,0,0
-16.258,-27.1388,0,0,0,0,0,0
-16.248,-27.1288,0,0,0,0,0,0
-16.238,-27.1188,0,0,0,0,0,0
-16.228,-27.1088,0,0,0,0,0,0
-16.218,-27.0988,0,0,0,0,0,0
-16.208,-27.0888,0,0,0,0,0,0
-16.198,-27.0788,0,0,0,0,0,0
-16.188,-27.0688,0,0,0,0,0,0
-16.178,-27.0588,0,0,0,0,0,0
-16.168,-27.0488,0,0,0,0,0,0
-16.158,-27.0388,0,0,0,0,0,0
-16.148,-27.0288,0,0,0,0,0,0
-16.138,-27.0188,0,0,0,0,0,0
-16.128,-27.0088,0,0,0,0,0,0
-16.118,-26.9988,0,0,0,0,0,0
-16.108,-26.9888,0,0,0,0,0,0
-16.098,-26.9788,0,0,0,0,0,0
-16.088,-26.9688,0,0,0,0,0,0
-16.078,-26.9588,0,0,0,0,0,0
-16.068,-26.9488,0,0,0,0,0,0
-16.058,-26.9388,0,0,0,0,0,0
-16.048,-26.9288,0,0,0,0,0,0
-16.038,-26.9188,0,0,0,0,0,0
-16.028,-26.9088,0,0,0,0,0,0
-16.018,-26.8988,0,0,0,0,0,0
-16.008,-26.8888,0,0,0,0,0,0
-15.998,-26.8788,0,0,0,0,0,0
-15.988,-26.8688,0,0,0,0,0,0
-15.978,-26.8588,0,0,0,0,0,0
-15.968,-26.8488,0,0,0,0,0,0
-15.958,-26.8388,0,0,0,0,0,0
-15.948,-26.8288,0,0,0,0,0,0
-15.938,-26.8188,0,0,0,0,0,0
-15.928,-26.8088,0,0,0,0,0,0
-15.918,-26.7988,0,0,0,0,0,0
-15.908,-26.7888,0,0,0,0,0,0
-15.898,-26.7788,0,0,0,0,0,0
-15.888,-26.7688,0,0,0,0,0,0
-15.878,-26.7588,0,0,0,0,0,0
-15.868,-26.7488,0,0,0,0,0,0
-15.858,-26.7388,0,0,0,0,0,0
-15.848,-26.7288,0,0,0,0,0,0
-15.838,-26.7188,0,0,0,0,0,0
-15.828,-26.7088,0,0,0,0,0,0
-15.818,-26.6988,0,0,0,0,0,0
-15.808,-26.6888,0,0,0,0,0,0
-15.798,-26.6788,0,0,0,0,0,0
-15.788,-26.6688,0,0,0,0,0,0
-15.778,-26.6588,0,0,0,0,0,0
-15.768,-26.6488,0,0,0,0,0,0
-15.758,-26.6388,0,0,0,0,0,0
-15.748,-26.6288,0,0,0,0,0,0
-15.738,-26.6188,0,0,0,0,0,0
-15.728,-26.6088,0,0,0,0,0,0
-15.718,-26.5988,0,0,0,0,0,0
-15.708,-26.5888,0,0,0,0,0,0
-15.698,-26.5788,0,0,0,0,0,0
-15.688,-26.5688,0,0,0,0,0,0
-15.678,-26.5588,0,0,0,0,0,0
-15.668,-26.5488,0,0,0,0,0,0
-15.658,-26.5388,0,0,0,0,0,0
-15.648,-26.5288,0,0,0,0,0,0
-15.638,-26.5188,0,0,0,0,0,0
-15.628,-26.5088,0,0,0,0,0,0
-15.618,-26.4988,0,0,0,0,0,0
-15.608,-26.4888,0,0,0,0,0,0
-15.598,-26.4788,0,0,0,0,0,0
-15.588,-26.4688,0,0,0,0,0,0
-15.578,-26.4588,0,0,0,0,0,0
-15.568,-26.4488,0,0,0,0,0,0
-15.558,-26.4388,0,0,0,0,0,0
-15.548,-26.4288,0,0,0,0,0,0
-15.538,-26.4188,0,0,0,0,0,0
-15.528,-26.4088,0,0,0,0,0,0
-15.518,-26.3988,0,0,0,0,0,0
-15.508,-26.3888,0,0,0,0,0,0
-15.498,-26.3788,0,0,0,0,0,0
-15.488,-26.3688,0,0,0,0,0,0
-15.478,-26.3588,0,0,0,0,0,0
-15.468,-26.3488,0,0,0,0,0,0
-15.458,-26.3388,0,0,0,0,0,0
-15.448,-26.3288,0,0,0,0,0,0
-15.438,-26.3188,0,0,0,0,0,0
-15.428,-26.3088,0,0,0,0,0,0
-15.418,-26.2988,0,0,0,0,0,0
