# li2s_mp-1153 total DOS (QE dos.x, degauss 0.007 Ry). VBM 2.243 / CBM 5.681 / gap 3.438 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-38.15,-40.3934,2.623e-85,4
-38.14,-40.3834,2.623e-85,4
-38.13,-40.3734,2.623e-85,4
-38.12,-40.3634,2.623e-85,4
-38.11,-40.3534,2.623e-85,4
-38.1,-40.3434,2.623e-85,4
-38.09,-40.3334,2.623e-85,4
-38.08,-40.3234,2.623e-85,4
-38.07,-40.3134,2.623e-85,4
-38.06,-40.3034,2.623e-85,4
-38.05,-40.2934,2.623e-85,4
-38.04,-40.2834,2.623e-85,4
-38.03,-40.2734,2.623e-85,4
-38.02,-40.2634,2.623e-85,4
-38.01,-40.2534,2.623e-85,4
-38,-40.2434,2.623e-85,4
-37.99,-40.2334,2.623e-85,4
-37.98,-40.2234,2.623e-85,4
-37.97,-40.2134,2.623e-85,4
-37.96,-40.2034,2.623e-85,4
-37.95,-40.1934,2.623e-85,4
-37.94,-40.1834,2.623e-85,4
-37.93,-40.1734,2.623e-85,4
-37.92,-40.1634,2.623e-85,4
-37.91,-40.1534,2.623e-85,4
-37.9,-40.1434,2.623e-85,4
-37.89,-40.1334,2.623e-85,4
-37.88,-40.1234,2.623e-85,4
-37.87,-40.1134,2.623e-85,4
-37.86,-40.1034,2.623e-85,4
-37.85,-40.0934,2.623e-85,4
-37.84,-40.0834,2.623e-85,4
-37.83,-40.0734,2.623e-85,4
-37.82,-40.0634,2.623e-85,4
-37.81,-40.0534,2.623e-85,4
-37.8,-40.0434,2.623e-85,4
-37.79,-40.0334,2.623e-85,4
-37.78,-40.0234,2.623e-85,4
-37.77,-40.0134,2.623e-85,4
-37.76,-40.0034,2.623e-85,4
-37.75,-39.9934,2.623e-85,4
-37.74,-39.9834,2.623e-85,4
-37.73,-39.9734,2.623e-85,4
-37.72,-39.9634,2.623e-85,4
-37.71,-39.9534,2.623e-85,4
-37.7,-39.9434,2.623e-85,4
-37.69,-39.9334,2.623e-85,4
-37.68,-39.9234,2.623e-85,4
-37.67,-39.9134,2.623e-85,4
-37.66,-39.9034,2.623e-85,4
-37.65,-39.8934,2.623e-85,4
-37.64,-39.8834,2.623e-85,4
-37.63,-39.8734,2.623e-85,4
-37.62,-39.8634,2.623e-85,4
-37.61,-39.8534,2.623e-85,4
-37.6,-39.8434,2.623e-85,4
-37.59,-39.8334,2.623e-85,4
-37.58,-39.8234,2.623e-85,4
-37.57,-39.8134,2.623e-85,4
-37.56,-39.8034,2.623e-85,4
-37.55,-39.7934,2.623e-85,4
-37.54,-39.7834,2.623e-85,4
-37.53,-39.7734,2.623e-85,4
-37.52,-39.7634,2.623e-85,4
-37.51,-39.7534,2.623e-85,4
-37.5,-39.7434,2.623e-85,4
-37.49,-39.7334,2.623e-85,4
-37.48,-39.7234,2.623e-85,4
-37.47,-39.7134,2.623e-85,4
-37.46,-39.7034,2.623e-85,4
-37.45,-39.6934,2.623e-85,4
-37.44,-39.6834,2.623e-85,4
-37.43,-39.6734,2.623e-85,4
-37.42,-39.6634,2.623e-85,4
-37.41,-39.6534,2.623e-85,4
-37.4,-39.6434,2.623e-85,4
-37.39,-39.6334,2.623e-85,4
-37.38,-39.6234,2.623e-85,4
-37.37,-39.6134,2.623e-85,4
-37.36,-39.6034,2.623e-85,4
-37.35,-39.5934,2.623e-85,4
-37.34,-39.5834,2.623e-85,4
-37.33,-39.5734,2.623e-85,4
-37.32,-39.5634,2.623e-85,4
-37.31,-39.5534,2.623e-85,4
-37.3,-39.5434,2.623e-85,4
-37.29,-39.5334,2.623e-85,4
-37.28,-39.5234,2.623e-85,4
-37.27,-39.5134,2.623e-85,4
-37.26,-39.5034,2.623e-85,4
-37.25,-39.4934,2.623e-85,4
-37.24,-39.4834,2.623e-85,4
-37.23,-39.4734,2.623e-85,4
-37.22,-39.4634,2.623e-85,4
-37.21,-39.4534,2.623e-85,4
-37.2,-39.4434,2.623e-85,4
-37.19,-39.4334,2.623e-85,4
-37.18,-39.4234,2.623e-85,4
-37.17,-39.4134,2.623e-85,4
-37.16,-39.4034,2.623e-85,4
-37.15,-39.3934,2.623e-85,4
-37.14,-39.3834,2.623e-85,4
-37.13,-39.3734,2.623e-85,4
-37.12,-39.3634,2.623e-85,4
-37.11,-39.3534,2.623e-85,4
-37.1,-39.3434,2.623e-85,4
-37.09,-39.3334,2.623e-85,4
-37.08,-39.3234,2.623e-85,4
-37.07,-39.3134,2.623e-85,4
-37.06,-39.3034,2.623e-85,4
-37.05,-39.2934,2.623e-85,4
-37.04,-39.2834,2.623e-85,4
-37.03,-39.2734,2.623e-85,4
-37.02,-39.2634,2.623e-85,4
-37.01,-39.2534,2.623e-85,4
-37,-39.2434,2.623e-85,4
-36.99,-39.2334,2.623e-85,4
-36.98,-39.2234,2.623e-85,4
-36.97,-39.2134,2.623e-85,4
-36.96,-39.2034,2.623e-85,4
-36.95,-39.1934,2.623e-85,4
-36.94,-39.1834,2.623e-85,4
-36.93,-39.1734,2.623e-85,4
-36.92,-39.1634,2.623e-85,4
-36.91,-39.1534,2.623e-85,4
-36.9,-39.1434,2.623e-85,4
-36.89,-39.1334,2.623e-85,4
-36.88,-39.1234,2.623e-85,4
-36.87,-39.1134,2.623e-85,4
-36.86,-39.1034,2.623e-85,4
-36.85,-39.0934,2.623e-85,4
-36.84,-39.0834,2.623e-85,4
-36.83,-39.0734,2.623e-85,4
-36.82,-39.0634,2.623e-85,4
-36.81,-39.0534,2.623e-85,4
-36.8,-39.0434,2.623e-85,4
-36.79,-39.0334,2.623e-85,4
-36.78,-39.0234,2.623e-85,4
-36.77,-39.0134,2.623e-85,4
-36.76,-39.0034,2.623e-85,4
-36.75,-38.9934,2.623e-85,4
-36.74,-38.9834,2.623e-85,4
-36.73,-38.9734,2.623e-85,4
-36.72,-38.9634,2.623e-85,4
-36.71,-38.9534,2.623e-85,4
-36.7,-38.9434,2.623e-85,4
-36.69,-38.9334,2.623e-85,4
-36.68,-38.9234,2.623e-85,4
-36.67,-38.9134,2.623e-85,4
-36.66,-38.9034,2.623e-85,4
-36.65,-38.8934,2.623e-85,4
-36.64,-38.8834,2.623e-85,4
-36.63,-38.8734,2.623e-85,4
-36.62,-38.8634,2.623e-85,4
-36.61,-38.8534,2.623e-85,4
-36.6,-38.8434,2.623e-85,4
-36.59,-38.8334,2.623e-85,4
-36.58,-38.8234,2.623e-85,4
-36.57,-38.8134,2.623e-85,4
-36.56,-38.8034,2.623e-85,4
-36.55,-38.7934,2.623e-85,4
-36.54,-38.7834,2.623e-85,4
-36.53,-38.7734,2.623e-85,4
-36.52,-38.7634,2.623e-85,4
-36.51,-38.7534,2.623e-85,4
-36.5,-38.7434,2.623e-85,4
-36.49,-38.7334,2.623e-85,4
-36.48,-38.7234,2.623e-85,4
-36.47,-38.7134,2.623e-85,4
-36.46,-38.7034,2.623e-85,4
-36.45,-38.6934,2.623e-85,4
-36.44,-38.6834,2.623e-85,4
-36.43,-38.6734,2.623e-85,4
-36.42,-38.6634,2.623e-85,4
-36.41,-38.6534,2.623e-85,4
-36.4,-38.6434,2.623e-85,4
-36.39,-38.6334,2.623e-85,4
-36.38,-38.6234,2.623e-85,4
-36.37,-38.6134,2.623e-85,4
