# li3p_mp-736 total DOS (QE dos.x, degauss 0.007 Ry). VBM 3.252 / CBM 3.961 / gap 0.709 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-37.712,-40.9641,4.263e-85,12
-37.702,-40.9541,4.263e-85,12
-37.692,-40.9441,4.263e-85,12
-37.682,-40.9341,4.263e-85,12
-37.672,-40.9241,4.263e-85,12
-37.662,-40.9141,4.263e-85,12
-37.652,-40.9041,4.263e-85,12
-37.642,-40.8941,4.263e-85,12
-37.632,-40.8841,4.263e-85,12
-37.622,-40.8741,4.263e-85,12
-37.612,-40.8641,4.263e-85,12
-37.602,-40.8541,4.263e-85,12
-37.592,-40.8441,4.263e-85,12
-37.582,-40.8341,4.263e-85,12
-37.572,-40.8241,4.263e-85,12
-37.562,-40.8141,4.263e-85,12
-37.552,-40.8041,4.263e-85,12
-37.542,-40.7941,4.263e-85,12
-37.532,-40.7841,4.263e-85,12
-37.522,-40.7741,4.263e-85,12
-37.512,-40.7641,4.263e-85,12
-37.502,-40.7541,4.263e-85,12
-37.492,-40.7441,4.263e-85,12
-37.482,-40.7341,4.263e-85,12
-37.472,-40.7241,4.263e-85,12
-37.462,-40.7141,4.263e-85,12
-37.452,-40.7041,4.263e-85,12
-37.442,-40.6941,4.263e-85,12
-37.432,-40.6841,4.263e-85,12
-37.422,-40.6741,4.263e-85,12
-37.412,-40.6641,4.263e-85,12
-37.402,-40.6541,4.263e-85,12
-37.392,-40.6441,4.263e-85,12
-37.382,-40.6341,4.263e-85,12
-37.372,-40.6241,4.263e-85,12
-37.362,-40.6141,4.263e-85,12
-37.352,-40.6041,4.263e-85,12
-37.342,-40.5941,4.263e-85,12
-37.332,-40.5841,4.263e-85,12
-37.322,-40.5741,4.263e-85,12
-37.312,-40.5641,4.263e-85,12
-37.302,-40.5541,4.263e-85,12
-37.292,-40.5441,4.263e-85,12
-37.282,-40.5341,4.263e-85,12
-37.272,-40.5241,4.263e-85,12
-37.262,-40.5141,4.263e-85,12
-37.252,-40.5041,4.263e-85,12
-37.242,-40.4941,4.263e-85,12
-37.232,-40.4841,4.263e-85,12
-37.222,-40.4741,4.263e-85,12
-37.212,-40.4641,4.263e-85,12
-37.202,-40.4541,4.263e-85,12
-37.192,-40.4441,4.263e-85,12
-37.182,-40.4341,4.263e-85,12
-37.172,-40.4241,4.263e-85,12
-37.162,-40.4141,4.263e-85,12
-37.152,-40.4041,4.263e-85,12
-37.142,-40.3941,4.263e-85,12
-37.132,-40.3841,4.263e-85,12
-37.122,-40.3741,4.263e-85,12
-37.112,-40.3641,4.263e-85,12
-37.102,-40.3541,4.263e-85,12
-37.092,-40.3441,4.263e-85,12
-37.082,-40.3341,4.263e-85,12
-37.072,-40.3241,4.263e-85,12
-37.062,-40.3141,4.263e-85,12
-37.052,-40.3041,4.263e-85,12
-37.042,-40.2941,4.263e-85,12
-37.032,-40.2841,4.263e-85,12
-37.022,-40.2741,4.263e-85,12
-37.012,-40.2641,4.263e-85,12
-37.002,-40.2541,4.263e-85,12
-36.992,-40.2441,4.263e-85,12
-36.982,-40.2341,4.263e-85,12
-36.972,-40.2241,4.263e-85,12
-36.962,-40.2141,4.263e-85,12
-36.952,-40.2041,4.263e-85,12
-36.942,-40.1941,4.263e-85,12
-36.932,-40.1841,4.263e-85,12
-36.922,-40.1741,4.263e-85,12
-36.912,-40.1641,4.263e-85,12
-36.902,-40.1541,4.263e-85,12
-36.892,-40.1441,4.263e-85,12
-36.882,-40.1341,4.263e-85,12
-36.872,-40.1241,4.263e-85,12
-36.862,-40.1141,4.263e-85,12
-36.852,-40.1041,4.263e-85,12
-36.842,-40.0941,4.263e-85,12
-36.832,-40.0841,4.263e-85,12
-36.822,-40.0741,4.263e-85,12
-36.812,-40.0641,4.263e-85,12
-36.802,-40.0541,4.263e-85,12
-36.792,-40.0441,4.263e-85,12
-36.782,-40.0341,4.263e-85,12
-36.772,-40.0241,4.263e-85,12
-36.762,-40.0141,4.263e-85,12
-36.752,-40.0041,4.263e-85,12
-36.742,-39.9941,4.263e-85,12
-36.732,-39.9841,4.263e-85,12
-36.722,-39.9741,4.263e-85,12
-36.712,-39.9641,4.263e-85,12
-36.702,-39.9541,4.263e-85,12
-36.692,-39.9441,4.263e-85,12
-36.682,-39.9341,4.263e-85,12
-36.672,-39.9241,4.263e-85,12
-36.662,-39.9141,4.263e-85,12
-36.652,-39.9041,4.263e-85,12
-36.642,-39.8941,4.263e-85,12
-36.632,-39.8841,4.263e-85,12
-36.622,-39.8741,4.263e-85,12
-36.612,-39.8641,4.263e-85,12
-36.602,-39.8541,4.263e-85,12
-36.592,-39.8441,4.263e-85,12
-36.582,-39.8341,4.263e-85,12
-36.572,-39.8241,4.263e-85,12
-36.562,-39.8141,4.263e-85,12
-36.552,-39.8041,4.263e-85,12
-36.542,-39.7941,4.263e-85,12
-36.532,-39.7841,4.263e-85,12
-36.522,-39.7741,4.263e-85,12
-36.512,-39.7641,4.263e-85,12
-36.502,-39.7541,4.263e-85,12
-36.492,-39.7441,4.263e-85,12
-36.482,-39.7341,4.263e-85,12
-36.472,-39.7241,4.263e-85,12
-36.462,-39.7141,4.263e-85,12
-36.452,-39.7041,4.263e-85,12
-36.442,-39.6941,4.263e-85,12
-36.432,-39.6841,4.263e-85,12
-36.422,-39.6741,4.263e-85,12
-36.412,-39.6641,4.263e-85,12
-36.402,-39.6541,4.263e-85,12
-36.392,-39.6441,4.263e-85,12
-36.382,-39.6341,4.263e-85,12
-36.372,-39.6241,4.263e-85,12
-36.362,-39.6141,4.263e-85,12
-36.352,-39.6041,4.263e-85,12
-36.342,-39.5941,4.263e-85,12
-36.332,-39.5841,4.263e-85,12
-36.322,-39.5741,4.263e-85,12
-36.312,-39.5641,4.263e-85,12
-36.302,-39.5541,4.263e-85,12
-36.292,-39.5441,4.263e-85,12
-36.282,-39.5341,4.263e-85,12
-36.272,-39.5241,4.263e-85,12
-36.262,-39.5141,4.263e-85,12
-36.252,-39.5041,4.263e-85,12
-36.242,-39.4941,4.263e-85,12
-36.232,-39.4841,4.263e-85,12
-36.222,-39.4741,4.263e-85,12
-36.212,-39.4641,4.263e-85,12
-36.202,-39.4541,4.263e-85,12
-36.192,-39.4441,4.263e-85,12
-36.182,-39.4341,4.263e-85,12
-36.172,-39.4241,4.263e-85,12
-36.162,-39.4141,4.263e-85,12
-36.152,-39.4041,4.263e-85,12
-36.142,-39.3941,4.263e-85,12
-36.132,-39.3841,4.263e-85,12
