# li2s_mp-1153 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.243 eV. Gap is the fixed-occ nscf value (3.438 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,S_p,S_s
-36.45,-38.6934,0,0,0,0
-36.44,-38.6834,0,0,0,0
-36.43,-38.6734,0,0,0,0
-36.42,-38.6634,0,0,0,0
-36.41,-38.6534,0,0,0,0
-36.4,-38.6434,0,0,0,0
-36.39,-38.6334,0,0,0,0
-36.38,-38.6234,0,0,0,0
-36.37,-38.6134,0,0,0,0
-36.36,-38.6034,0,0,0,0
-36.35,-38.5934,0,0,0,0
-36.34,-38.5834,0,0,0,0
-36.33,-38.5734,0,0,0,0
-36.32,-38.5634,0,0,0,0
-36.31,-38.5534,0,0,0,0
-36.3,-38.5434,0,0,0,0
-36.29,-38.5334,0,0,0,0
-36.28,-38.5234,0,0,0,0
-36.27,-38.5134,0,0,0,0
-36.26,-38.5034,0,0,0,0
-36.25,-38.4934,0,0,0,0
-36.24,-38.4834,0,0,0,0
-36.23,-38.4734,0,0,0,0
-36.22,-38.4634,0,0,0,0
-36.21,-38.4534,0,0,0,0
-36.2,-38.4434,0,0,0,0
-36.19,-38.4334,0,0,0,0
-36.18,-38.4234,0,0,0,0
-36.17,-38.4134,0,0,0,0
-36.16,-38.4034,0,0,0,0
-36.15,-38.3934,0,0,0,0
-36.14,-38.3834,0,0,0,0
-36.13,-38.3734,0,0,0,0
-36.12,-38.3634,0,0,0,0
-36.11,-38.3534,0,0,0,0
-36.1,-38.3434,0,0,0,0
-36.09,-38.3334,0,0,0,0
-36.08,-38.3234,0,0,0,0
-36.07,-38.3134,0,0,0,0
-36.06,-38.3034,0,0,0,0
-36.05,-38.2934,0,0,0,0
-36.04,-38.2834,0,0,0,0
-36.03,-38.2734,0,0,0,0
-36.02,-38.2634,0,0,0,0
-36.01,-38.2534,0,0,0,0
-36,-38.2434,0,0,0,0
-35.99,-38.2334,0,0,0,0
-35.98,-38.2234,0,0,0,0
-35.97,-38.2134,0,0,0,0
-35.96,-38.2034,0,0,0,0
-35.95,-38.1934,0,0,0,0
-35.94,-38.1834,0,0,0,0
-35.93,-38.1734,0,0,0,0
-35.92,-38.1634,0,0,0,0
-35.91,-38.1534,0,0,0,0
-35.9,-38.1434,0,0,0,0
-35.89,-38.1334,0,0,0,0
-35.88,-38.1234,0,0,0,0
-35.87,-38.1134,0,0,0,0
-35.86,-38.1034,0,0,0,0
-35.85,-38.0934,0,0,0,0
-35.84,-38.0834,0,0,0,0
-35.83,-38.0734,0,0,0,0
-35.82,-38.0634,0,0,0,0
-35.81,-38.0534,0,0,0,0
-35.8,-38.0434,0,0,0,0
-35.79,-38.0334,0,0,0,0
-35.78,-38.0234,0,0,0,0
-35.77,-38.0134,0,0,0,0
-35.76,-38.0034,0,0,0,0
-35.75,-37.9934,0,0,0,0
-35.74,-37.9834,0,0,0,0
-35.73,-37.9734,0,0,0,0
