# li2o_mp-1960 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.795 eV. Gap is the fixed-occ nscf value (4.986 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,O_p,O_s
-16.383,-19.1775,0,0,0,0
-16.373,-19.1675,0,0,0,0
-16.363,-19.1575,0,0,0,0
-16.353,-19.1475,0,0,0,0
-16.343,-19.1375,0,0,0,0
-16.333,-19.1275,0,0,0,0
-16.323,-19.1175,0,0,0,0
-16.313,-19.1075,0,0,0,0
-16.303,-19.0975,0,0,0,0
-16.293,-19.0875,0,0,0,0
-16.283,-19.0775,0,0,0,0
-16.273,-19.0675,0,0,0,0
-16.263,-19.0575,0,0,0,0
-16.253,-19.0475,0,0,0,0
-16.243,-19.0375,0,0,0,0
-16.233,-19.0275,0,0,0,0
-16.223,-19.0175,0,0,0,0
-16.213,-19.0075,0,0,0,0
-16.203,-18.9975,0,0,0,0
-16.193,-18.9875,0,0,0,0
-16.183,-18.9775,0,0,0,0
-16.173,-18.9675,0,0,0,0
-16.163,-18.9575,0,0,0,0
-16.153,-18.9475,0,0,0,0
-16.143,-18.9375,0,0,0,0
-16.133,-18.9275,0,0,0,0
-16.123,-18.9175,0,0,0,0
-16.113,-18.9075,0,0,0,0
-16.103,-18.8975,0,0,0,0
-16.093,-18.8875,0,0,0,0
-16.083,-18.8775,0,0,0,0
-16.073,-18.8675,0,0,0,0
-16.063,-18.8575,0,0,0,0
-16.053,-18.8475,0,0,0,0
-16.043,-18.8375,0,0,0,0
-16.033,-18.8275,0,0,0,0
-16.023,-18.8175,0,0,0,0
-16.013,-18.8075,0,0,0,0
-16.003,-18.7975,0,0,0,0
-15.993,-18.7875,0,0,0,0
-15.983,-18.7775,0,0,0,0
-15.973,-18.7675,0,0,0,0
-15.963,-18.7575,0,0,0,0
-15.953,-18.7475,0,0,0,0
-15.943,-18.7375,0,0,0,0
-15.933,-18.7275,0,0,0,0
-15.923,-18.7175,0,0,0,0
-15.913,-18.7075,0,0,0,0
-15.903,-18.6975,0,0,0,0
-15.893,-18.6875,0,0,0,0
-15.883,-18.6775,0,0,0,0
-15.873,-18.6675,0,0,0,0
-15.863,-18.6575,0,0,0,0
-15.853,-18.6475,0,0,0,0
-15.843,-18.6375,0,0,0,0
-15.833,-18.6275,0,0,0,0
-15.823,-18.6175,0,0,0,0
-15.813,-18.6075,0,0,0,0
-15.803,-18.5975,0,0,0,0
-15.793,-18.5875,0,0,0,0
-15.783,-18.5775,0,0,0,0
-15.773,-18.5675,0,0,0,0
-15.763,-18.5575,0,0,0,0
-15.753,-18.5475,0,0,0,0
-15.743,-18.5375,0,0,0,0
-15.733,-18.5275,0,0,0,0
-15.723,-18.5175,0,0,0,0
-15.713,-18.5075,0,0,0,0
-15.703,-18.4975,0,0,0,0
-15.693,-18.4875,0,0,0,0
-15.683,-18.4775,0,0,0,0
-15.673,-18.4675,0,0,0,0
-15.663,-18.4575,0,0,0,0
-15.653,-18.4475,0,0,0,0
-15.643,-18.4375,0,0,0,0
-15.633,-18.4275,0,0,0,0
-15.623,-18.4175,0,0,0,0
-15.613,-18.4075,0,0,0,0
-15.603,-18.3975,0,0,0,0
-15.593,-18.3875,0,0,0,0
-15.583,-18.3775,0,0,0,0
-15.573,-18.3675,0,0,0,0
-15.563,-18.3575,0,0,0,0
-15.553,-18.3475,0,0,0,0
-15.543,-18.3375,0,0,0,0
-15.533,-18.3275,0,0,0,0
-15.523,-18.3175,0,0,0,0
-15.513,-18.3075,0,0,0,0
-15.503,-18.2975,0,0,0,0
-15.493,-18.2875,0,0,0,0
-15.483,-18.2775,0,0,0,0
-15.473,-18.2675,0,0,0,0
-15.463,-18.2575,0,0,0,0
-15.453,-18.2475,0,0,0,0
-15.443,-18.2375,0,0,0,0
-15.433,-18.2275,0,0,0,0
-15.423,-18.2175,0,0,0,0
-15.413,-18.2075,0,0,0,0
-15.403,-18.1975,0,0,0,0
-15.393,-18.1875,0,0,0,0
-15.383,-18.1775,0,0,0,0
-15.373,-18.1675,0,0,0,0
-15.363,-18.1575,0,0,0,0
-15.353,-18.1475,0,0,0,0
-15.343,-18.1375,0,0,0,0
-15.333,-18.1275,0,0,0,0
-15.323,-18.1175,0,0,0,0
-15.313,-18.1075,0,0,0,0
-15.303,-18.0975,0,0,0,0
-15.293,-18.0875,0,0,0,0
-15.283,-18.0775,0,0,0,0
-15.273,-18.0675,0,0,0,0
-15.263,-18.0575,0,0,0,0
-15.253,-18.0475,0,0,0,0
-15.243,-18.0375,0,0,0,0
-15.233,-18.0275,0,0,0,0
-15.223,-18.0175,0,0,0,0
-15.213,-18.0075,0,0,0,0
-15.203,-17.9975,0,0,0,0
-15.193,-17.9875,0,0,0,0
-15.183,-17.9775,0,0,0,0
-15.173,-17.9675,0,0,0,0
-15.163,-17.9575,0,0,0,0
-15.153,-17.9475,0,0,0,0
-15.143,-17.9375,0,0,0,0
-15.133,-17.9275,0,0,0,0
-15.123,-17.9175,0,0,0,0
-15.113,-17.9075,0,0,0,0
-15.103,-17.8975,0,0,0,0
-15.093,-17.8875,0,0,0,0
-15.083,-17.8775,0,0,0,0
-15.073,-17.8675,0,0,0,0
-15.063,-17.8575,0,0,0,0
-15.053,-17.8475,0,0,0,0
-15.043,-17.8375,0,0,0,0
-15.033,-17.8275,0,0,0,0
-15.023,-17.8175,0,0,0,0
-15.013,-17.8075,0,0,0,0
-15.003,-17.7975,0,0,0,0
-14.993,-17.7875,0,0,0,0
-14.983,-17.7775,0,0,0,0
-14.973,-17.7675,0,0,0,0
-14.963,-17.7575,0,0,0,0
-14.953,-17.7475,0,0,0,0
-14.943,-17.7375,0,0,0,0
-14.933,-17.7275,0,0,0,0
-14.923,-17.7175,0,0,0,0
-14.913,-17.7075,0,0,0,0
-14.903,-17.6975,0,0,0,0
-14.893,-17.6875,0,0,0,0
-14.883,-17.6775,0,0,0,0
-14.873,-17.6675,0,0,0,0
-14.863,-17.6575,0,0,0,0
-14.853,-17.6475,0,0,0,0
-14.843,-17.6375,0,0,0,0
-14.833,-17.6275,0,0,0,0
-14.823,-17.6175,0,0,0,0
-14.813,-17.6075,0,0,0,0
-14.803,-17.5975,0,0,0,0
-14.793,-17.5875,0,0,0,0
-14.783,-17.5775,0,0,0,0
-14.773,-17.5675,0,0,0,0
-14.763,-17.5575,0,0,0,0
-14.753,-17.5475,0,0,0,0
-14.743,-17.5375,0,0,0,0
-14.733,-17.5275,0,0,0,0
-14.723,-17.5175,0,0,0,0
-14.713,-17.5075,0,0,0,0
-14.703,-17.4975,0,0,0,0
-14.693,-17.4875,0,0,0,0
-14.683,-17.4775,0,0,0,0
-14.673,-17.4675,0,0,0,0
-14.663,-17.4575,0,0,0,0
-14.653,-17.4475,0,0,0,0
-14.643,-17.4375,0,0,0,0
-14.633,-17.4275,0,0,0,0
-14.623,-17.4175,0,0,0,0
-14.613,-17.4075,0,0,0,0
-14.603,-17.3975,0,0,0,0
-14.593,-17.3875,0,0,0,0
-14.583,-17.3775,0,0,0,0
-14.573,-17.3675,0,0,0,0
-14.563,-17.3575,0,0,0,0
-14.553,-17.3475,0,0,0,0
-14.543,-17.3375,0,0,0,0
-14.533,-17.3275,0,0,0,0
-14.523,-17.3175,0,0,0,0
-14.513,-17.3075,0,0,0,0
-14.503,-17.2975,0,0,0,0
-14.493,-17.2875,0,0,0,0
-14.483,-17.2775,0,0,0,0
-14.473,-17.2675,0,0,0,0
-14.463,-17.2575,0,0,0,0
-14.453,-17.2475,0,0,0,0
-14.443,-17.2375,0,0,0,0
-14.433,-17.2275,0,0,0,0
-14.423,-17.2175,0,0,0,0
-14.413,-17.2075,0,0,0,0
-14.403,-17.1975,0,0,0,0
-14.393,-17.1875,0,0,0,0
-14.383,-17.1775,0,0,0,0
-14.373,-17.1675,0,0,0,0
-14.363,-17.1575,0,0,0,0
-14.353,-17.1475,0,0,0,0
-14.343,-17.1375,0,0,0,0
-14.333,-17.1275,0,0,0,0
-14.323,-17.1175,0,0,0,0
-14.313,-17.1075,0,0,0,0
-14.303,-17.0975,0,0,0,0
-14.293,-17.0875,0,0,0,0
-14.283,-17.0775,0,0,0,0
-14.273,-17.0675,0,0,0,0
-14.263,-17.0575,0,0,0,0
-14.253,-17.0475,0,0,0,0
-14.243,-17.0375,0,0,0,0
-14.233,-17.0275,0,0,0,0
-14.223,-17.0175,0,0,0,0
-14.213,-17.0075,0,0,0,0
-14.203,-16.9975,0,0,0,0
-14.193,-16.9875,0,0,0,0
-14.183,-16.9775,0,0,0,0
-14.173,-16.9675,0,0,0,0
-14.163,-16.9575,0,0,0,0
-14.153,-16.9475,0,0,0,0
-14.143,-16.9375,0,0,0,0
-14.133,-16.9275,0,0,0,0
-14.123,-16.9175,0,0,0,0
-14.113,-16.9075,0,0,0,0
-14.103,-16.8975,0,0,0,0
-14.093,-16.8875,0,0,0,0
-14.083,-16.8775,0,0,0,0
-14.073,-16.8675,0,0,0,0
-14.063,-16.8575,0,0,0,0
-14.053,-16.8475,0,0,0,0
-14.043,-16.8375,0,0,0,0
-14.033,-16.8275,0,0,0,0
-14.023,-16.8175,0,0,0,0
-14.013,-16.8075,0,0,0,0
-14.003,-16.7975,0,0,0,0
-13.993,-16.7875,0,0,0,0
-13.983,-16.7775,0,0,0,0
-13.973,-16.7675,0,0,0,0
-13.963,-16.7575,0,0,0,0
-13.953,-16.7475,0,0,0,0
-13.943,-16.7375,0,0,0,0
-13.933,-16.7275,0,0,0,0
-13.923,-16.7175,0,0,0,0
-13.913,-16.7075,0,0,0,0
-13.903,-16.6975,0,0,0,0
-13.893,-16.6875,0,0,0,0
-13.883,-16.6775,0,0,0,0
-13.873,-16.6675,0,0,0,0
-13.863,-16.6575,0,0,0,0
-13.853,-16.6475,0,0,0,0
-13.843,-16.6375,0,0,0,0
-13.833,-16.6275,0,0,0,0
-13.823,-16.6175,0,0,0,0
-13.813,-16.6075,0,0,0,0
-13.803,-16.5975,0,0,0,0
-13.793,-16.5875,0,0,0,0
-13.783,-16.5775,0,0,0,0
-13.773,-16.5675,0,0,0,0
-13.763,-16.5575,0,0,0,0
-13.753,-16.5475,0,0,0,0
-13.743,-16.5375,0,0,0,0
-13.733,-16.5275,0,0,0,0
-13.723,-16.5175,0,0,0,0
-13.713,-16.5075,0,0,0,0
-13.703,-16.4975,0,0,0,0
-13.693,-16.4875,0,0,0,0
-13.683,-16.4775,0,0,0,0
-13.673,-16.4675,0,0,0,0
-13.663,-16.4575,0,0,0,0
-13.653,-16.4475,0,0,0,0
-13.643,-16.4375,0,0,0,0
-13.633,-16.4275,0,0,0,0
-13.623,-16.4175,0,0,0,0
-13.613,-16.4075,0,0,0,0
-13.603,-16.3975,0,0,0,0
-13.593,-16.3875,0,0,0,0
-13.583,-16.3775,0,0,0,0
-13.573,-16.3675,0,0,0,0
-13.563,-16.3575,0,0,0,0
-13.553,-16.3475,0,0,0,0
-13.543,-16.3375,0,0,0,0
-13.533,-16.3275,0,0,0,0
-13.523,-16.3175,0,0,0,0
-13.513,-16.3075,0,0,0,0
-13.503,-16.2975,0,0,0,0
-13.493,-16.2875,0,0,0,0
-13.483,-16.2775,0,0,0,0
-13.473,-16.2675,0,0,0,0
-13.463,-16.2575,0,0,0,0
-13.453,-16.2475,0,0,0,0
-13.443,-16.2375,0,0,0,0
-13.433,-16.2275,0,0,0,0
-13.423,-16.2175,0,0,0,0
-13.413,-16.2075,0,0,0,0
-13.403,-16.1975,0,0,0,0
-13.393,-16.1875,0,0,0,0
-13.383,-16.1775,0,0,0,0
-13.373,-16.1675,0,0,0,0
-13.363,-16.1575,0,0,0,0
-13.353,-16.1475,0,0,0,0
-13.343,-16.1375,0,0,0,0
-13.333,-16.1275,0,0,0,0
-13.323,-16.1175,0,0,0,0
-13.313,-16.1075,0,0,0,0
-13.303,-16.0975,0,0,0,0
-13.293,-16.0875,0,0,0,0
-13.283,-16.0775,0,0,0,0
-13.273,-16.0675,0,0,0,0
-13.263,-16.0575,0,0,0,0
-13.253,-16.0475,0,0,0,0
-13.243,-16.0375,0,0,0,0
-13.233,-16.0275,0,0,0,0
-13.223,-16.0175,0,0,0,0
-13.213,-16.0075,0,0,0,0
-13.203,-15.9975,0,0,0,0
-13.193,-15.9875,0,0,0,0
-13.183,-15.9775,0,0,0,0
-13.173,-15.9675,0,0,0,0
-13.163,-15.9575,0,0,0,0
-13.153,-15.9475,0,0,0,0
-13.143,-15.9375,0,0,0,0
-13.133,-15.9275,0,0,0,0
-13.123,-15.9175,3.79e-27,6.436e-14,4.79e-33,1.31e-13
-13.113,-15.9075,1.073e-26,1.828e-13,1.36e-32,3.72e-13
-13.103,-15.8975,6.54e-14,7.984e-13,7.29e-17,1.78e-12
-13.093,-15.8875,2.7e-13,2.486e-12,3.18e-16,5.66e-12
-13.083,-15.8775,7.56e-13,6.742e-12,8.93e-16,1.55e-11
-13.073,-15.8675,2.08e-12,1.794e-11,2.45e-15,4.13e-11
-13.063,-15.8575,5.88e-12,4.734e-11,7.09e-15,1.1e-10
-13.053,-15.8475,1.552e-11,1.21e-10,1.87e-14,2.82e-10
-13.043,-15.8375,4.1e-11,3.038e-10,5.03e-14,7.12e-10
-13.033,-15.8275,1.038e-10,7.442e-10,1.28e-13,1.75e-09
-13.023,-15.8175,2.58e-10,1.786e-09,3.18e-13,4.23e-09
-13.013,-15.8075,6.26e-10,4.2e-09,7.77e-13,9.98e-09
-13.003,-15.7975,1.486e-09,9.656e-09,1.86e-12,2.31e-08
-12.993,-15.7875,3.46e-09,2.176e-08,4.34e-12,5.23e-08
-12.983,-15.7775,7.88e-09,4.8e-08,9.94e-12,1.16e-07
-12.973,-15.7675,1.758e-08,1.0378e-07,2.23e-11,2.52e-07
-12.963,-15.7575,3.84e-08,2.196e-07,4.91e-11,5.36e-07
-12.953,-15.7475,8.22e-08,4.556e-07,1.06e-10,1.12e-06
-12.943,-15.7375,1.724e-07,9.236e-07,2.23e-10,2.28e-06
-12.933,-15.7275,3.54e-07,1.838e-06,4.61e-10,4.56e-06
-12.923,-15.7175,7.12e-07,3.584e-06,9.36e-10,8.93e-06
-12.913,-15.7075,1.404e-06,6.83e-06,1.86e-09,1.71e-05
-12.903,-15.6975,2.72e-06,1.2756e-05,3.63e-09,3.23e-05
-12.893,-15.6875,5.14e-06,2.334e-05,6.93e-09,5.95e-05
-12.883,-15.6775,9.52e-06,4.19e-05,1.3e-08,0.000107
-12.873,-15.6675,1.732e-05,7.356e-05,2.39e-08,0.00019
-12.863,-15.6575,3.08e-05,0.0001268,4.31e-08,0.00033
-12.853,-15.6475,5.4e-05,0.000214,7.64e-08,0.000562
-12.843,-15.6375,9.28e-05,0.0003538,1.33e-07,0.000937
-12.833,-15.6275,0.0001562,0.0005726,2.27e-07,0.00153
-12.823,-15.6175,0.000258,0.0009114,3.8e-07,0.00246
-12.813,-15.6075,0.000418,0.0014174,6.25e-07,0.00387
-12.803,-15.5975,0.000666,0.002166,1.01e-06,0.00598
-12.793,-15.5875,0.001042,0.003236,1.61e-06,0.00907
-12.783,-15.5775,0.001598,0.004764,2.51e-06,0.0135
-12.773,-15.5675,0.00242,0.006858,3.85e-06,0.0197
-12.763,-15.5575,0.00358,0.009698,5.82e-06,0.0283
-12.753,-15.5475,0.00522,0.013476,8.65e-06,0.0399
-12.743,-15.5375,0.00748,0.01834,1.26e-05,0.0554
-12.733,-15.5275,0.01054,0.0245,1.82e-05,0.0755
-12.723,-15.5175,0.01464,0.03224,2.58e-05,0.101
-12.713,-15.5075,0.02,0.04168,3.6e-05,0.134
-12.703,-15.4975,0.027,0.05282,4.95e-05,0.174
-12.693,-15.4875,0.0358,0.0659,6.71e-05,0.223
-12.683,-15.4775,0.0468,0.08074,8.97e-05,0.282
-12.673,-15.4675,0.0606,0.09756,0.000118,0.351
-12.663,-15.4575,0.0774,0.11614,0.000154,0.433
-12.653,-15.4475,0.0976,0.1358,0.000198,0.527
-12.643,-15.4375,0.1216,0.157,0.000251,0.634
-12.633,-15.4275,0.1502,0.1788,0.000314,0.757
-12.623,-15.4175,0.1836,0.201,0.000389,0.894
-12.613,-15.4075,0.222,0.2234,0.000476,1.05
-12.603,-15.3975,0.268,0.244,0.000577,1.22
-12.593,-15.3875,0.318,0.265,0.00069,1.42
-12.583,-15.3775,0.376,0.286,0.000817,1.63
-12.573,-15.3675,0.444,0.3048,0.000956,1.87
-12.563,-15.3575,0.518,0.3198,0.00111,2.14
-12.553,-15.3475,0.6,0.3346,0.00127,2.44
-12.543,-15.3375,0.692,0.3472,0.00143,2.77
-12.533,-15.3275,0.794,0.3594,0.0016,3.12
-12.523,-15.3175,0.902,0.3674,0.00178,3.51
-12.513,-15.3075,1.018,0.3728,0.00194,3.93
-12.503,-15.2975,1.138,0.3758,0.0021,4.36
-12.493,-15.2875,1.262,0.378,0.00224,4.81
-12.483,-15.2775,1.384,0.3756,0.00236,5.26
-12.473,-15.2675,1.5,0.3704,0.00245,5.7
-12.463,-15.2575,1.608,0.3622,0.00252,6.1
-12.453,-15.2475,1.704,0.3512,0.00255,6.46
-12.443,-15.2375,1.778,0.337,0.00254,6.76
-12.433,-15.2275,1.832,0.322,0.0025,6.97
-12.423,-15.2175,1.858,0.302,0.00242,7.08
-12.413,-15.2075,1.856,0.2792,0.0023,7.09
-12.403,-15.1975,1.824,0.2568,0.00216,6.99
-12.393,-15.1875,1.764,0.232,0.002,6.77
-12.383,-15.1775,1.676,0.207,0.00182,6.45
-12.373,-15.1675,1.564,0.1818,0.00162,6.05
-12.363,-15.1575,1.436,0.1572,0.00143,5.56
-12.353,-15.1475,1.292,0.134,0.00123,5.03
-12.343,-15.1375,1.144,0.1122,0.00104,4.46
-12.333,-15.1275,0.992,0.0924,0.00087,3.88
-12.323,-15.1175,0.844,0.0748,0.000712,3.31
-12.313,-15.1075,0.706,0.05954,0.000573,2.77
-12.303,-15.0975,0.578,0.04652,0.000452,2.28
-12.293,-15.0875,0.464,0.0357,0.00035,1.84
-12.283,-15.0775,0.366,0.02692,0.000266,1.45
-12.273,-15.0675,0.282,0.01992,0.000198,1.12
-12.263,-15.0575,0.214,0.01446,0.000145,0.851
-12.253,-15.0475,0.1582,0.01028,0.000104,0.632
-12.243,-15.0375,0.115,0.0072,7.32e-05,0.46
-12.233,-15.0275,0.0818,0.00493,5.05e-05,0.329
-12.223,-15.0175,0.057,0.003306,3.42e-05,0.23
-12.213,-15.0075,0.039,0.002182,2.27e-05,0.157
-12.203,-14.9975,0.026,0.001412,1.47e-05,0.105
-12.193,-14.9875,0.0171,0.000894,9.38e-06,0.0692
-12.183,-14.9775,0.01098,0.000554,5.86e-06,0.0445
-12.173,-14.9675,0.0069,0.0003366,3.58e-06,0.028
-12.163,-14.9575,0.00424,0.0002012,2.15e-06,0.0173
-12.153,-14.9475,0.00256,0.0001178,1.26e-06,0.0104
-12.143,-14.9375,0.001512,6.74e-05,7.26e-07,0.00617
-12.133,-14.9275,0.000874,3.774e-05,4.09e-07,0.00357
-12.123,-14.9175,0.000494,2.078e-05,2.26e-07,0.00202
-12.113,-14.9075,0.000274,1.12e-05,1.22e-07,0.00112
-12.103,-14.8975,0.0001484,5.904e-06,6.48e-08,0.00061
-12.093,-14.8875,7.88e-05,3.048e-06,3.36e-08,0.000324
-12.083,-14.8775,4.1e-05,1.544e-06,1.71e-08,0.000169
-12.073,-14.8675,2.08e-05,7.66e-07,8.5e-09,8.59e-05
-12.063,-14.8575,1.036e-05,3.718e-07,4.14e-09,4.28e-05
-12.053,-14.8475,5.06e-06,1.768e-07,1.98e-09,2.09e-05
-12.043,-14.8375,2.42e-06,8.24e-08,9.23e-10,9.98e-06
-12.033,-14.8275,1.126e-06,3.758e-08,4.22e-10,4.67e-06
-12.023,-14.8175,5.14e-07,1.678e-08,1.89e-10,2.14e-06
-12.013,-14.8075,2.3e-07,7.32e-09,8.3e-11,9.56e-07
-12.003,-14.7975,1.006e-07,3.14e-09,3.56e-11,4.19e-07
-11.993,-14.7875,4.32e-08,1.314e-09,1.5e-11,1.8e-07
-11.983,-14.7775,1.808e-08,5.41e-10,6.16e-12,7.54e-08
-11.973,-14.7675,7.42e-09,2.17e-10,2.48e-12,3.1e-08
-11.963,-14.7575,2.98e-09,8.52e-11,9.76e-13,1.24e-08
-11.953,-14.7475,1.17e-09,3.278e-11,3.77e-13,4.89e-09
-11.943,-14.7375,4.5e-10,1.228e-11,1.42e-13,1.88e-09
-11.933,-14.7275,1.684e-10,4.448e-12,5.2e-14,7.06e-10
-11.923,-14.7175,6.06e-11,1.442e-12,1.71e-14,2.55e-10
-11.913,-14.7075,2.18e-11,4.952e-13,5.86e-15,9.14e-11
-11.903,-14.6975,7.04e-12,1.316e-13,1.5e-15,2.99e-11
-11.893,-14.6875,1.23e-12,1.048e-14,1.21e-16,5.35e-12
-11.883,-14.6775,0,0,0,0
-11.873,-14.6675,0,0,0,0
-11.863,-14.6575,0,0,0,0
-11.853,-14.6475,0,0,0,0
-11.843,-14.6375,0,0,0,0
-11.833,-14.6275,0,0,0,0
-11.823,-14.6175,0,0,0,0
-11.813,-14.6075,0,0,0,0
-11.803,-14.5975,0,0,0,0
-11.793,-14.5875,0,0,0,0
-11.783,-14.5775,0,0,0,0
-11.773,-14.5675,0,0,0,0
-11.763,-14.5575,0,0,0,0
-11.753,-14.5475,0,0,0,0
-11.743,-14.5375,0,0,0,0
-11.733,-14.5275,0,0,0,0
-11.723,-14.5175,0,0,0,0
-11.713,-14.5075,0,0,0,0
-11.703,-14.4975,0,0,0,0
-11.693,-14.4875,0,0,0,0
-11.683,-14.4775,0,0,0,0
-11.673,-14.4675,0,0,0,0
-11.663,-14.4575,0,0,0,0
-11.653,-14.4475,0,0,0,0
-11.643,-14.4375,0,0,0,0
-11.633,-14.4275,0,0,0,0
-11.623,-14.4175,0,0,0,0
-11.613,-14.4075,0,0,0,0
-11.603,-14.3975,0,0,0,0
-11.593,-14.3875,0,0,0,0
-11.583,-14.3775,0,0,0,0
-11.573,-14.3675,0,0,0,0
-11.563,-14.3575,0,0,0,0
-11.553,-14.3475,0,0,0,0
-11.543,-14.3375,0,0,0,0
-11.533,-14.3275,0,0,0,0
-11.523,-14.3175,0,0,0,0
-11.513,-14.3075,0,0,0,0
-11.503,-14.2975,0,0,0,0
-11.493,-14.2875,0,0,0,0
-11.483,-14.2775,0,0,0,0
-11.473,-14.2675,0,0,0,0
-11.463,-14.2575,0,0,0,0
-11.453,-14.2475,0,0,0,0
-11.443,-14.2375,0,0,0,0
-11.433,-14.2275,0,0,0,0
-11.423,-14.2175,0,0,0,0
-11.413,-14.2075,0,0,0,0
-11.403,-14.1975,0,0,0,0
-11.393,-14.1875,0,0,0,0
-11.383,-14.1775,0,0,0,0
-11.373,-14.1675,0,0,0,0
-11.363,-14.1575,0,0,0,0
-11.353,-14.1475,0,0,0,0
-11.343,-14.1375,0,0,0,0
-11.333,-14.1275,0,0,0,0
-11.323,-14.1175,0,0,0,0
-11.313,-14.1075,0,0,0,0
-11.303,-14.0975,0,0,0,0
-11.293,-14.0875,0,0,0,0
-11.283,-14.0775,0,0,0,0
-11.273,-14.0675,0,0,0,0
-11.263,-14.0575,0,0,0,0
-11.253,-14.0475,0,0,0,0
-11.243,-14.0375,0,0,0,0
-11.233,-14.0275,0,0,0,0
-11.223,-14.0175,0,0,0,0
-11.213,-14.0075,0,0,0,0
-11.203,-13.9975,0,0,0,0
-11.193,-13.9875,0,0,0,0
-11.183,-13.9775,0,0,0,0
-11.173,-13.9675,0,0,0,0
-11.163,-13.9575,0,0,0,0
-11.153,-13.9475,0,0,0,0
-11.143,-13.9375,0,0,0,0
-11.133,-13.9275,0,0,0,0
-11.123,-13.9175,0,0,0,0
-11.113,-13.9075,0,0,0,0
-11.103,-13.8975,0,0,0,0
-11.093,-13.8875,0,0,0,0
-11.083,-13.8775,0,0,0,0
-11.073,-13.8675,0,0,0,0
-11.063,-13.8575,0,0,0,0
-11.053,-13.8475,0,0,0,0
-11.043,-13.8375,0,0,0,0
-11.033,-13.8275,0,0,0,0
-11.023,-13.8175,0,0,0,0
-11.013,-13.8075,0,0,0,0
-11.003,-13.7975,0,0,0,0
-10.993,-13.7875,0,0,0,0
-10.983,-13.7775,0,0,0,0
-10.973,-13.7675,0,0,0,0
-10.963,-13.7575,0,0,0,0
-10.953,-13.7475,0,0,0,0
-10.943,-13.7375,0,0,0,0
-10.933,-13.7275,0,0,0,0
-10.923,-13.7175,0,0,0,0
-10.913,-13.7075,0,0,0,0
-10.903,-13.6975,0,0,0,0
-10.893,-13.6875,0,0,0,0
-10.883,-13.6775,0,0,0,0
-10.873,-13.6675,0,0,0,0
-10.863,-13.6575,0,0,0,0
-10.853,-13.6475,0,0,0,0
-10.843,-13.6375,0,0,0,0
-10.833,-13.6275,0,0,0,0
-10.823,-13.6175,0,0,0,0
-10.813,-13.6075,0,0,0,0
-10.803,-13.5975,0,0,0,0
-10.793,-13.5875,0,0,0,0
-10.783,-13.5775,0,0,0,0
-10.773,-13.5675,0,0,0,0
-10.763,-13.5575,0,0,0,0
-10.753,-13.5475,0,0,0,0
-10.743,-13.5375,0,0,0,0
-10.733,-13.5275,0,0,0,0
-10.723,-13.5175,0,0,0,0
-10.713,-13.5075,0,0,0,0
-10.703,-13.4975,0,0,0,0
-10.693,-13.4875,0,0,0,0
-10.683,-13.4775,0,0,0,0
-10.673,-13.4675,0,0,0,0
-10.663,-13.4575,0,0,0,0
-10.653,-13.4475,0,0,0,0
-10.643,-13.4375,0,0,0,0
-10.633,-13.4275,0,0,0,0
-10.623,-13.4175,0,0,0,0
-10.613,-13.4075,0,0,0,0
-10.603,-13.3975,0,0,0,0
-10.593,-13.3875,0,0,0,0
-10.583,-13.3775,0,0,0,0
-10.573,-13.3675,0,0,0,0
-10.563,-13.3575,0,0,0,0
-10.553,-13.3475,0,0,0,0
-10.543,-13.3375,0,0,0,0
-10.533,-13.3275,0,0,0,0
-10.523,-13.3175,0,0,0,0
-10.513,-13.3075,0,0,0,0
-10.503,-13.2975,0,0,0,0
-10.493,-13.2875,0,0,0,0
-10.483,-13.2775,0,0,0,0
-10.473,-13.2675,0,0,0,0
-10.463,-13.2575,0,0,0,0
-10.453,-13.2475,0,0,0,0
-10.443,-13.2375,0,0,0,0
-10.433,-13.2275,0,0,0,0
-10.423,-13.2175,0,0,0,0
-10.413,-13.2075,0,0,0,0
-10.403,-13.1975,0,0,0,0
-10.393,-13.1875,0,0,0,0
-10.383,-13.1775,0,0,0,0
-10.373,-13.1675,0,0,0,0
-10.363,-13.1575,0,0,0,0
-10.353,-13.1475,0,0,0,0
-10.343,-13.1375,0,0,0,0
-10.333,-13.1275,0,0,0,0
-10.323,-13.1175,0,0,0,0
-10.313,-13.1075,0,0,0,0
-10.303,-13.0975,0,0,0,0
-10.293,-13.0875,0,0,0,0
-10.283,-13.0775,0,0,0,0
-10.273,-13.0675,0,0,0,0
-10.263,-13.0575,0,0,0,0
-10.253,-13.0475,0,0,0,0
-10.243,-13.0375,0,0,0,0
-10.233,-13.0275,0,0,0,0
-10.223,-13.0175,0,0,0,0
-10.213,-13.0075,0,0,0,0
-10.203,-12.9975,0,0,0,0
-10.193,-12.9875,0,0,0,0
-10.183,-12.9775,0,0,0,0
-10.173,-12.9675,0,0,0,0
-10.163,-12.9575,0,0,0,0
-10.153,-12.9475,0,0,0,0
-10.143,-12.9375,0,0,0,0
-10.133,-12.9275,0,0,0,0
-10.123,-12.9175,0,0,0,0
-10.113,-12.9075,0,0,0,0
-10.103,-12.8975,0,0,0,0
-10.093,-12.8875,0,0,0,0
-10.083,-12.8775,0,0,0,0
-10.073,-12.8675,0,0,0,0
-10.063,-12.8575,0,0,0,0
